mjd,night,band,n,flux,err,snr
57227.438148935216,57227,o,8,-1.3063388495478878,7.513233987824872,-0.17387171112530211
57228.53235926951,57228,o,6,-13.125605833482611,8.892286811088033,-1.4760664059008914
57243.43287264375,57243,c,6,-0.20235949797030767,7.303067430843907,-0.02770883603178288
57244.43084059235,57244,c,5,-12.37388739619832,7.9214098377182625,-1.5620814538946493
57245.42184869389,57245,c,5,8.521474349344127,8.729022692972721,0.9762231866122102
57288.34733108132,57288,o,4,-18.091308009612256,20.409145990731197,-0.886431407655588
57297.37376946969,57297,o,3,-18.063028463468267,16.8821769305848,-1.0699466388569925
57298.34548674069,57298,o,6,18.152408522253438,11.213767634050795,1.6187608941648963
57304.334337399094,57304,c,7,4.999683347112693,8.690174840965957,0.5753259788910016
57308.325616948874,57308,c,6,-3.9858864389059896,8.981087639050575,-0.4438088791801783
57311.317805879924,57311,c,6,-13.880324286104782,9.98856565359791,-1.389621369821507
57321.27368910748,57321,o,2,-9.461209964412815,37.456651101557014,-0.2525909200681191
57329.28394163824,57329,o,6,-10.313504858591056,17.186690306463195,-0.6000867342511302
57332.31366976426,57332,c,2,-12.514531754574811,15.092110443270094,-0.8292101890995184
57333.2866846936,57333,c,6,-7.593605717199393,8.126070360725722,-0.9344745221380565
57353.276732309314,57353,o,8,5.750220301103832,25.38010460498256,0.22656408988854063
57354.257557976656,57354,o,7,25.22386138570759,19.638128785723833,1.284433036412531
57356.26925694727,57356,o,8,16.781474301503508,10.80018966788043,1.5538129252869801
57357.252814997075,57357,o,7,-1.7982546394259125,11.253627648579863,-0.1597933302558523
57358.24844327947,57358,o,5,-14.033494209490934,13.472812825624931,-1.041615762879122
57359.2727227131,57359,o,2,-0.40177580466148904,21.177870992047968,-0.01897149174307233
57368.20914102941,57368,o,2,52.61764705882353,28.297266548513957,1.859460417090596
57370.213488975874,57370,c,3,7.196431163415844,16.563663986126187,0.43447097027829185
57372.22514387226,57372,c,2,-15.405499477897669,25.671463080768785,-0.6001021223226799
57530.60705286209,57530,o,3,-29.537418133659088,37.00515584529077,-0.7981973716621431
57538.609337939975,57538,c,4,-17.328735253810578,19.701407626886986,-0.8795683832337764
57539.60380386973,57539,c,2,8.84009360374415,17.008784552403444,0.519736938080916
57540.60357569127,57540,c,4,17.231767694542526,13.06772743673274,1.318650681839665
57548.58384976697,57548,c,4,-8.05603999880956,10.801624829412853,-0.7458174234003149
57552.59010129568,57552,o,6,-3.857066695770466,10.875782134600293,-0.3546472932277271
57555.586537412346,57555,o,9,-17.840846477576758,11.045730094138998,-1.6151803751789422
57559.5204365421,57559,o,4,-40.18297092304561,35.40559797522002,-1.1349327005059826
57567.56807062057,57567,o,4,-11.886668029291219,26.796412465652143,-0.4435917697761835
57575.54255918685,57575,c,5,-4.921955247481984,7.3806206422776395,-0.6668755225391292
57576.542186065,57576,c,6,-0.3895009758483215,7.578189643053855,-0.051397628483121544
57577.537390413374,57577,c,5,1.9845893134882209,8.973782468553106,0.22115415884470482
57601.48794554419,57601,c,5,2.312641010962502,7.138596734421307,0.32396297157553017
57602.494200332774,57602,c,4,-5.699836867862968,8.739290813056359,-0.652208169952132
57603.48578175132,57603,c,5,-10.445496719910096,7.586805198018178,-1.3767978018782747
57604.50508146303,57604,c,2,0.7470817120622567,11.247567830476388,0.06642162317420887
57608.47597685345,57608,c,3,-8.778833107191314,8.840513624205085,-0.9930229713299811
57612.4639342583,57612,o,10,2.30946663425855,8.246955802623573,0.280038682094531
57616.472011443446,57616,o,6,-25.377457221749562,22.8556652501199,-1.1103355314331285
57627.43099690641,57627,c,5,-12.703821700164836,7.972085022001582,-1.593538160356353
57639.399296,57639,c,2,-22.0,11.31370849898476,-1.9445436482630059
57643.41261797576,57643,o,2,-48.10149318329366,26.920498983617343,-1.7867979792115354
57651.41969760087,57651,o,3,-82.71064202738536,51.20131762424936,-1.6154006550060525
57659.40817379076,57659,c,5,-2.3617001948414016,7.221137144997668,-0.32705377940058006
57667.38161934586,57667,c,5,7.7295701801819465,8.19516670134861,0.9431864490212207
57671.37354157327,57671,o,5,-12.839717792482919,18.563002933171415,-0.6916832281235493
57675.329660267795,57675,o,3,35.18430831609609,54.052103997915104,0.6509331869385366
57676.38472109552,57676,o,4,63.113544752059425,29.63651609965147,2.1295871802152093
57679.31010896706,57679,o,5,-7.889714785062279,15.44581186258926,-0.5107996170904859
57687.30914023633,57687,c,5,14.512340146811116,7.190381522900617,2.0182990430467176
57691.30164590318,57691,c,5,9.752369420901006,9.046662051597435,1.0780074866595641
57695.29576415215,57695,c,5,-1.131221719457014,8.133640550041848,-0.13907938425570007
57703.27260090132,57703,o,9,-21.577028229861956,15.09370655378019,-1.4295380762161451
57707.265312514726,57707,o,5,-11.581284709921837,22.57872449393882,-0.5129290945124376
57711.24920590286,57711,o,5,-19.377238340043345,11.026473927856669,-1.7573377007757458
57715.24883349216,57715,c,9,3.334011096196843,7.144556276393359,0.4666505472443257
57743.22289631703,57743,o,3,-23.17067628581328,23.40313873234877,-0.9900670397593221
57911.55077588005,57911,o,9,2.2370391752701426,7.913830576867188,0.2826746356952854
57922.603493434726,57922,o,4,-3.7169060401250547,9.515373431594986,-0.39062114239083723
57927.60005860628,57927,o,4,-7.272799611958078,7.606293122659371,-0.9561555799489497
57930.58555732128,57930,o,4,-15.403416557161629,9.740388301169304,-1.5813965604751605
57940.51696278286,57940,o,4,-16.52146821627972,7.310320703460821,-2.260019619721772
57942.48317561129,57942,o,4,9.724218271409875,18.442586945784328,0.5272697534242977
57947.5531472739,57947,o,4,-8.834342894706337,16.99263603504659,-0.5198924331978794
