#Table1
classification,n
,1752923
DA,32196
DA:,5232
DZ/DA,1416
DA/DZ,1406
DZ:,1390
DA_MS:,1299
DA_MS,985
DA_MS/DC_MS,667
DB,570
DA/DC,530
DA/DZA,324
DA/DA_MS,324
DC/DA,315
DZ,309
DC,293
DC:,292
DA_MS/DA,260
DA/DAH,231
DB:,175
DA/DAZ,159
DC/DQ,146
DC_MS/DA_MS,125
DA_MS/DZ,119
DA/DAO,99
CV,92
DC/CV,88
CV/DC,81
DA_MS/DB_MS,79
CV:,79
DAO/DA,77
DZ/DA_MS,71
DB/DBA,69
DA_MS/CV,67
DZ/DC,65
DC/DZ,62
DZ/DZA,56
DBA,53
DQ/DC,51
DBA/DB,48
DB/DC,47
DC/DB,42
CV/DA_MS,39
DBAZ:,39
DAO/DC,36
DA_MS/DC,36
DAH/DA,36
DAO:,33
DC_MS/CV,32
DB_MS/DA_MS,32
DA/DB,32
DA_MS/DAO,30
CV/DC_MS,29
DBAZ/DBZ,25
DQ:,24
DB_MS:,22
DA/CV,21
DA_MS/DZA,20
DZ/CV,20
DQ,20
CV/DA,19
DC/DA_MS,17
DB/DBZ,16
DB_MS/DB,16
DB/DA,16
DBZ:,16
DAO,16
DA/DBAZ,15
DA/DBA,14
DC/DAO,14
DB/DB_MS,13
DBZ/DB,13
DAO/DA_MS,12
CV/DZ,12
DBA:,12
DAH,11
DZA/DA,10
DBZ/DBAZ,9
DZ/DBZ,9
CV/DB_MS,8
DA/hotDQ,8
DBAZ/DBA,7
DZA/DZ,7
DQpec/DB,6
DC/DC_MS,6
DBAZ/DB,6
DQpec:,5
DC/DB_MS,5
DBAZ/DA,5
DQ/DA,5
DB/DBAZ,5
DAH/DAO,4
DBA/DBAZ,4
DZ/DBAZ,4
DBA/DA,4
DB_MS/DC_MS,4
DAO/DAH,4
DA_MS/DBZ,3
DA/DB_MS,3
DC/hotDQ,3
DQ/hotDQ,3
CV/DAO,3
DZ/DQ,3
DZA/DA_MS,3
DQ/CV,3
DB_MS/DC,3
DA/DBZ,3
DC_MS/DC,3
DB_MS/CV,3
DB/DAO,3
DB/CV,2
DC/DBZ,2
DQ/DZ,2
DBAZ/DZ,2
DAH:,2
DAO/DB,2
CV/DBZ,2
DQ/DQpec,2
DB_MS/DBZ,2
DAO/hotDQ,2
DBZ/DZ,2
DB_MS/DA,2
DBAZ/DZA,2
DB/DQ,2
DC_MS:,1
DAO/DQ,1
CV/DQ,1
DZ/DQpec,1
DC/DAH,1
DAH/DC,1
hotDQ/DC,1
DB_MS/DBA,1
DQpec/DZ,1
DBA/DAO,1
DBAZ/DQpec,1
DC/DBAZ,1
DBZ/DC,1
DAO/CV,1
DB/DZ,1
DAO/DBA,1
CV/DB,1
DAO/DBZ,1
DB/DQpec,1
DB_MS,1
hotDQ/DQ,1
