ra,dec,type,mag_g,mag_r,mag_i,mag_z,shape_r
334.2480166991251,-18.2073548817746,REX,23.737488,Infinity,23.105825,23.0015,0.5397551
334.2494164267012,-18.20774501178061,REX,22.879623,Infinity,22.29391,22.622196,0.72324216
334.2518782423587,-18.20678404346009,REX,23.710474,Infinity,24.007875,23.25002,0.69561964
