object_id,object_id_local,image_id,ccd,filter,ra_img,decl_img,x_img,y_img,flags,nimaflags,imaflags,background,flux_max,mu_max,class_star,a,e_a,b,e_b,pa,e_pa,elong,fwhm,radius_petro,radius_kron,radius_frac20,radius_frac50,radius_frac90,chi2_psf,flux_psf,e_flux_psf,mag_psf,e_mag_psf,flux_petro,e_flux_petro,mag_petro,e_mag_petro,flux_kron,e_flux_kron,mag_kron,e_mag_kron,flux_ap02,e_flux_ap02,mag_apc02,e_mag_apc02,flux_ap03,e_flux_ap03,mag_apc03,e_mag_apc03,flux_ap04,e_flux_ap04,mag_apc04,e_mag_apc04,flux_ap05,e_flux_ap05,mag_apc05,e_mag_apc05,flux_ap06,e_flux_ap06,mag_apc06,e_mag_apc06,flux_ap08,e_flux_ap08,mag_apc08,e_mag_apc08,flux_ap10,e_flux_ap10,mag_apc10,e_mag_apc10,flux_ap15,e_flux_ap15,mag_apr15,e_mag_apr15,flux_ap20,e_flux_ap20,mag_apr20,e_mag_apr20,flux_ap30,e_flux_ap30,mag_apr30,e_mag_apr30,use_in_clipped,img_qual,x_mosaic,y_mosaic,date,night_mjd
462388594,22,20150108114052,22,v,113.7671664,-79.7363331,429.269,1139.881,0,0,0,13.44564,88.56028,18.086021,0.945,2.139,0.114,1.985,0.105,-60.16,6.07,1.078,5.42,5.94,3.5,1.349,2.382,4.554,0.2065,2224.976,45.18636,16.101421,0.022,1836.25,170.4818,16.309921,0.1008,1978.382,106.5332,16.229023,0.0585,769.7631,43.26264,16.056023,0.0729,1280.92,55.69056,16.084122,0.0558,1624.422,68.0844,16.111523,0.0525,1848.969,79.82661,16.118221,0.0524,1990.598,91.90337,16.120123,0.0543,1979.394,116.3307,16.191122,0.0668,1977.931,142.0154,16.212723,0.0798,1638.397,207.0011,16.433722,0.1372,1056.371,273.2519,16.910223,0.2809,-91.43537,406.7889,,,1,2,-3822.7314,5657.8813,57030.48673611,57030
462388594,37,20190413115701,18,v,113.7671921,-79.7363032,923.804,1228.118,0,0,0,68.34766,170.5769,18.34951,0.965,2.834,0.088,2.785,0.086,-71.45,3.55,1.017,6.11,5.28,3.5,1.656,3.086,6.248,0.1494,5851.127,66.93567,16.026812,0.0124,5578.116,258.3334,16.07871,0.0503,5658.579,179.0545,16.06311,0.0344,1535.941,58.71424,16.017311,0.0572,2728.745,76.84097,16.02701,0.0454,3718.234,92.49196,16.03301,0.0424,4437.31,107.7722,16.035011,0.0422,4961.897,122.2384,16.02561,0.0404,5506.576,151.7635,16.01951,0.0414,5667.121,182.3959,16.032911,0.0402,5611.515,261.564,16.07221,0.0506,5174.01,342.6273,16.16031,0.0719,3579.713,507.1246,16.56031,0.1538,-1,3,-1177.1956,5743.118,58586.49795139,58586
462388594,9,20180502091718,9,v,113.7671386,-79.7362895,13.395,295.08,16,0,0,2.040851,48.95025,18.2463,0.817,2.071,0.145,1.994,0.138,-20.26,7.98,1.038,6.48,5.94,4.36,1.613,2.803,5.346,0.1868,1458.036,36.88998,16.076899,0.0275,1482.283,130.1205,16.058998,0.0953,1392.786,98.07056,16.126598,0.0765,401.7452,32.85841,16.1241,0.1024,761.2953,42.98271,16.0696,0.0764,1027.463,52.44822,16.074099,0.0717,1195.352,62.12062,16.085798,0.0704,1317.978,71.15051,16.0742,0.072,1392.453,90.0344,16.1015,0.0786,1401.938,109.4963,16.1153,0.0882,1464.763,157.1282,16.0719,0.1165,1386.192,197.6037,16.1318,0.1548,1289.28,274.146,16.2104,0.2309,-1,3,2211.3948,-3831.9202,58240.38704861,58240
462388594,19,20190914182013,13,v,113.7671685,-79.7363153,1643.303,1361.325,0,0,0,79.4672,71.53862,18.551737,0.614,1.914,0.147,1.881,0.144,68.9,8.75,1.018,6.4,7.92,3.5,1.547,2.848,5.682,0.7782,2511.142,118.6348,16.204037,0.0513,1891.924,268.5894,16.511436,0.1542,2099.877,123.7548,16.398237,0.064,621.3534,46.18612,16.170338,0.0869,1129.813,64.47521,16.168238,0.0684,1529.123,80.58935,16.195137,0.0628,1708.635,97.50405,16.276937,0.0624,1959.243,114.3704,16.254936,0.0637,2095.326,147.3881,16.315638,0.0781,1918.122,181.5656,16.452837,0.1032,1866.623,268.1143,16.526037,0.156,1209.386,354.7765,16.997337,0.3186,-406.9375,529.522,,,1,2,1691.3035,-2769.6748,58740.76405093,58740
462388594,53,20201002170118,13,v,113.7670228,-79.7363388,1546.609,2187.725,0,0,0,71.2942,54.71271,18.540447,0.525,1.838,0.173,1.556,0.145,5.69,10.56,1.182,6.7,7.92,5.08,1.724,3.276,6.646,0.2721,2142.631,67.66409,16.073946,0.0343,1752.251,231.9039,16.292347,0.1437,1949.566,152.898,16.176447,0.0852,509.037,43.37506,15.997146,0.0971,873.9539,60.29984,16.077248,0.0803,1223.587,77.11038,16.082047,0.0741,1482.961,93.29279,16.092648,0.0735,1688.901,109.4676,16.084747,0.0738,1858.553,142.585,16.113346,0.0856,1936.126,175.9621,16.124546,0.0996,1775.105,259.7135,16.278246,0.1589,1503.81,344.2407,16.458347,0.2486,380.047,514.136,17.951746,1.4692,1,2,1594.6095,-1943.2751,59124.70925926,59124
462388594,14,20191107124015,18,v,113.7668357,-79.7363583,100.678,435.123,0,0,0,129.4566,199.5467,19.020895,0.96,3.313,0.08,3.301,0.08,-57.15,2.77,1.004,7.53,5.28,3.5,2.086,3.869,9.325,0.4447,11807.73,135.4413,16.106194,0.0125,12472.87,393.226,16.046694,0.0342,11827.03,270.8699,16.104494,0.0249,2226.71,74.09322,16.065994,0.0372,4274.022,98.27514,16.086494,0.0258,6231.455,121.5232,16.100294,0.0222,7884.239,141.696,16.105095,0.0206,9073.515,161.609,16.111694,0.0201,10629.12,200.2557,16.105595,0.0209,11248.16,239.4368,16.114294,0.0233,12047.34,341.6363,16.084394,0.0308,12721.96,446.7006,16.025295,0.0381,14834.43,660.4133,15.858495,0.0483,1,2,-2000.3221,4950.123,58794.52796296,58794
462388594,18,20150116105926,22,v,113.7669884,-79.7363287,1766.471,1195.372,0,0,0,1.329696,83.66376,18.24098,0.949,2.351,0.105,2.041,0.091,-42.77,5.05,1.152,5.36,5.28,3.5,1.373,2.399,4.757,0.9215,2450.988,86.357,16.08958,0.0383,2284.434,142.0991,16.165981,0.0676,2185.5,99.35627,16.21408,0.0494,848.4144,41.1037,16.03368,0.0583,1419.926,53.41937,16.048882,0.0451,1770.515,63.30535,16.096981,0.0422,1991.408,73.14124,16.12038,0.0429,2107.476,83.08309,16.137281,0.0452,2243.594,103.9325,16.137081,0.0522,2313.792,125.4006,16.126781,0.0594,2035.351,180.9034,16.29128,0.0965,1669.62,237.6413,16.50638,0.1546,1010.093,352.6794,17.051981,0.3792,1,2,-2485.5288,5713.372,57038.45796296,57038
462388594,162,20191024151317,18,g,113.765719,-79.736309,10.885,551.813,16,0,0,173.2442,2003.818,19.100578,0.984,3.68,0.024,2.913,0.019,-4.33,0.71,1.263,8.89,5.28,3.5,2.035,3.65,7.256,126.7657,92033.85,4751.182,16.460878,0.0561,90455.3,496.6515,16.47968,0.006,88030.84,404.8662,16.509178,0.005,17063.0,173.2637,16.71218,0.017,33372.49,223.9771,16.64078,0.0114,49266.25,259.8952,16.577879,0.0085,62092.23,289.3311,16.535679,0.0067,71415.73,311.4597,16.51038,0.0057,82258.85,348.1405,16.48618,0.0051,86843.07,381.1937,16.481379,0.005,89877.66,455.8425,16.48668,0.0055,90800.78,530.2834,16.475578,0.0063,91577.33,685.6816,16.466278,0.0081,-1,1,-2090.1152,5066.813,58780.63424769,58780
462388594,160,20201002170157,13,g,113.766698,-79.7363579,1544.139,2185.913,0,0,0,204.8756,94.37387,18.992067,0.58,2.017,0.164,1.818,0.147,-87.38,9.24,1.109,8.45,7.26,5.31,1.93,3.438,6.807,0.0787,3886.521,52.178,16.470867,0.0146,4144.792,363.2737,16.400967,0.0952,3639.088,267.7794,16.542267,0.0799,778.277,62.27614,16.486967,0.0882,1495.627,88.81447,16.468967,0.0651,2174.028,113.8212,16.460567,0.0571,2671.792,138.7049,16.472067,0.0566,3036.017,163.4747,16.478567,0.0587,3495.452,213.6932,16.472267,0.0666,3627.078,264.0203,16.497467,0.0791,4179.388,391.4088,16.391968,0.1017,4335.337,519.4944,16.352167,0.1301,5872.018,776.9506,16.022766,0.1437,1,2,1592.1393,-1945.0872,59124.70971065,59124
462388594,410,20190429085430,18,g,113.7669149,-79.7363215,900.162,1211.725,0,0,0,176.7715,3750.345,18.528492,0.984,3.256,0.017,2.939,0.015,47.06,0.58,1.108,4.62,3.96,3.5,1.404,2.621,5.86,3.7989,100870.8,783.9113,16.469793,0.0084,99739.97,431.3299,16.482092,0.0047,99186.76,408.0189,16.488092,0.0045,34618.38,231.9391,16.495893,0.0117,57710.07,273.1646,16.484493,0.0072,73655.29,301.5048,16.478893,0.0056,83568.54,320.9286,16.475792,0.0049,89936.11,336.964,16.472193,0.0046,96284.54,366.1395,16.470493,0.0044,98635.2,395.4706,16.471992,0.0045,100633.4,480.6762,16.472393,0.0052,101225.4,578.0703,16.465992,0.0062,102374.2,793.0668,16.453793,0.0084,1,1,-1200.8379,5726.7256,58602.3712037,58602
