###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57308.259397  22.132  4.333     5   22 c  0   0.85 306.74802 -11.81856  3836.20  6558.99 4.28 3.66 -67.5 -0.444 19.32 21.22 02a57308o0096c
57308.276001 -20.827  1.421   -17   24 c  0   0.76 306.74802 -11.81856  3832.25  6560.49 4.40 3.79 -64.3 -0.464 19.28 21.21 02a57308o0122c
57308.294528 -21.128  2.000   -13   26 c  0   0.86 306.74802 -11.81856  2386.31  8013.47 4.55 3.81 -60.6 -0.458 19.20 21.09 02a57308o0151c
57308.317663 -22.412  6.250    -4   25 c  0   0.98 306.74802 -11.81856  2381.14  8014.28 4.71 3.96 -58.2 -0.434 19.16 21.07 02a57308o0186c
57309.303238  20.128  0.649    32   21 c  0   1.14 306.74802 -11.81856  2382.45  8018.24 4.40 3.74 -57.5 -0.439 19.24 21.09 02a57309o0088c
57311.251188  20.219  0.889    30   26 c  0   0.73 306.74802 -11.81856  3816.72  6567.97 4.21 3.43 -71.9 -0.453 19.15 20.91 02a57311o0102c
57311.269219  20.827  1.263    17   21 c  0   1.13 306.74802 -11.81856  3819.58  6568.35 4.44 3.55 -68.7 -0.445 19.15 20.98 02a57311o0130c
57311.288560 -20.328  0.964   -27   26 c  0   0.89 306.74802 -11.81856  2369.86  8016.26 4.60 3.63 -65.4 -0.433 19.13 20.97 02a57311o0160c
57311.309918 -19.717  0.519   -47   24 c  0   0.60 306.74802 -11.81856  2370.84  8015.63 4.46 3.49 -63.2 -0.444 19.17 21.00 02a57311o0193c
57322.269786  20.339  3.333    27   89 o  0   0.81 306.74802 -11.81856  3886.29  6583.31 4.97 4.18 -64.4 -0.476 17.58 18.41 02a57322o0210o
57322.286534 -20.080  1.938   -34   65 o  0   0.91 306.74802 -11.81856  3884.36  6582.15 4.50 3.62 -67.1 -0.473 17.87 18.68 02a57322o0236o
