id,ra,dec,gmag,rmag,imag,zmag,ndet,nphot,deltamjd,mjd,class_star,sep_as
118452_13190,306.747872919906,-11.81937216672698,99.99,99.99,21.78125,99.99,1,1,0.0,58704.144222151954,0.720215,2.9693777535334505
118452_10779,306.7470168333279,-11.81581134334191,99.99,99.99,21.53125,99.99,1,1,0.0,58704.140073277056,0.687012,10.507592750984475
118452_13184,306.7504856980083,-11.821212311697794,99.99,99.99,22.078125,99.99,1,1,0.0,58704.144222151954,0.526855,12.909569475898913
118452_11603,306.7477384189838,-11.814630251806738,99.99,99.99,20.765625,99.99,1,1,0.0,58704.140073277056,0.870605,14.181845236588464
118452_10781,306.7412606824624,-11.819697103949103,99.99,99.99,21.078125,99.99,1,1,0.0,58704.140073277056,0.895996,24.166873255959334
118452_13028,306.7419442576592,-11.822196489333518,99.99,99.99,22.5625,99.99,1,1,0.0,58704.144222151954,0.394531,25.094277395046845
118452_10782,306.7404537671833,-11.819521329762626,99.99,99.99,20.515625,99.99,1,1,0.0,58704.140073277056,0.938965,26.884645606916575
118452_5636,306.7399317640226,-11.819923494397194,22.21875,99.99,20.825535,99.99,3,3,60.780922,58683.88253222328,0.932129,28.919927079969966
