mjd,source,band,mag_AB,mag_err,flux,flux_err,flux_unit,meta,note
57711.20932,ATLAS,o,,,1.1,20.5,uJy,nightly_stack_n5,nondet_3sig_limit_19.41
57715.20909,ATLAS,c,,,-18.4,10.6,uJy,nightly_stack_n5,nondet_3sig_limit_20.15
57903.62457,ATLAS,c,,,57.0,81.0,uJy,nightly_stack_n1,nondet_3sig_limit_17.71
57907.61501,ATLAS,o,,,42.0,19.0,uJy,nightly_stack_n1,nondet_3sig_limit_18.91
57911.49165,ATLAS,o,,,9.0,8.4,uJy,nightly_stack_n5,nondet_3sig_limit_20.07
57913.54153,ATLAS,o,,,-23.0,29.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.04
57919.55752,ATLAS,o,,,0.7,14.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.79
57923.5588,ATLAS,o,,,1.7,10.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.09
57927.55284,ATLAS,o,,,1.8,6.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.62
57931.54282,ATLAS,o,,,10.1,7.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.16
57935.50124,ATLAS,o,,,0.8,6.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.72
57939.51059,ATLAS,o,,,18.8,10.6,uJy,nightly_stack_n4,nondet_3sig_limit_19.64
57940.45768,ATLAS,o,,,-1.2,8.5,uJy,nightly_stack_n4,nondet_3sig_limit_20.38
57947.49699,ATLAS,o,,,10.7,11.0,uJy,nightly_stack_n4,nondet_3sig_limit_19.80
57949.50487,ATLAS,o,,,10.5,8.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.05
57951.50498,ATLAS,o,,,-6.5,9.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.31
57955.49127,ATLAS,o,19.804,0.24,43.5,9.6,uJy,nightly_stack_n4,marginal_3-5sigma | ARTIFACT_FLAG: two consecutive exposures ~113uJy then null within 14 min; no known asteroid (SkyBoT); short event or slow mover - NOT a stationary outburst
57959.48337,ATLAS,o,,,14.9,10.3,uJy,nightly_stack_n4,nondet_3sig_limit_19.75
57961.4998,ATLAS,o,,,7.6,5.8,uJy,nightly_stack_n4,nondet_3sig_limit_20.40
57963.43886,ATLAS,o,,,10.0,7.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.17
57967.45224,ATLAS,o,,,-9.9,10.5,uJy,nightly_stack_n4,nondet_3sig_limit_20.16
57969.46258,ATLAS,o,,,3.8,9.5,uJy,nightly_stack_n4,nondet_3sig_limit_20.13
57974.48027,ATLAS,o,,,-3.2,11.9,uJy,nightly_stack_n4,nondet_3sig_limit_20.01
57976.46261,ATLAS,o,,,-0.7,10.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.14
57978.45211,ATLAS,o,,,5.7,7.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.32
57980.44458,ATLAS,o,,,10.8,8.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.03
57982.43906,ATLAS,c,,,4.8,5.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.66
57986.43056,ATLAS,c,16.055,0.318,1374.0,401.9,uJy,nightly_stack_n3,marginal_3-5sigma
57988.42617,ATLAS,o,,,-0.6,9.8,uJy,nightly_stack_n4,nondet_3sig_limit_20.23
57991.41409,ATLAS,o,,,0.4,6.4,uJy,nightly_stack_n4,nondet_3sig_limit_20.67
57992.37097,ATLAS,o,,,3.0,6.4,uJy,nightly_stack_n4,nondet_3sig_limit_20.53
57993.39739,ATLAS,o,,,8.2,7.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.17
57994.38805,ATLAS,o,,,1.4,5.7,uJy,nightly_stack_n4,nondet_3sig_limit_20.74
57996.36527,ATLAS,o,,,-7.5,11.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.04
57998.38056,ATLAS,o,,,-15.5,13.8,uJy,nightly_stack_n3,nondet_3sig_limit_19.86
58003.41486,ATLAS,o,,,-30.4,26.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.15
58006.34414,ATLAS,o,,,5.1,6.9,uJy,nightly_stack_n4,nondet_3sig_limit_20.37
58010.34,ATLAS,o,,,-1.7,5.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.94
58011.38724,ATLAS,o,,,-2.2,5.7,uJy,nightly_stack_n4,nondet_3sig_limit_20.82
58012.33065,ATLAS,o,,,16.4,19.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.23
58013.35508,ATLAS,c,,,-7.0,8.9,uJy,nightly_stack_n3,nondet_3sig_limit_20.33
58015.35265,ATLAS,o,,,11.0,9.3,uJy,nightly_stack_n4,nondet_3sig_limit_19.93
58019.3415,ATLAS,o,,,5.1,7.8,uJy,nightly_stack_n4,nondet_3sig_limit_20.26
58022.30995,ATLAS,o,,,-1.9,6.0,uJy,nightly_stack_n4,nondet_3sig_limit_20.77
58024.31113,ATLAS,o,,,7.3,8.6,uJy,nightly_stack_n4,nondet_3sig_limit_20.10
58028.31214,ATLAS,o,,,-14.5,20.8,uJy,nightly_stack_n3,nondet_3sig_limit_19.41
58031.35831,ATLAS,o,,,43.2,18.9,uJy,nightly_stack_n4,nondet_3sig_limit_18.90
58032.35289,ATLAS,o,,,16.5,20.1,uJy,nightly_stack_n4,nondet_3sig_limit_19.19
58033.2552,ATLAS,o,,,9.3,12.3,uJy,nightly_stack_n4,nondet_3sig_limit_19.73
58034.30036,ATLAS,o,,,18.3,11.8,uJy,nightly_stack_n4,nondet_3sig_limit_19.58
58035.30228,ATLAS,o,,,-64.0,62.4,uJy,nightly_stack_n3,nondet_3sig_limit_18.22
58036.29634,ATLAS,o,,,0.6,7.1,uJy,nightly_stack_n4,nondet_3sig_limit_20.55
58037.29822,ATLAS,o,,,10.1,6.7,uJy,nightly_stack_n5,nondet_3sig_limit_20.20
58038.29278,ATLAS,o,,,1.5,7.9,uJy,nightly_stack_n3,nondet_3sig_limit_20.40
58044.28739,ATLAS,o,,,10.2,22.4,uJy,nightly_stack_n4,nondet_3sig_limit_19.18
58048.28035,ATLAS,o,,,16.0,12.0,uJy,nightly_stack_n4,nondet_3sig_limit_19.61
58055.27363,ATLAS,o,,,86.0,1223.0,uJy,nightly_stack_n1,nondet_3sig_limit_14.96
58056.2684,ATLAS,o,,,-10.6,14.5,uJy,nightly_stack_n4,nondet_3sig_limit_19.80
58058.27149,ATLAS,o,,,62.4,129.9,uJy,nightly_stack_n2,nondet_3sig_limit_17.26
58060.31279,ATLAS,o,,,22.3,46.9,uJy,nightly_stack_n2,nondet_3sig_limit_18.37
58062.21027,ATLAS,o,,,19.8,13.1,uJy,nightly_stack_n2,nondet_3sig_limit_19.47
58064.26029,ATLAS,o,,,11.5,9.8,uJy,nightly_stack_n4,nondet_3sig_limit_19.87
58070.25625,ATLAS,o,,,2.3,7.8,uJy,nightly_stack_n4,nondet_3sig_limit_20.37
58072.25007,ATLAS,o,,,1.6,10.2,uJy,nightly_stack_n4,nondet_3sig_limit_20.13
58074.24863,ATLAS,c,,,-15.3,7.3,uJy,nightly_stack_n3,nondet_3sig_limit_20.55
58075.21848,ATLAS,o,,,10.7,10.2,uJy,nightly_stack_n4,nondet_3sig_limit_19.86
