unwise_objid,ra,dec,flux_w1,flux_w2,sep_as
3074m122o0084536,306.746826539317,-11.81566629372558,95.34019,0.0,11.234163058722915
3074m122o0023358,306.7538771005034,-11.8186664817263,7991.162,7440.8022,20.642126621050156
3074m122o0042240,306.75412493387284,-11.81551860114273,148.04936,171.53235,24.13807235498473
3074m122o0023224,306.7456840965809,-11.825788404379416,10460.136,9758.736,27.29295012151523
3074m122o0042195,306.75046960802706,-11.825762839024204,846.934,818.64264,27.329099150437983
3074m122o0084474,306.7398868280163,-11.820074922878767,58.22228,0.0,29.172953314494254
