band,mjd,survey_id,ra,dec,oid,measurement_id,parentDiaSourceId,diaObjectId,psfFlux,psfFluxErr,psfFlux_flag,psfFlux_flag_edge,psfFlux_flag_noGoodPixels,scienceFlux,scienceFluxErr,has_stamp,visit,detector,ssObjectId,raErr,decErr,ra_dec_Cov,x,xErr,y,yErr,centroid_flag,apFlux,apFluxErr,apFlux_flag,apFlux_flag_apertureTruncated,isNegative,snr,psfLnL,psfChi2,psfNdata,trailFlux,trailFluxErr,trailRa,trailRaErr,trailDec,trailDecErr,trailLength,trailLengthErr,trailAngle,trailAngleErr,trailChi2,trailNdata,trail_flag_edge,dipoleMeanFlux,dipoleMeanFluxErr,dipoleFluxDiff,dipoleFluxDiffErr,dipoleLength,dipoleAngle,dipoleChi2,dipoleNdata,forced_PsfFlux_flag,forced_PsfFlux_flag_edge,forced_PsfFlux_flag_noGoodPixels,templateFlux,templateFluxErr,ixx,iyy,ixy,ixxPSF,iyyPSF,ixyPSF,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,extendedness,reliability,isDipole,dipoleFitAttempted,timeProcessedMjdTai,timeWithdrawnMjdTai,bboxSize,pixelFlags,pixelFlags_bad,pixelFlags_cr,pixelFlags_crCenter,pixelFlags_edge,pixelFlags_nodata,pixelFlags_nodataCenter,pixelFlags_interpolated,pixelFlags_interpolatedCenter,pixelFlags_offimage,pixelFlags_saturated,pixelFlags_saturatedCenter,pixelFlags_suspect,pixelFlags_suspectCenter,pixelFlags_streak,pixelFlags_streakCenter,pixelFlags_injected,pixelFlags_injectedCenter,pixelFlags_injected_template,pixelFlags_injected_templateCenter,glint_trail,band_name
3,61218.31580944191,lsst,306.74802673748144,-11.818564305234354,170591519677875016,170591519677875016,0,170591519677875016,17145.498,280.79663,0,0,0,18669.754,268.24063,True,2026062600682,131,0,2.7071612e-06,2.7494204e-06,-6.0305066e-14,2579.38,0.049522176,2182.9163,0.048675362,False,17542.514,760.20514,False,False,False,60.443806,,1746.4883,1681,16016.657,262.68994,306.74802661963,,-11.818564557960073,,0.33180836,0.16198477,-58.194153,28.54135,,0,False,,,,,,,,0,False,False,False,1085.4045,110.376724,0.13431144,0.13394456,-0.004721878,0.1388542,0.11739879,-0.019862812,False,False,False,False,0.007000347,0.9999999,False,False,61218.31732322033,,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61228.328842474024,lsst,306.7480300706901,-11.818567159441368,170591519677875016,170635503316500667,0,170591519677875016,12041.909,225.03668,0,0,0,14066.006,211.20946,True,2026070600706,40,0,2.7403842e-06,2.7378205e-06,2.0792274e-15,3871.6687,0.049290262,1068.5468,0.049334127,False,12577.526,681.2789,False,False,False,51.950584,,1834.9457,1681,10680.518,236.89635,306.74802999212375,,-11.818567573523373,,0.35217798,0.13138813,45.129314,22.000553,,0,False,,,,,,,,0,False,False,False,948.5149,122.30374,0.098552935,0.10789492,0.0026191692,0.08466035,0.07960491,-0.00057499687,False,False,False,False,0.12667689,0.9999926,False,False,61228.33044608106,,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
3,61231.234730294076,lsst,306.7480247391021,-11.81856987877695,170591519677875016,170648658989023717,0,170591519677875016,12761.376,508.7251,0,0,0,14018.859,507.28284,True,2026070900419,142,0,6.718589e-06,6.3468397e-06,-1.0478959e-15,3668.1008,0.11422439,3880.2354,0.12100367,False,13155.184,1433.4316,False,False,False,24.9336,,1602.0654,1681,11800.838,343.23627,306.7480241200376,,-11.818570694261505,,0.54657173,0.19292904,71.985695,21.439829,,0,False,,,,,,,,0,False,False,False,1106.8204,110.67989,0.108889915,0.1313456,0.0083674565,0.12353568,0.122308984,0.0043081325,False,False,False,False,0.0015990918,0.9999999,False,False,61231.236174520105,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,i
2,61233.307902421475,lsst,306.74802412032653,-11.818563948038832,170591519677875016,170657494115287140,0,170591519677875016,12912.504,194.66402,0,0,0,14189.097,181.94,True,2026071100710,96,0,3.009602e-06,3.2029684e-06,-1.1118041e-12,1278.6764,0.059445675,158.6223,0.052114688,False,13287.646,401.57742,False,False,False,65.46316,,1569.5542,1681,11977.126,148.07414,306.74802397342495,,-11.818563985843241,,0.6410204,0.109669864,-40.671204,10.253917,,0,False,,,,,,,,0,False,False,False,943.8437,45.9192,0.21604177,0.1819125,-0.0061719106,0.20999755,0.19262628,0.0030501992,False,False,False,False,0.00067577016,0.9999862,False,False,61233.30911854999,,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,r
