source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,ruwe,num_obs_g_fov,gls_freq_g_fov,gls_freq_ampl_g_fov,gls_freq_fap_g_fov,nhm_fund_freq_g_fov,spearman_corr_ipd_g_fov,spearman_corr_exf_g_fov,scan_angle_model_ampl_sig_g_fov,M_G,jestin_var
443737093108523648,55.77933001056542,52.48182196733306,10.69212369251086,289.44373,15.74121,-0.07783127,102.16758920083691,-63.46188033433742,1.0544223,45,11.868719791287,0.5108908,0.0343339827812797,11.868656492589274,0.07259552,0.69581074,1.5700161,10.886529871384056,
1613754148095692800,222.09868492392567,57.41505573433531,7.408957546359992,119.03906,17.421476,0.035699844,-44.75253366152144,-26.266940477782263,1.0115083,57,3.622258911696,0.44462463,0.0183728659365956,3.6222486495050368,-0.10752039,0.12361349,0.21979716,11.770261531318976,False
827961946825467520,147.2140341546357,51.41294391866892,4.526337199411453,27.531607,18.543007,-0.019325256,-45.59463376060553,-102.82103020790218,0.954509,65,6.016859796659,0.40880424,0.0088664350830419,6.0168788004944025,0.07810315,0.05398505,1.5055969,11.82174152271654,
2737597207985505664,336.1353054586485,17.78023702553589,2.2068216340200406,10.332716,18.855682,0.28606033,-5.966032770820724,8.789385272545983,1.0275073,25,12.711249734072,0.774791,0.0129219265995059,12.711250086786608,0.18769231,-0.24307692,1.7995746,10.574518164015679,
375335031629023360,11.4009309163897,42.22444906798463,10.910198257045828,7.262167,19.915083,1.2545357,0.2011005726396532,0.2099533616323114,2.638669,27,11.892616258153,0.7658898,0.0045131544647328,11.89263234528861,0.48290598,0.49391305,12.94377,15.104246212684462,
375638904860230144,14.263511936821796,42.94867583602819,3.6745060050700946,13.062459,19.138966,0.087589264,-12.057161651346734,-10.509322944226804,1.0258847,40,3.482614309501,0.5580757,0.0376988984236302,3.482627470782823,-0.029080676,0.15469208,0.66258,11.96496080731513,
2638348863190251136,346.3473832879544,-2.430165795870158,2.1027147407464786,7.025086,19.20892,0.23439789,25.105224052874608,-8.994711772217453,0.9760746,27,12.528940770995,0.7460106,0.0113575158141447,12.528930452035894,0.14163615,0.15826087,2.7454627,10.822821796330546,
379403804472617856,7.181894712426772,39.77370542543041,4.947496574324646,25.983028,18.666956,-0.038049698,-5.382396887514261,11.232239999554256,0.9909262,39,8.903411024955,0.57246685,0.0315348983294286,8.903349238565665,0.23704453,0.04606631,1.6565574,12.138883510852585,
367648032306976512,12.907284719097794,37.806060841488986,3.0406107667474234,6.1305494,20.05494,0.46834755,4.699135431845733,-33.44003566884382,0.99559915,46,3.062598969378,0.5231572,0.0136823018621971,3.062603628598313,-0.00573543,0.012355212,0.56621563,12.469744144993992,
974895286283420160,110.03813862706951,46.81152479217421,19.781344237971215,421.68384,15.600567,0.15669155,-24.765015458517706,63.03320209404396,1.0480506,45,1.253686688339,0.55082864,0.0069560016306313,1.2536722970831526,-0.078919634,0.24331984,0.48951575,12.081846003367726,False
