source_id,ra,dec,parallax,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,ruwe,num_obs_g_fov,gls_freq_g_fov,gls_freq_ampl_g_fov,gls_freq_fap_g_fov,nhm_fund_freq_g_fov,spearman_corr_ipd_g_fov,spearman_corr_exf_g_fov,scan_angle_model_ampl_sig_g_fov,M_G,spin_dist,in_jestin,jestin_var,in_tier1,in_tier2,checked,steen,vsx_period,vsx_type,main_id
1980836825284018560,325.88982719036176,51.334328970739655,0.5808049281195851,5.9311695,20.600037,-0.9854431,-1.502057732218898,-4.417754562335656,1.0106732,33,12.575610043179,0.7393349,0.0002818501161095,12.575557996337356,0.39204547,-0.22068965,1.4214464,9.420188463443502,0.5756100431789992,False,,False,False,False,,,UGSS,
2208250945549692672,340.9063422939085,63.33081951359708,2.5523514962916605,52.076965,16.957214,-0.18994713,13.247041653494511,10.230156985334617,0.97615546,45,0.765041257117,0.62767327,0.0001422294832117,0.7650184382715625,0.093807645,0.34084693,1.7154806,8.991916414485674,3.234958742883,False,,False,False,False,,,WD,
2393875961742886656,354.72036510138236,-18.437478691677217,26.875843211509732,694.393,15.487462,0.38508034,76.51920003596965,-140.37297647987643,1.0052531,31,3.221327944328,0.8508178,7.076563795923182e-07,3.2213336578102942,-0.10769231,0.081196584,2.041219,12.634272494173848,0.7786720556720002,True,True,True,False,False,False,,WD,EGGR 557
323342459647016448,22.120780185717553,38.91009339758491,4.235204108701121,66.99969,15.935518,-0.4539566,0.4667211841557033,-17.97222096605618,1.015814,30,0.199761051949,0.8189147,2.0056074323446895e-05,0.1997735081304265,0.27030033,0.15567766,1.3291383,9.069889726399229,3.800238948051,True,True,False,False,False,,,CV:,
1672645949384629248,207.73443604248664,67.6437206102955,3.010163166407032,18.495676,18.89825,-0.1990776,-16.213329694214995,-2.455681226050869,0.9568669,41,13.454495294609,0.847475,8.062918253631746e-11,13.45447673429875,0.3817073,0.085777126,3.2364428,11.29120018619118,1.454495294609,False,,True,False,False,False,0.0743255,R,GALEX J135056.2+673836
1931610757683854720,346.4080516061257,43.0460900336764,3.5956151091831097,22.495508,18.741566,-0.015594482,-22.791229414029,-10.91683581676141,1.0263268,81,1.738485549084,0.9020438,2.480740033262857e-34,1.738472636191139,-0.07503887,0.09012482,1.719477,11.52043198357048,2.2615144509159997,False,,True,False,False,False,0.57521905,R,Gaia DR3 1931610757683854720
2191618770599895296,321.91133242847366,59.63225600038463,4.14590996654877,74.701645,16.870663,-0.0621624,23.485678579363263,25.34106729193366,1.056956,50,11.061436624059,0.8750153,2.361714762606523e-16,11.061405011326732,0.35822666,0.2639775,2.2011912,9.958762333150505,0.9225633759409996,True,True,True,False,False,False,0.090405,DSCT,ZTF J212738.71+593756.2
2206722349507123456,336.41289189187154,65.84184975145004,3.842817099367819,78.84472,16.874962,-0.33288193,37.21563020151655,12.158529202376316,1.0600482,47,15.019624509139,0.7858988,4.4395536238496477e-10,15.019580730907665,-0.24421832,0.084803,2.5418634,9.798210572561686,0.9643754908610004,True,True,True,False,False,False,0.0665796,DSCT,ZTF J222539.10+655030.7
5148800025576590464,29.68234017241827,-15.040593288057163,1.32633341983684,11.302382,17.70838,-0.32178307,20.484659576088863,-5.091074400385235,1.0195012,38,7.332125280724,0.85686785,4.403921570373018e-10,7.33209824592357,0.07320276,0.0625,2.0260105,8.32164356375713,0.6518747192759999,True,False,True,False,False,False,0.1363873,VAR,SDSS J015843.74-150226.0
1643760297158768512,243.20443088784629,68.7721937213363,1.3289003772196333,14.888746,18.162281,-0.2138691,11.410426270993929,-25.88177930556186,0.9820074,41,3.496203383982,0.65550095,0.0002578965802845,3.4961993564403397,-0.12665506,-0.18431373,1.5301609,8.77974312350419,0.5037966160180001,False,,False,False,False,,0.2860215,EA/WD,
5142356337681897984,25.463783840379765,-16.9820038568293,1.7853256211635526,6.246936,19.408314,-0.22211075,14.108827095489447,-6.849495329605414,0.98289394,61,0.989452207984,0.86515576,2.0225181512851662e-20,0.9894428634328556,-0.19090429,0.18815911,1.1011529,10.666901187892396,3.010547792016,False,,True,False,False,False,2.02129,E,GALEX J014151.3-165855
369254560530545024,10.933565544284516,41.195080575595206,3.95577699964294,5.171201,20.137766,-0.36946297,-1.725204127678043,2.1854863173005477,1.2883039,27,17.041584577495,0.8049312,0.0005303456480858,17.041646909858652,0.4023199,-0.15384616,3.9952934,13.123925004926138,1.0415845774950014,False,,False,False,False,,,none,
380085093662546560,4.96599297960813,39.465775760098914,11.957108430392534,5.584198,20.804567,1.4297848,3.4450028534922708,3.1505549379783107,1.344182,25,0.14638079897,0.82003903,0.0009427928037014,0.1463992547380551,0.42692307,0.67142856,5.130044,16.192697837829034,3.85361920103,False,,False,False,False,,,none,
266380159532195072,79.62806923471796,53.87205631114915,2.3119428742138286,11.802911,18.51802,-0.06022644,28.922132028287837,-35.72717279937574,1.0420872,77,1.821833004913,0.8647987,2.5460692589261467e-27,1.8218686782052491,0.06398864,-0.17176601,0.9288063,10.33790549450324,2.178166995087,False,,True,False,False,False,0.54889,VAR,GALEX J051830.7+535219
506086549232654720,25.929808580234855,58.69757182626106,2.5777595143042102,37.751484,16.891737,-0.26622772,7.4201655613087265,-8.518277924534333,1.0377591,88,3.354003292797,0.8988437,2.816139555262962e-37,3.3540430898120066,0.059191294,0.0028708135,2.7410371,8.947948992390417,0.645996707203,True,True,True,False,False,False,0.2981715,BY,ZTF J014343.15+584151.3
2067689237315646848,306.7467807418374,41.27894765533493,2.997562068089493,48.453976,17.10711,-0.06449318,32.80949900280295,21.516355302177946,0.95988196,40,3.909450179184,0.81845903,4.3009058128020424e-09,3.909414890944184,-0.08442777,0.19847211,0.37908614,9.49095092224007,0.0905498208159998,True,False,True,False,False,False,0.25579,VAR,UVEX J202659.21+411644.1
2411529617359368960,345.1962581554947,-12.848607778724537,3.2163372356434423,47.78088,16.692835,-0.38630295,35.19045044974758,-0.6069760271360446,0.99580336,26,1.438690731339,0.81643355,0.0006390533226053,1.4387085968346711,0.19863248,0.3090909,1.8013278,9.229642893013558,2.5613092686609997,True,True,False,False,False,,,WD,
385698341037793152,4.92676905850874,44.100007003956165,6.158956613324342,5.356479,19.491936,0.92529106,3.1427022482785167,-1.8704136358123191,2.7334104,48,0.319079317914,0.64578396,1.207311321540124e-05,0.3191033462195843,0.28951368,0.17802198,11.608502,13.439471723600974,3.680920682086,False,,False,False,False,,,none,
3107374277060584064,101.15871379551456,-0.7640284409465966,1.816263606472784,20.595652,17.270922,-0.34508705,-0.1267541363407235,0.5582783626352084,0.9615295,21,1.686665828398,0.92906886,1.411450199265409e-05,1.686694831406332,-0.08051948,-0.33766234,2.1080675,8.566816404097942,2.313334171602,True,False,False,False,False,,,WD,
3138305596433476480,113.87277939494858,4.81355303163679,1.0550410678600914,10.2151165,17.57013,-0.32755852,-7.210269138393956,0.9482815814598808,1.0204039,26,4.129961289655,0.86321616,2.731480180085258e-05,4.129949305121739,0.41880342,0.04347826,3.4069424,7.68647682517277,0.1299612896550002,True,False,False,False,False,,,WD,
377363321347203456,14.806863215015795,44.97118945247032,6.756990899423713,9.989809,19.134,0.85064125,-4.379169729037151,0.840080499830765,2.4549048,39,0.012973963229,0.73141605,1.0038674436323817e-05,0.0131159066289961,0.4846154,0.5366936,23.516788,13.282766670003944,3.987026036771,False,,False,False,False,,,none,
2428675569186550784,1.4832999553083357,-10.036996447450612,6.636365165309016,46.66843,17.944157,-0.3656559,83.55684467705466,22.539703853887897,1.0293494,43,0.473946181934,0.90121686,3.0096754567707506e-15,0.4739840135396356,0.41156948,0.010644258,2.943246,12.05380837509452,3.526053818066,True,True,True,False,False,False,2.11,ROT/WD,PHL   657
948302051375695744,109.26140833923812,39.88994536715893,1.5417985893570665,19.758488,16.559393,-0.49363136,12.868034848277167,12.077897362225336,1.0877507,28,1.278175052637,0.78877556,0.0007166476100576,1.2781965147016603,-0.394636,0.18846154,2.2136524,7.4995312199238064,2.7218249473630003,True,True,False,False,False,,0.78247,R,
541501543878505216,47.79335142617208,70.1616345176216,1.5570711482671815,10.783208,18.310621,0.012905121,4.967963538224585,-8.071441620942498,1.0109208,49,4.62914723431,0.8851994,9.090453739241932e-17,4.62909372562216,-0.18714286,-0.11699044,1.5173153,9.272163287612187,0.6291472343100004,False,,True,False,False,False,0.216023,VAR,GALEX J031110.3+700941
1368447331503747968,265.9526040166486,52.0627375166555,3.407354927489851,19.951002,19.083765,0.0996685,28.903019547577735,6.115592059314367,0.9241579,38,0.031151202681,0.73447675,1.498521397943887e-05,0.0311491387426654,0.07539118,-0.12316716,0.5522336,11.745851871276246,3.968848797319,False,,False,False,False,,0.05992,UGWZ,
1395293935119779584,228.4312709565437,44.57678393513392,2.416567880805202,38.738228,17.392017,-0.27241135,-6.54987831317831,10.872552270074806,0.9519027,50,9.050056755796,0.8002406,9.768700935656711e-12,9.050076896129829,-0.24388956,0.08245243,1.4312704,9.3080119943641,1.0500567557959997,True,True,True,False,False,False,0.1104965,VAR,BSO 29
