recno,WDJname,GaiaDR3,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,plx,e_plx,Gmag,RPmag,BPmag,gmag,rmag,Variable,Periodic,Freq,gAmp,rAmp,Class,Note,Simbad
482,WDJ061110.18+273658.21,3436267028447648512,92.79251187097,0.134414,27.61608730316,0.114107,5.6085,0.1568,17.9720,17.9893,17.9947,17.91385,18.10039,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
483,WDJ054658.09+293634.19,3444279861171809920,86.74219382180,0.111152,29.60932129061,0.090692,4.0327,0.1311,17.5639,17.4585,17.3884,17.34903,17.51452,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
484,WDJ052038.32+304823.92,3446909137068558464,80.15994844850,0.035067,30.80610140064,0.023251,17.5116,0.0387,15.5794,15.5885,15.5909,15.52671,15.73142,True,True,320.0083438408,0.067729900,0.061697700,ZZ_Ceti,"in_SIMBAD_(V*),_in_MWDD",Simbad
485,WDJ054458.95+315555.49,3448106775815612928,86.24561505601,0.184242,31.93196544435,0.136715,2.4475,0.2225,17.8826,17.7488,17.8240,17.80593,18.10826,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
486,WDJ061531.25+362032.28,3453072170325688960,93.88019131121,0.080894,36.34230384254,0.068749,3.9372,0.0906,16.9936,17.2495,16.8748,16.82956,17.28828,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
487,WDJ115840.65-202951.23,3494580937593244672,179.66918138804,0.039487,-20.49752495586,0.025640,14.5093,0.0485,16.0110,16.0186,16.0266,15.96083,16.15076,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
488,WDJ131246.44-232132.60,3503987633230546688,198.19211521989,0.101940,-23.35931917865,0.078956,10.3646,0.1272,17.6039,17.4180,17.6958,17.65104,17.56375,False,False,0.0000000000,0.000000000,0.000000000,---,in_SIMBAD_(CV),Simbad
489,WDJ131619.57-200732.06,3506567328028533120,199.07856135478,0.077675,-20.12539842047,0.070533,43.2284,0.1045,17.0122,16.4296,17.4555,17.51940,16.91053,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
490,WDJ125005.11-203632.29,3509435507186636288,192.52128635412,0.082517,-20.60904587661,0.064432,1.4303,0.0996,17.3465,17.7143,17.1480,17.14546,17.71943,True,True,1.1329456420,0.252881165,0.260797195,Unknown_type,---,Simbad
491,WDJ124917.71-181851.32,3521997672348520064,192.32315575377,0.100982,-18.31418885114,0.073300,6.5535,0.1165,17.8156,17.7889,17.8279,17.79760,17.93322,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
492,WDJ124600.71-123619.89,3529049458892171776,191.50143130429,0.033165,-12.60469677641,0.018982,16.0695,0.0421,15.5987,15.6310,15.6034,15.53603,15.74721,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
493,WDJ020322.00+460731.77,352956774550265600,30.84158460378,0.050434,46.12541941976,0.057870,2.0621,0.0663,16.4605,16.5168,16.3799,16.38100,16.73928,True,True,4.5618098733,0.120305070,0.238893500,WD-MS_binaries,in_SIMBAD_(V*),Simbad
494,WDJ105638.63-225256.08,3549471753507182592,164.16058337109,0.037810,-22.88092042790,0.035739,27.6511,0.0511,15.9559,15.7031,16.0955,16.07136,15.96504,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
495,WDJ105327.70-164258.13,3557290342036755200,163.36546573759,0.096395,-16.71631855575,0.090172,5.9114,0.1224,17.3426,17.4369,17.2753,17.18029,17.48033,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
496,WDJ104736.65-153950.05,3557657200963262080,161.90291551836,0.113287,-15.66420984106,0.098594,7.2928,0.1412,17.8475,17.8256,17.8902,17.81350,17.96809,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
497,WDJ111348.94-171209.62,3559146111505680768,168.45368650350,0.090499,-17.20271064464,0.083337,5.8657,0.1281,17.9254,17.9102,17.9542,17.90077,18.06004,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
498,WDJ113105.52-143808.24,3560978005254115840,172.77299662922,0.056620,-14.63547056497,0.042982,7.0114,0.0699,16.8879,16.7958,16.7871,16.77046,16.97871,False,False,0.0000000000,0.000000000,0.000000000,---,---,Simbad
