###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57368.594547 -24.069 30.000    -1   26 o  0   0.91 163.12055 -29.88563  9921.68 10415.66 3.93 3.69  80.0 -0.431 19.11 20.68 02a57368o0639o
57368.600119  21.019  2.000    14   28 o  0   1.00 163.12055 -29.88563  6202.31   621.89 4.74 3.57   2.2 -0.502 18.99 20.54 02a57368o0648o
57368.604420  20.826  1.875    17   32 o  0   0.88 163.12055 -29.88563   366.25 10424.00 4.42 3.99 -57.5 -0.442 19.06 20.69 02a57368o0655o
57368.615602 -21.252  2.071   -12   24 o  0   0.96 163.12055 -29.88563  9626.05  9815.54 3.92 3.53  82.5 -0.436 19.16 20.80 02a57368o0672o
57368.621195  16.941  0.021   608   13 o  0 791.58 163.12055 -29.88563  5898.40    31.28 4.66 3.55   1.4 -0.509 19.10 20.79 02a57368o0681o
57368.624862  23.992 23.000     1   21 o  0   1.27 163.12055 -29.88563  6784.64  1212.29 4.16 3.44   9.9 -0.506 19.16 20.82 02a57368o0687o
57368.629359 -20.118  0.938   -33   30 o  0   0.95 163.12055 -29.88563    99.46  9841.15 4.56 3.82 -65.8 -0.423 19.15 20.83 02a57368o0694o
57368.649696 -19.315  0.359   -68   24 o  0   0.91 163.12055 -29.88563  1244.08  9217.61 4.11 3.56 -73.5 -0.453 19.11 20.70 02a57368o0723o
57369.605480 -19.719  0.518   -47   24 o  0   0.66 163.12055 -29.88563  9920.09 10415.72 3.88 3.64  82.7 -0.435 19.37 21.19 02a57369o0468o
57369.610737 -21.512  2.444    -9   22 o  0   0.85 163.12055 -29.88563  6198.67   618.79 4.63 3.39   3.1 -0.491 19.29 21.13 02a57369o0476o
57369.617063  20.562  1.286    22   28 o  0   0.80 163.12055 -29.88563   367.68 10421.64 4.39 3.87 -63.4 -0.457 19.33 21.17 02a57369o0485o
57369.619607  21.276  1.857    11   21 o  0   0.87 163.12055 -29.88563  9625.12  9812.51 3.84 3.49  83.6 -0.442 19.40 21.22 02a57369o0489o
57369.627550 -20.933  1.938   -15   30 o  0   0.90 163.12055 -29.88563    98.29  9841.02 4.40 3.62 -67.9 -0.454 19.37 21.18 02a57369o0501o
57369.640421  20.730  0.900    18   17 o  0   1.83 163.12055 -29.88563  6781.17  1210.32 4.29 3.39   6.9 -0.495 19.34 21.14 02a57369o0522o
57369.663188  20.532  2.400    22   53 o  0   1.02 163.12055 -29.88563  1241.86  9213.37 4.15 3.51 -71.1 -0.473 18.50 19.53 02a57369o0558o
57380.577693  20.528  2.217    22   50 o  0   1.11 163.12055 -29.88563  9898.47 10420.60 4.28 3.84  75.5 -0.436 18.35 19.35 02a57380o0552o
57380.582995  21.114  3.750    13   49 o  0   1.21 163.12055 -29.88563  6174.95   624.96 4.71 3.49   1.8 -0.527 18.28 19.23 02a57380o0560o
57380.590209  20.962  3.769    15   56 o  0   1.16 163.12055 -29.88563   345.75 10426.61 4.99 3.97 -63.0 -0.415 18.35 19.34 02a57380o0571o
57380.591431 -21.025  3.500   -14   49 o  0   1.13 163.12055 -29.88563  9601.54  9819.44 4.09 3.61  81.2 -0.446 18.37 19.36 02a57380o0573o
57380.601946 -18.661  0.615  -125   77 o  0   1.15 163.12055 -29.88563    73.32  9846.82 4.96 3.88 -64.0 -0.443 18.32 19.36 02a57380o0588o
57380.607262 -14.597  0.427 -5262 2247 o  0   0.31 163.12055 -29.88563  5865.23    35.49 5.02 3.68  -1.1 -0.525 18.27 19.28 02a57380o0596o
57380.611036 -19.817  1.195   -43   51 o  0   1.09 163.12055 -29.88563  6748.62  1220.41 4.49 3.63   5.2 -0.510 18.29 19.29 02a57380o0602o
57380.638848 -20.867  3.562   -16   58 o  0   1.30 163.12055 -29.88563  1206.27  9232.32 4.60 3.66 -68.7 -0.464 18.44 19.49 02a57380o0645o
57397.483812  20.101  0.543    33   18 c  0   1.07 163.12055 -29.88563  9916.01 10266.88 4.32 4.06  58.7 -0.386 19.51 21.58 02a57397o0422c
57397.488526  20.004  0.468    36   17 c  0   1.16 163.12055 -29.88563  9613.04  9662.55 4.28 3.99  65.9 -0.384 19.51 21.59 02a57397o0429c
57397.489137 -20.549  0.905   -22   20 c  0   1.10 163.12055 -29.88563   385.80 10289.25 4.49 4.18 -53.7 -0.403 19.48 21.53 02a57397o0430c
57397.496490 -20.151  0.683   -32   22 c  0   1.00 163.12055 -29.88563   105.86  9699.30 4.48 4.04 -62.0 -0.410 19.51 21.55 02a57397o0442c
57397.498330  21.678  2.312     8   18 c  0   1.08 163.12055 -29.88563  6767.22  1061.84 4.65 3.66   3.9 -0.451 19.50 21.56 02a57397o0445c
57397.506327  19.542  0.317    55   18 c  0   1.02 163.12055 -29.88563  1231.54  9065.96 4.25 3.82 -65.7 -0.423 19.55 21.56 02a57397o0458c
57404.542547 -20.149  0.704   -32   22 o  0   1.18 163.12055 -29.88563  9892.53 10433.83 3.95 3.63  87.7 -0.445 19.23 20.89 02a57404o0570o
57404.547478 -22.172  5.300    -5   26 o  0   0.89 163.12055 -29.88563  6167.48   638.86 4.28 3.38   0.6 -0.517 19.14 20.78 02a57404o0577o
57404.552417 -19.627  0.524   -51   27 o  0   1.14 163.12055 -29.88563   328.86 10439.47 4.09 3.73 -73.5 -0.474 19.22 20.85 02a57404o0584o
57404.569470 -19.730  0.589   -46   27 o  0   1.34 163.12055 -29.88563  1132.11   877.17 5.42 3.54 -28.8 -0.517 19.21 20.83 02a57404o0610o
57404.578756  19.980  0.880    37   33 o  0   1.31 163.12055 -29.88563    49.02  9863.46 4.21 3.68 -68.6 -0.470 19.20 20.84 02a57404o0624o
57405.549233 -20.233  1.067   -29   31 o  0   1.00 163.12055 -29.88563   822.96   269.13 5.94 3.50 -26.7 -0.450 19.17 20.74 02a57405o0556o
57405.553208 -20.850  1.368   -17   23 o  0   1.21 163.12055 -29.88563  6163.19   638.74 4.13 3.18   2.5 -0.514 19.15 20.69 02a57405o0562o
57405.558249 -22.626  7.000    -3   23 o  0   0.74 163.12055 -29.88563  9578.48  9836.08 3.82 3.41  85.6 -0.453 19.20 20.77 02a57405o0569o
57405.559828  20.692  1.462    19   28 o  0   0.97 163.12055 -29.88563   334.10 10440.76 4.19 3.69 -69.8 -0.484 19.20 20.78 02a57405o0571o
57405.576606  22.435 11.375     4   44 o  0   0.72 163.12055 -29.88563    60.90  9861.83 4.23 3.57 -67.3 -0.484 19.23 20.83 02a57405o0596o
57405.583254 -20.534  1.000   -22   22 o  0   1.00 163.12055 -29.88563  3961.71  9474.14 3.72 3.53 -87.9 -0.440 19.14 20.76 02a57405o0605o
57405.612361 -21.053  1.733   -14   24 o  0   1.01 163.12055 -29.88563  9502.60  1472.14 3.95 3.46  18.9 -0.522 19.20 20.85 02a57405o0648o
57406.518937 -19.251  0.506   -72   37 o  0   0.94 163.12055 -29.88563 10477.34  9857.84 4.04 3.43  86.5 -0.460 18.82 20.11 02a57406o0376o
57406.523163  20.134  2.167    32   70 o  0   0.67 163.12055 -29.88563  6768.24    48.75 4.51 3.17   5.1 -0.533 18.79 20.05 02a57406o0383o
57406.525595 -19.830  0.864   -42   37 o  0   0.86 163.12055 -29.88563  7067.24   641.79 4.38 3.26   7.8 -0.529 18.81 20.08 02a57406o0387o
57406.531571 -19.734  0.708   -46   33 o  0   0.91 163.12055 -29.88563   931.02  9827.78 4.18 3.62 -67.3 -0.481 18.88 20.21 02a57406o0396o
57406.542066  19.564  0.448    54   24 o  0   1.28 163.12055 -29.88563  9878.28  9254.35 3.92 3.26  85.1 -0.471 19.03 20.49 02a57406o0411o
57406.542668 -20.773  1.474   -18   26 o  0   1.23 163.12055 -29.88563  1208.19 10413.26 4.08 3.65 -72.1 -0.464 19.03 20.51 02a57406o0412o
57406.560905 -20.027  0.817   -35   29 o  0   0.90 163.12055 -29.88563   349.05  9260.58 4.38 3.58 -67.6 -0.477 19.18 20.79 02a57406o0440o
57406.572746  20.241  0.737    29   21 o  0   1.01 163.12055 -29.88563  4855.17  9479.11 3.61 3.39 -86.0 -0.455 19.16 20.75 02a57406o0458o
57407.515768 -20.024  1.192   -36   42 o  0   0.89 163.12055 -29.88563 10477.90  9857.74 4.25 3.76  84.0 -0.426 18.63 19.86 02a57407o0509o
57407.521939 -21.230  6.714   -12   78 o  0   0.85 163.12055 -29.88563  6767.45    50.13 4.63 3.57   3.8 -0.527 18.59 19.79 02a57407o0518o
57407.524996 -21.138  3.000   -13   38 o  0   1.12 163.12055 -29.88563  7065.26   642.43 4.56 3.71   7.4 -0.495 18.57 19.82 02a57407o0523o
57407.529135  20.974  2.679    15   40 o  0   0.93 163.12055 -29.88563   933.48  9825.31 4.40 3.93 -74.1 -0.439 18.63 19.91 02a57407o0529o
57407.539108  20.436  1.375    24   33 o  0   1.08 163.12055 -29.88563  9881.97  9251.31 4.03 3.53  83.7 -0.436 18.69 19.93 02a57407o0544o
57407.539720 -19.632  0.689   -51   35 o  0   1.07 163.12055 -29.88563  1212.06 10409.82 4.23 3.91 -76.5 -0.419 18.67 19.94 02a57407o0545o
57407.559232 -20.059  1.014   -34   35 o  0   1.11 163.12055 -29.88563   344.79  9262.13 4.27 3.64 -70.8 -0.464 18.75 19.98 02a57407o0574o
57407.570696  19.438  0.401    61   24 o  0   1.43 163.12055 -29.88563  4855.46  9480.65 3.68 3.51  87.5 -0.446 18.77 20.05 02a57407o0591o
57410.503441  19.729  1.387    47   65 o  0   1.21 163.12055 -29.88563 10478.83  9859.71 3.98 3.59 -87.8 -0.453 18.23 18.97 02a57410o0489o
57410.517653  18.955  0.569    95   54 o  0   1.31 163.12055 -29.88563   934.56  9829.38 4.10 3.66 -72.2 -0.464 18.25 18.98 02a57410o0510o
57410.523008  19.356  1.447    66   95 o  0   0.60 163.12055 -29.88563  6762.31    55.97 4.38 3.37   3.3 -0.535 18.16 18.88 02a57410o0518o
57410.525446  19.077  0.689    85   58 o  0   0.92 163.12055 -29.88563  7061.15   647.25 4.14 3.32   5.2 -0.536 18.19 18.88 02a57410o0522o
57410.532317  20.226  1.968    30   58 o  0   1.22 163.12055 -29.88563  1211.39 10414.82 4.13 3.78 -71.6 -0.446 18.23 18.98 02a57410o0532o
57410.541868  21.190  4.464    12   54 o  0   1.48 163.12055 -29.88563  9875.76  9258.03 4.00 3.57  87.9 -0.439 18.20 18.94 02a57410o0546o
57410.556360  19.641  1.085    50   55 o  0   0.93 163.12055 -29.88563  5846.24  1234.40 4.16 3.52  -1.2 -0.502 18.17 18.91 02a57410o0568o
57410.560548  18.768  0.554   113   62 o  0   1.00 163.12055 -29.88563   342.00  9265.82 4.16 3.58 -70.5 -0.479 18.27 18.99 02a57410o0574o
57411.498887 -20.595  8.256   -21  173 o  0   0.27 163.12055 -29.88563  6764.19    53.23 4.67 3.39   5.2 -0.537 18.07 18.71 02a57411o0481o
57411.504959  20.279  2.703    28   76 o  0   0.85 163.12055 -29.88563 10468.64  9863.12 4.14 3.55  87.9 -0.422 18.13 18.79 02a57411o0490o
57411.517922  18.805  0.575   109   63 o  0   1.29 163.12055 -29.88563   924.94  9831.60 4.23 3.76 -67.7 -0.461 18.14 18.82 02a57411o0508o
57411.523894 -20.115  2.111   -33   69 o  0   0.83 163.12055 -29.88563  7053.86   649.65 4.45 3.45   7.8 -0.537 18.09 18.75 02a57411o0517o
57411.534313 -19.960  1.833   -38   69 o  0   0.86 163.12055 -29.88563  1198.59 10420.22 4.17 3.81 -70.8 -0.443 18.15 18.84 02a57411o0533o
57411.534933  18.739  0.572   116   66 o  0   1.31 163.12055 -29.88563  9867.08  9261.96 4.02 3.43  83.5 -0.465 18.14 18.79 02a57411o0534o
57411.542345  19.247  0.870    73   63 o  0   1.37 163.12055 -29.88563   341.85  9264.22 4.35 3.69 -67.4 -0.462 18.15 18.83 02a57411o0545o
57411.556625 -20.670  3.543   -20   69 o  0   1.17 163.12055 -29.88563  4843.73  9480.73 3.79 3.61  88.7 -0.440 18.08 18.76 02a57411o0567o
57412.497423 -22.225 27.714    -5  130 o  0   0.51 163.12055 -29.88563  6767.65    53.69 5.14 3.88   6.0 -0.519 18.08 18.90 02a57412o0430o
57412.503500 -18.890  0.883  -101   89 o  0   0.90 163.12055 -29.88563 10470.90  9863.65 4.58 3.95  78.0 -0.414 18.11 18.94 02a57412o0439o
57412.516348 -19.356  0.905   -66   60 o  0   1.16 163.12055 -29.88563   927.65  9832.82 4.44 3.81 -68.8 -0.453 18.19 18.97 02a57412o0457o
57412.522609  21.192  5.286    12   64 o  0   0.99 163.12055 -29.88563  7053.59   650.75 4.71 3.69   7.3 -0.514 18.13 18.93 02a57412o0466o
57412.533188 -21.774  8.214    -7   58 o  0   1.04 163.12055 -29.88563  1202.66 10418.56 4.31 3.89 -68.0 -0.432 18.22 19.00 02a57412o0482o
57412.533811  18.564  0.529   136   72 o  0   0.92 163.12055 -29.88563  9872.64  9260.42 4.12 3.53  83.5 -0.446 18.19 18.96 02a57412o0483o
57412.541260 -19.182  0.864   -77   67 o  0   1.00 163.12055 -29.88563   343.70  9265.46 4.50 3.75 -66.7 -0.463 18.22 19.02 02a57412o0494o
57412.555536  21.057  4.559    14   62 o  0   0.89 163.12055 -29.88563  4847.06  9478.28 3.71 3.47 -88.2 -0.458 18.23 18.96 02a57412o0516o
57416.479163  18.988  0.386    92   36 o  0   1.14 163.12055 -29.88563 10204.71  9635.59 4.00 3.64  86.4 -0.439 18.68 19.90 02a57416o0443o
57416.491881 -20.009  0.987   -36   36 o  0   1.04 163.12055 -29.88563   664.97  9623.46 4.08 3.71 -69.5 -0.463 18.66 19.85 02a57416o0463o
57416.493809 -18.911  0.411   -99   41 o  0   1.06 163.12055 -29.88563 10491.79 10243.15 3.96 3.68 -85.5 -0.402 18.73 19.94 02a57416o0466o
57416.498286  20.330  1.232    27   33 o  0   1.56 163.12055 -29.88563  6777.58   429.68 4.28 3.36   5.3 -0.513 18.67 19.84 02a57416o0473o
57416.505900  19.740  0.804    46   37 o  0   1.05 163.12055 -29.88563   940.26 10209.26 3.90 3.72 -73.8 -0.464 18.68 19.83 02a57416o0485o
57416.512941  21.178  2.885    12   35 o  0   1.12 163.12055 -29.88563  5571.81  1014.24 4.18 3.38  -0.4 -0.520 18.67 19.83 02a57416o0496o
57416.526593 -20.749  1.895   -18   34 o  0   1.03 163.12055 -29.88563  5849.53  1235.93 4.17 3.51   1.5 -0.498 18.63 19.80 02a57416o0518o
57417.482032 -20.949  2.483   -15   38 o  0   0.98 163.12055 -29.88563  6918.10   291.86 4.42 3.53   4.7 -0.515 18.68 19.97 02a57417o0435o
57417.489924 -20.134  1.015   -32   33 o  0   1.05 163.12055 -29.88563  1068.72 10044.91 4.01 3.82 -59.7 -0.457 18.74 20.01 02a57417o0446o
57417.498019 -19.050  0.380   -87   33 o  0   0.95 163.12055 -29.88563  7196.01   887.20 4.04 3.44   7.9 -0.515 18.75 20.01 02a57417o0458o
57417.513113  20.232  1.147    29   34 o  0   0.78 163.12055 -29.88563  5991.32  1466.62 3.92 3.33   2.0 -0.510 18.76 20.00 02a57417o0481o
57417.528906  20.812  1.700    17   29 o  0   1.08 163.12055 -29.88563  5847.57  1234.79 3.88 3.30   4.3 -0.524 18.80 20.05 02a57417o0505o
57429.487964 -20.369  0.707   -26   18 c  0   0.95 163.12055 -29.88563  5816.77  1095.55 4.41 3.60   2.5 -0.472 19.58 21.56 02a57429o0465c
57430.503996 -21.882  2.529    -6   16 c  0   0.98 163.12055 -29.88563  4770.63  9426.23 3.80 3.73  36.5 -0.416 19.62 21.64 02a57430o0454c
57438.475285  21.491  5.800     9   53 o  0   0.86 163.12055 -29.88563   280.59   846.98 5.34 3.58 -29.1 -0.483 18.38 19.30 02a57438o0433o
57438.487851  19.649  0.952    50   48 o  0   0.95 163.12055 -29.88563  9799.86   873.85 4.01 3.60  37.9 -0.520 18.40 19.35 02a57438o0457o
57438.497262 -19.075  0.515   -85   44 o  0   0.88 163.12055 -29.88563  3659.00 10062.97 3.90 3.66  20.9 -0.406 18.34 19.25 02a57438o0475o
57438.503567 -19.185  0.701   -77   54 o  0   1.25 163.12055 -29.88563  9520.91   294.11 4.12 3.50  25.7 -0.495 18.43 19.35 02a57438o0487o
57438.513505  21.589  4.619     8   39 o  0   1.43 163.12055 -29.88563  4861.45  9484.60 3.61 3.51  34.6 -0.442 18.37 19.23 02a57438o0506o
57438.529545 -19.580  0.827   -53   44 o  0   0.88 163.12055 -29.88563  4814.42  9466.57 3.63 3.50  32.8 -0.440 18.33 19.19 02a57438o0536o
57439.452891  19.890  1.456    40   58 o  0   1.00 163.12055 -29.88563 10328.40 10081.99 4.53 3.61  76.7 -0.455 18.16 18.87 02a57439o0442o
57439.460519 -18.887  0.749  -101   76 o  0   0.74 163.12055 -29.88563  6614.93   275.36 4.74 3.34   6.0 -0.534 18.14 18.86 02a57439o0454o
57439.468158 -20.552  2.455   -22   54 o  0   1.23 163.12055 -29.88563   779.94 10057.91 4.26 3.72 -63.1 -0.460 18.21 18.94 02a57439o0466o
57439.479638  19.863  1.447    41   60 o  0   1.16 163.12055 -29.88563  3710.18  9820.96 3.79 3.67 -56.3 -0.448 18.14 18.83 02a57439o0484o
57439.487229  17.459  8.071   377 3044 o  0   0.00 163.12055 -29.88563  9578.95    49.97 5.01 3.59  23.0 -0.481 18.20 18.90 02a57439o0496o
57439.499211  19.082  0.833    85   70 o  0   0.86 163.12055 -29.88563  4914.58  9244.70 3.70 3.50 -83.1 -0.467 18.14 18.84 02a57439o0515o
57439.517650 -20.550  2.815   -22   62 o  0   1.04 163.12055 -29.88563  4816.32  9461.27 3.60 3.47 -75.6 -0.473 18.13 18.78 02a57439o0545o
57447.437696 -19.567  0.720   -54   39 o  0   0.96 163.12055 -29.88563   363.53  1077.11 5.88 3.60 -29.4 -0.460 18.88 20.27 02a57447o0472o
57447.454712 -21.410  3.765   -10   37 o  0   0.96 163.12055 -29.88563    87.45   476.05 6.23 3.54 -27.9 -0.280 18.87 20.22 02a57447o0506o
57447.455214  20.434  1.595    24   39 o  0   0.72 163.12055 -29.88563  9896.12  1076.34 4.83 3.67  27.7 -0.508 18.86 20.18 02a57447o0507o
57447.464467  20.499  1.302    23   30 o  0   1.12 163.12055 -29.88563  3769.55 10272.36 3.85 3.72  -8.1 -0.409 18.79 20.08 02a57447o0525o
57447.473046 -19.667  0.847   -49   42 o  0   0.93 163.12055 -29.88563  9614.85   497.05 4.91 3.63  21.9 -0.506 18.85 20.16 02a57447o0541o
57447.483365  19.257  0.443    72   32 o  0   0.88 163.12055 -29.88563  4970.21  9693.37 3.63 3.59  60.0 -0.450 18.78 20.04 02a57447o0560o
57447.502686 -20.810  1.690   -17   29 o  0   1.16 163.12055 -29.88563  4812.75  9456.70 3.68 3.51 -73.1 -0.459 18.74 19.96 02a57447o0594o
57453.430057  21.357  1.944    10   20 c  0   0.98 163.12055 -29.88563   220.59   872.05 5.66 3.74 -27.7 -0.440 19.58 21.56 02a57453o0431c
57453.441814  20.298  0.684    28   19 c  0   1.10 163.12055 -29.88563  9737.73   903.05 4.71 3.73  25.7 -0.446 19.56 21.52 02a57453o0455c
57453.451134  21.560  2.286     9   20 c  0   0.78 163.12055 -29.88563  3617.48 10070.83 4.01 3.94 -12.9 -0.391 19.50 21.47 02a57453o0474c
