ra,dec,rmag,imag,ndet
247.073117140971,-29.188299065771325,21.651482,99.99,11
247.07677303964365,-29.189943899488778,21.96875,21.63052,8
247.07685440174504,-29.189187358778923,18.876966,99.99,12
247.07588510011112,-29.185956344410258,21.050518,19.796875,13
247.07649247576902,-29.187551379109923,21.06618,99.99,13
247.07607914384892,-29.18707412103365,22.560173,99.99,4
247.07971558999284,-29.187512826832076,18.677658,99.99,12
247.08085020994153,-29.187763079365862,17.766317,99.99,13
247.08078052367551,-29.186699491017418,20.949902,20.546875,14
247.08233479178276,-29.18907628356603,22.737263,21.5,7
247.08332419656588,-29.189014723354255,22.602911,21.9375,8
247.08363866463307,-29.188053649152874,23.078125,99.99,2
247.08621346109106,-29.189581091373796,20.750181,20.185991,15
247.08542020030225,-29.18773016157551,99.99,99.99,2
247.0880232383637,-29.189041502953977,21.086279,20.625,13
247.0893638858757,-29.188017423237714,99.99,99.99,1
247.03176826597286,-29.177134027206,20.46875,99.99,4
247.03679795211798,-29.177899885928987,99.99,99.99,3
247.03216569660097,-29.17456734528819,21.9375,20.625,3
247.03700071542065,-29.17556934239035,18.8125,18.5,7
247.03675911716155,-29.174414690203893,22.4375,20.34375,3
247.03744164203218,-29.178221952415257,99.99,99.99,3
247.03976309200573,-29.178908200459897,99.99,23.046875,1
247.04056672809787,-29.178076382396746,99.99,99.99,1
247.03810649283653,-29.17584459471862,99.99,22.296875,2
247.03843043009974,-29.174390753938788,99.99,22.78125,1
247.03954040832107,-29.175022758497903,20.121435,19.21875,7
247.0414350959642,-29.17580156949477,23.359375,22.171875,3
247.0336466136832,-29.17159679910726,19.502625,18.109375,8
247.03442114399013,-29.173084381905106,21.698696,21.109375,6
247.03622209749216,-29.173326771072063,99.99,22.90625,1
247.0335638512946,-29.16908591477162,22.199484,21.002111,6
247.03583473573568,-29.17000334783622,19.914194,19.576275,9
247.0346992386698,-29.168379217913234,20.1965,19.676142,9
247.03839480977115,-29.173410087728133,22.21875,21.78125,2
247.03781268688076,-29.17141537604943,16.040947,15.546875,7
247.0394791260112,-29.17264690559916,19.925253,19.40625,8
247.04119750011787,-29.173220480521692,20.42857,19.953125,6
247.0427071188586,-29.174004639110734,99.99,21.609375,3
247.04151175484822,-29.17216610308459,99.99,22.71875,1
247.04239051263897,-29.172400576897598,18.594591,18.21875,8
247.03782768351937,-29.169696814035046,99.99,21.890625,1
247.03882480541898,-29.169925951291226,21.59375,21.12468,5
247.03981073720325,-29.16936463190086,21.62391,21.047344,8
247.0403351825349,-29.170994962596808,19.353935,19.015625,7
247.04457458478439,-29.179041465307076,20.236027,19.90625,7
247.0460727132357,-29.177913762421465,99.99,99.99,1
247.04646801273395,-29.180156714326944,23.125,21.75,3
247.04679026997925,-29.178311442485025,99.99,99.99,1
247.04608848311028,-29.17608925100747,99.99,22.1875,3
247.0472616119801,-29.177274177036598,99.99,21.875,3
247.04835438649394,-29.17765464532104,99.99,99.99,1
247.04863302067284,-29.17635412326432,99.99,21.71875,3
247.0514641631205,-29.179797673719847,20.119303,19.671875,8
247.04977512702527,-29.178212101186183,99.99,99.99,3
