ra,dec,gmag,rmag,imag,ndet,class_star
247.19069309931194,-29.186665245500755,99.99,99.99,21.734375,3,0.538574
247.19386669243775,-29.189468799299565,19.26009,99.99,17.84375,7,0.983329
247.1935619371262,-29.187789510288464,99.99,99.99,22.03125,3,0.818522
247.19702857211288,-29.189172821418772,99.99,99.99,22.4375,3,0.59668
247.19690525952385,-29.18803614480733,99.99,99.99,22.59375,2,0.623535
247.1986998271019,-29.189060013528444,99.99,99.99,20.96875,3,0.961914
247.19991115627204,-29.188185558217246,23.463871,99.99,20.4375,7,0.717913
247.20456017722034,-29.189477016477845,21.982841,99.99,20.092611,9,0.953722
247.20982948006815,-29.1899005337453,99.99,99.99,21.947931,4,0.789429
247.1758928521397,-29.18330688631097,22.515625,99.99,20.890625,3,0.951497
247.17558714258124,-29.182818285297234,99.99,99.99,22.421875,1,0.76123
247.17879573239176,-29.184163387399575,21.296875,99.99,19.921875,3,0.982096
247.17774657219059,-29.18211726729127,20.09375,99.99,18.828125,3,0.983724
247.1788273808315,-29.182540918409146,22.015625,99.99,20.796875,3,0.978678
247.17972136961967,-29.182369338803916,99.99,99.99,20.90625,2,0.940674
247.17508315812472,-29.181131992400005,99.99,99.99,20.84375,2,0.196594
247.17396468744025,-29.179618820460576,99.99,99.99,99.99,1,0.546875
247.17588146787963,-29.179569849984812,99.99,99.99,21.5,2,0.85498
