epoch,exposure,in_nsc,pred_ra,pred_dec,pred_V,smia_3sig,smaa_3sig,box_arcsec,n_in_box,nearest_sep,nearest_mag,nearest_cstar,time_align,verdict
2014-Jun-06,c4d_140606_025954_ooi_r_v1,yes,243.481275,-29.544252,21.520,0.26,0.29,5.0,3,3.036,18.811852,0.981966,2014-Jun-06 02:59~2014-Jun-06 02:59,partner_exp(match in 065522)
2014-Jun-06,c4d_140606_065522_ooi_r_v1,yes,243.477518,-29.543436,21.521,0.26,0.29,5.0,3,0.255,21.744244,0.93423,2014-Jun-06 06:54~2014-Jun-06 06:54,CHAIN_MATCH
2015-Jun-20,c4d_150620_050628_ooi_r_v2,yes,244.74403,-29.394713,21.568,0.35,0.92,5.0,1,0.424,21.785372,0.923558,2015-Jun-20 05:05~2015-Jun-20 05:05,CHAIN_MATCH
2015-Jun-20,c4d_150620_050928_ooi_r_v2,yes,244.743986,-29.394702,21.568,0.35,0.92,5.0,1,0.366,21.792768,0.942748,2015-Jun-20 05:08~2015-Jun-20 05:08,CHAIN_MATCH
2016-Mar-08,c4d_160308_082444_ooi_VR_v1,yes,247.962207,-29.46662,21.704,0.43,2.12,5.0,3,0.974,21.792213,0.973573,2016-Mar-08 08:23~2016-Mar-08 08:23,CHAIN_MATCH
2016-Mar-08,c4d_160308_082745_ooi_VR_v1,yes,247.962207,-29.466625,21.704,0.43,2.12,5.0,1,4.763,22.224361,0.93751,2016-Mar-08 08:26~2016-Mar-08 08:26,"no_match_in_ellipse(nearest 4.8"")"
2017-Jul-17,c4d_170717_014149_ooi_VR_v1,NO,247.342295,-29.054699,21.66,0.59,3.04,,n/a,,,,2017-Jul-17 01:40:57,ASSIGNED_WINDOW: not in NSC DR2 -> pixel-only (SSOIS-confirmed; _ooi_ md5 84a079...)
2017-Jul-17,c4d_170717_014448_ooi_VR_v1,NO,247.342264,-29.054689,21.66,0.59,3.04,,n/a,,,,2017-Jul-17 01:43:56,ASSIGNED_WINDOW: not in NSC DR2 -> pixel-only (SSOIS-confirmed; _ooi_ md5 4b5e69...)
2019-Apr-28,c4d_190428_083626_ooi_Y_v1,yes,252.0419,-29.064239,21.656,0.79,6.67,8.7,10,4.491,16.284853,0.955376,2019-Apr-28 08:36~2019-Apr-28 08:36,2019_wide_ellipse_ambiguous(pixel-review)
2019-Apr-29,c4d_190429_082142_ooi_i_v1,yes,252.024362,-29.063095,21.654,0.79,6.67,8.7,14,1.732,21.595816,0.863872,2019-Apr-29 08:22~2019-Apr-29 08:22,2019_wide_ellipse_ambiguous(pixel-review)
2019-Apr-29,c4d_190429_082241_ooi_z_v1,yes,252.024349,-29.063094,21.654,0.79,6.67,8.7,12,1.726,21.087202,0.903079,2019-Apr-29 08:23~2019-Apr-29 08:23,2019_wide_ellipse_ambiguous(pixel-review)
2019-Apr-29,c4d_190429_082340_ooi_Y_v1,yes,252.024337,-29.063094,21.654,0.79,6.67,8.7,6,3.804,20.69588,0.534525,2019-Apr-29 08:24~2019-Apr-29 08:24,2019_wide_ellipse_ambiguous(pixel-review)
2019-Aug-20,c4d_190820_232431_ooi_i_v1,yes,250.069623,-28.650695,21.735,0.84,6.09,8.1,0,,,,2019-Aug-20 23:26~2019-Aug-20 23:26,2019_wide_ellipse_ambiguous(pixel-review)
2019-Aug-20,c4d_190820_232904_ooi_i_v1,yes,250.069616,-28.650683,21.735,0.84,6.09,8.1,3,2.931,21.412586,0.932529,2019-Aug-20 23:30~2019-Aug-20 23:30,2019_wide_ellipse_ambiguous(pixel-review)
2019-Aug-20,c4d_190820_233101_ooi_i_v1,yes,250.069612,-28.650678,21.735,0.84,6.09,8.1,9,2.109,20.20697,0.059081,2019-Aug-20 23:32~2019-Aug-20 23:32,2019_wide_ellipse_ambiguous(pixel-review)
2019-Jun-09,c4d_190609_054934_ooi_g_v1,yes,251.149683,-28.959846,21.564,0.79,6.42,8.4,7,1.506,20.554604,0.982288,2019-Jun-09 05:51~2019-Jun-09 05:51,2019_wide_ellipse_ambiguous(pixel-review)
2019-May-01,c4d_190501_051802_ooi_g_v1,yes,251.990474,-29.060739,21.649,0.79,6.66,8.7,4,1.552,20.424986,0.981606,2019-May-01 05:19~2019-May-01 05:19,2019_wide_ellipse_ambiguous(pixel-review)
2019-May-01,c4d_190501_052007_ooi_r_v1,yes,251.990462,-29.060738,21.649,0.79,6.66,8.7,4,1.68,19.82097,0.927199,2019-May-01 05:20~2019-May-01 05:20,2019_wide_ellipse_ambiguous(pixel-review)
2019-May-13,c4d_190513_074224_ooi_g_v1,yes,251.751174,-29.039651,21.617,0.79,6.6,8.6,9,2.045,16.585304,0.987099,2019-May-13 07:43~2019-May-13 07:43,2019_wide_ellipse_ambiguous(pixel-review)
2019-May-14,c4d_190514_051628_ooi_i_v1,yes,251.73228,-29.037692,21.614,0.79,6.59,8.6,11,1.606,19.950478,0.239717,2019-May-14 05:17~2019-May-14 05:17,2019_wide_ellipse_ambiguous(pixel-review)
