Image	MJD	Filter	Exptime	Object_RA	Object_Dec	Image_target	Telescope/Instrument	Datalink
rings.v3.skycell.0688.060.wrp.r.56812_35719	56812.3578561167	r	45	243.521358773345	-29.5529171478739	0688.060	Pan-STARRS1	
rings.v3.skycell.0688.060.wrp.r.56812_36581	56812.3664837167	r	45	243.521162495445	-29.5528749684962	0688.060	Pan-STARRS1	
rings.v3.skycell.0688.060.wrp.r.56812_37443	56812.3751076167	r	45	243.52096630172	-29.5528328072073	0688.060	Pan-STARRS1	
rings.v3.skycell.0688.060.wrp.r.56812_38307	56812.3837415167	r	45	243.520769880495	-29.5527905970295	0688.060	Pan-STARRS1	
c4d_140606_025954_ori.fits.fz 1fabf76352f9889399b526e1a16e505e	56814.1237466855	r	100	243.481283564574	-29.5442458150915	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/1fabf76352f9889399b526e1a16e505e
c4d_140606_025954_ooi_r_v1.fits.fz 41bd73138f945c8d2774eec4019f3595	56814.1237466855	r	100	243.481283564574	-29.5442458150915	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/41bd73138f945c8d2774eec4019f3595
c4d_140606_025954_opi_r_v1.fits.fz d7a4536e0e1e56edb1946a0ffe1d03f6	56814.1237466855	r	100	243.481283564574	-29.5442458150915	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/d7a4536e0e1e56edb1946a0ffe1d03f6
c4d_140606_025954_ooi_r_ls11.fits.fz d2b914afc8987acc763d2c1f32938750	56814.1237466855	r	100	243.481283564574	-29.5442458150915	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/d2b914afc8987acc763d2c1f32938750
c4d_140606_065522_ori.fits.fz 07c8750c4e4a94c27e1f062d144147e8	56814.2872649957	r	100	243.477583962805	-29.5434327657158	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/07c8750c4e4a94c27e1f062d144147e8
c4d_140606_065522_ooi_r_v1.fits.fz 100b01295df40d05acdc09fa7c5ceb88	56814.2872649957	r	100	243.477583962805	-29.5434327657158	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/100b01295df40d05acdc09fa7c5ceb88
c4d_140606_065522_opi_r_v1.fits.fz 1cdbce759ba55934826b9e272cf6b20b	56814.2872649957	r	100	243.477583962805	-29.5434327657158	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/1cdbce759ba55934826b9e272cf6b20b
c4d_140606_065522_ooi_r_ls11.fits.fz d4602ddcff944447caf1652226aec6e6	56814.2872649957	r	100	243.477583962805	-29.5434327657158	kp1516	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/d4602ddcff944447caf1652226aec6e6
20140702092024-01	56840.38917824	u	100	242.938992537147	-29.4021002121956	0330465331	Skymapper	CTIO
20140702092223-01	56840.39056713	v	100	242.938967826479	-29.4020923418189	0330465844	Skymapper	CTIO
20140702092424-01	56840.39195602	g	100	242.938943115811	-29.4020844714422	0330466357	Skymapper	CTIO
20140702093226-01	56840.39753472	i	100	242.93884386144	-29.4020528588089	0330468409	Skymapper	CTIO
20140702093426-01	56840.39892361	z	100	242.938819150772	-29.4020449884322	0330468922	Skymapper	CTIO
c4d_140714_012654_ori.fits.fz ee16bb359dacd6bff31aa4cc561fb28e	56852.0594760182	r	30	242.751498190911	-29.3358884956756	PMap20140608-O28	CTIO-4m/DECam	https://astroarchive.noirlab.edu/api/retrieve/ee16bb359dacd6bff31aa4cc561fb28e
2012.1.00080.S A002/X6444ba/Xe A002/X7c30c9/X16da	56861.6286907002	Band-3	270	242.631991574973	-29.2830112587073	Mars	ALMA	
2012.1.00080.S A002/X6444ba/X10 A002/X7c30c9/X16da	56861.6286907002	Band-3	270	242.631991574973	-29.2830112587073	Mars	ALMA	
2012.1.00080.S A002/X6444ba/Xe A002/X7fffd6/Xa43	56870.991575191	Band-3	302	242.549060377798	-29.2339592587566	Ceres	ALMA	
51950a137-w1-int-1b	56894.5163272963	w1	8	242.505972451596	-29.1307044756718	51950a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/51950a/137/51950a137-w1-int-1b.fits
51950a137-w2-int-1b	56894.5163272963	w2	8	242.505972451596	-29.1307044756718	51950a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/0a/51950a/137/51950a137-w2-int-1b.fits
51954a137-w1-int-1b	56894.6478674963	w1	8	242.506421880612	-29.1302258154995	51954a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/51954a/137/51954a137-w1-int-1b.fits
51954a137-w2-int-1b	56894.6478674963	w2	8	242.506421880612	-29.1302258154995	51954a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/51954a/137/51954a137-w2-int-1b.fits
51958a136-w1-int-1b	56894.7794076963	w1	8	242.506871309629	-29.1297471553273	51958a136	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/51958a/136/51958a136-w1-int-1b.fits
51958a136-w2-int-1b	56894.7794076963	w2	8	242.506871309629	-29.1297471553273	51958a136	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/8a/51958a/136/51958a136-w2-int-1b.fits
51962a136-w1-int-1b	56894.9109479963	w1	8	242.507320738987	-29.1292684947912	51962a136	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/51962a/136/51962a136-w1-int-1b.fits
51962a136-w2-int-1b	56894.9109479963	w2	8	242.507320738987	-29.1292684947912	51962a136	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/2a/51962a/136/51962a136-w2-int-1b.fits
51965a113-w1-int-1b	56894.9767816963	w1	8	242.507545670796	-29.1290289332718	51965a113	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/51965a/113/51965a113-w1-int-1b.fits
51965a113-w2-int-1b	56894.9767816963	w2	8	242.507545670796	-29.1290289332718	51965a113	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/51965a/113/51965a113-w2-int-1b.fits
51966a136-w1-int-1b	56895.0424880963	w1	8	242.507787871036	-29.1287945558825	51966a136	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/51966a/136/51966a136-w1-int-1b.fits
51966a136-w2-int-1b	56895.0424880963	w2	8	242.507787871036	-29.1287945558825	51966a136	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/51966a/136/51966a136-w2-int-1b.fits
51966a137-w1-int-1b	56895.0426154963	w1	8	242.507788359402	-29.1287941064436	51966a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/51966a/137/51966a137-w1-int-1b.fits
51966a137-w2-int-1b	56895.0426154963	w2	8	242.507788359402	-29.1287941064436	51966a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/6a/51966a/137/51966a137-w2-int-1b.fits
51969a048-w1-int-1b	56895.1083218963	w1	8	242.508040233936	-29.1285623088658	51969a048	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9a/51969a/048/51969a048-w1-int-1b.fits
51969a048-w2-int-1b	56895.1083218963	w2	8	242.508040233936	-29.1285623088658	51969a048	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/9a/51969a/048/51969a048-w2-int-1b.fits
51971a048-w1-int-1b	56895.1740283963	w1	8	242.508292108852	-29.1283305109352	51971a048	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51971a/048/51971a048-w1-int-1b.fits
51971a048-w2-int-1b	56895.1740283963	w2	8	242.508292108852	-29.1283305109352	51971a048	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51971a/048/51971a048-w2-int-1b.fits
51971a049-w1-int-1b	56895.1741556963	w1	8	242.508292596836	-29.1283300618491	51971a049	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51971a/049/51971a049-w1-int-1b.fits
51971a049-w2-int-1b	56895.1741556963	w2	8	242.508292596836	-29.1283300618491	51971a049	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51971a/049/51971a049-w2-int-1b.fits
51973a112-w1-int-1b	56895.2398620963	w1	8	242.508544471369	-29.1280982642714	51973a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/51973a/112/51973a112-w1-int-1b.fits
51973a112-w2-int-1b	56895.2398620963	w2	8	242.508544471369	-29.1280982642714	51973a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/3a/51973a/112/51973a112-w2-int-1b.fits
51974a137-w1-int-1b	56895.3056957963	w1	8	242.508796833886	-29.1278660176075	51974a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/51974a/137/51974a137-w1-int-1b.fits
51974a137-w2-int-1b	56895.3056957963	w2	8	242.508796833886	-29.1278660176075	51974a137	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/4a/51974a/137/51974a137-w2-int-1b.fits
51977a112-w1-int-1b	56895.3714022963	w1	8	242.509048708802	-29.1276342196769	51977a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/51977a/112/51977a112-w1-int-1b.fits
51977a112-w2-int-1b	56895.3714022963	w2	8	242.509048708802	-29.1276342196769	51977a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/7a/51977a/112/51977a112-w2-int-1b.fits
51981a112-w1-int-1b	56895.5029424963	w1	8	242.509552946236	-29.1271701750825	51981a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51981a/112/51981a112-w1-int-1b.fits
51981a112-w2-int-1b	56895.5029424963	w2	8	242.509552946236	-29.1271701750825	51981a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51981a/112/51981a112-w2-int-1b.fits
51981a113-w1-int-1b	56895.5030697963	w1	8	242.509553434219	-29.1271697259964	51981a113	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51981a/113/51981a113-w1-int-1b.fits
51981a113-w2-int-1b	56895.5030697963	w2	8	242.509553434219	-29.1271697259964	51981a113	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/1a/51981a/113/51981a113-w2-int-1b.fits
51985a112-w1-int-1b	56895.6344826963	w1	8	242.510057183669	-29.126706130488	51985a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/51985a/112/51985a112-w1-int-1b.fits
51985a112-w2-int-1b	56895.6344826963	w2	8	242.510057183669	-29.126706130488	51985a112	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/51985a/112/51985a112-w2-int-1b.fits
51985a113-w1-int-1b	56895.6346099963	w1	8	242.510057671652	-29.126705681402	51985a113	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/51985a/113/51985a113-w1-int-1b.fits
51985a113-w2-int-1b	56895.6346099963	w2	8	242.510057671652	-29.126705681402	51985a113	WISE	http://irsa.ipac.caltech.edu/ibe/data/wise/merge/merge_p1bm_frm/5a/51985a/113/51985a113-w2-int-1b.fits
2012.1.00080.S A002/X6444ba/X10 A002/X7fffd6/Xa43	56896.9133941841	Band-3	302	242.515378316707	-29.122245159083	Ceres	ALMA	
2013.1.01194.S A001/X11f/X54 A002/X877e41/X452	56943.7868233044	Band-3	151	243.189120837943	-29.0533815685024	Ceres	ALMA	
2013.1.00278.S A001/X120/X142 A002/X83bead/X9de	56988.7384096528	Band-7	227	244.451133663088	-29.1573523695313	Ceres	ALMA	
2013.1.00278.S A001/X120/X144 A002/X83bead/X9de	56988.7384096528	Band-7	227	244.451133663088	-29.1573523695313	Ceres	ALMA	
2013.1.00960.S A001/X122/Xc2 A002/X87544a/X19e9	57011.2160548495	Band-7	227	245.130015590636	-29.2524962529171	Ceres	ALMA	
