exposure,mjd,filter,exptime,ra,dec
c4d_170717_015502_ooi_VR_v1,57951.077546166256,VR,150,242.95041670845617,-15.45486640931578
c4d_170717_015802_ooi_VR_v1,57951.07962936582,VR,150,242.9660794206252,-15.47235573515615
