epoch,exposure,measid,meas_mjd,obs_ra_deg,obs_dec_deg,pred_ra_deg,pred_dec_deg,resid_arcsec,mag,filter,pred_V,smia_3sig,smaa_3sig,class_star,fwhm,obscode,station
2014-06-06,c4d_140606_065522_ooi_r_v1,c4d.320434.32.1594,56814.286686,243.477537,-29.543505,243.4775177,-29.5434361,0.255,21.744,r,21.52,0.26,0.295,0.93423,1.499886,W84,CTIO-DECam
2015-06-20,c4d_150620_050628_ooi_r_v2,c4d.452212.29.4741,57193.21051,244.7441095,-29.3948082,244.7440297,-29.3947132,0.424,21.785,r,21.57,0.355,0.924,0.923558,1.649395,W84,CTIO-DECam
2015-06-20,c4d_150620_050928_ooi_r_v2,c4d.452213.29.5421,57193.212562,244.7440602,-29.3947808,244.743986,-29.3947024,0.366,21.793,r,21.57,0.355,0.924,0.942748,1.4388,W84,CTIO-DECam
2016-03-08,c4d_160308_082444_ooi_VR_v1,c4d.524496.28.10505,57455.348204,247.9625115,-29.4666728,247.9622068,-29.4666199,0.974,21.792,VR,21.7,0.434,2.116,0.973573,1.46758,W84,CTIO-DECam
