ls_id,ra,dec,type,mag_g,mag_r,mag_i,mag_z,mag_w1,nobs_g,nobs_r,nobs_i,nobs_z,ebv
10995383192785771,326.828949340052,-13.47701960254576,REX,24.41847,23.991163,23.422766,22.994244,NaN,2,4,4,4,0.04059402
10995383192785753,326.8283361757109,-13.47469060983648,PSF,23.279337,23.12134,20.805796,21.69776,22.115767,2,4,4,4,0.040492333
