number,desig,discovery,note1,note2,epoch,RA,DEC,mag,band,catalog,observatory
G0147,2001 KN76,*,1,C,2452052.48778,209.68474999999998,-14.76463888888889,22.7,R,,807
G0147,2001 KN76,,1,C,2452052.58494,209.68299999999996,-14.764111111111111,,,,807
G0147,2001 KN76,,1,C,2452070.51326,209.42087499999997,-14.659444444444444,22.5,R,,304
G0147,2001 KN76,,1,C,2452070.58764,209.42024999999998,-14.658861111111111,,,,304
G0147,2001 KN76,,1,C,2452370.73254,212.02116666666663,-15.613249999999999,21.8,R,,807
G0147,2001 KN76,,1,C,2452370.86873,212.01849999999996,-15.612388888888889,,,,807
G0147,2001 KN76,,1,C,2452371.74921,212.00174999999996,-15.606916666666667,,,,807
G0147,2001 KN76,,1,C,2452372.76472,211.98216666666664,-15.60061111111111,21.2,R,,807
G0147,2001 KN76,,1,C,2452373.71801,211.9637083333333,-15.594611111111112,,,,807
G0147,2001 KN76,,1,C,2452373.78159,211.96245833333333,-15.594194444444446,,,,807
G0147,2001 KN76,,1,C,2452373.89501,211.96016666666665,-15.5935,,,,807
G0147,2001 KN76,,7,C,2452374.99319,211.93883333333332,-15.586500000000001,21.8,R,,568
G0147,2001 KN76,,7,C,2452375.07182,211.937375,-15.585944444444445,,,,568
G0147,2001 KN76,,1,C,2452406.46967,211.31079166666666,-15.370722222222224,,,,950
G0147,2001 KN76,,1,C,2452406.54612,211.30916666666664,-15.370166666666668,,,,950
G0147,2001 KN76,,1,C,2452406.59174,211.30837499999998,-15.369833333333334,,,,950
G0147,2001 KN76,,1,C,2452407.49888,211.29104166666667,-15.363583333333333,,,,950
G0147,2001 KN76,,1,C,2452407.57988,211.28949999999998,-15.363055555555555,,,,950
G0147,2001 KN76,,,C,2452750.66925,213.1713333333333,-16.037944444444445,20.2,R,,304
G0147,2001 KN76,,,C,2452750.70666,213.1705833333333,-16.03777777777778,,,,304
G0147,2001 KN76,,7,C,2453136.87076,214.20025,-16.40972222222222,22.6,R,c,568
G0147,2001 KN76,,7,C,2453136.97413,214.1982083333333,-16.409027777777776,,,c,568
G0147,2001 KN76,,1,C,2453470.89062,216.29541666666663,-17.118083333333335,22.6,R,o,695
G0147,2001 KN76,,1,C,2453471.85628,216.27683333333331,-17.112444444444446,,,o,695
G0147,2001 KN76,,1,C,2453471.93492,216.27516666666662,-17.111944444444447,,,o,695
G0147,2001 KN76,,,C,2453528.56677,215.19191666666666,-16.751055555555556,22.7,R,o,304
G0147,2001 KN76,,,C,2453528.5765,215.19174999999998,-16.751,,,o,304
G0147,2001 KN76,,1,C,2453851.72013,217.4604583333333,-17.517527777777776,21.4,R,o,807
G0147,2001 KN76,,1,C,2453851.80668,217.45862499999996,-17.516944444444444,,,o,807
G0147,2001 KN76,,1,C,2453852.72572,217.43966666666662,-17.511055555555554,,,o,807
G0147,2001 KN76,,,C,2453907.53436,216.4719583333333,-17.180500000000002,22.6,R,o,304
G0147,2001 KN76,,,C,2453907.61943,216.47087499999998,-17.18016666666667,,,o,304
G0147,2001 KN76,,&,C,2454211.66501,219.05854166666666,-18.0365,,,o,807
G0147,2001 KN76,,&,C,2454211.79607,219.05575,-18.03563888888889,,,o,807
G0147,2001 KN76,,5,C,2454233.7834,218.60216666666662,-17.89697222222222,22.3,R,o,688
G0147,2001 KN76,,5,C,2454233.86174,218.60099999999997,-17.896055555555556,,,o,688
