name,gaia
WDJ023415.51-040609.28,2489275328645218560
WDJ120002.65+572708.24,1575509800786419712
WDJ111056.70+395916.97,765404128955927424
WDJ020851.67+005332.45,2507365009341338752
WDJ085252.86+514246.63,1017136594580182400
WDJ141251.83-075504.96,3639418741030886912
WDJ204852.28-005426.32,4227064825124198144
WDJ132340.06-012643.99,3638334966162676480
WDJ085722.50-224532.06,5654689998440806912
WDJ084253.03+230025.47,665392383790872192
WDJ040605.08-031957.60,3251950332301340032
WDJ002530.17+193806.07,2796000211930625152
WDJ074508.80+311659.57,880073193049049216
