sdss_id,gaia_dr3,snowwhite_class,group,plx_ok,G,bp_rp,M_G,snr_cat,z_cat,template,v_kms,noise_scale,z_lines,z_abs,z_fake,ew_A,z_visits,visit_mjds,nv,nhi,nlo,zmax
78718760,3608209893750151936,DC:,nonH,True,19.19,0.157,12.65,12.2,7.5,dp150,220.0,1.5,3.8/7.7/0.6,-2.43,7.5,8.73,1.9/3.8/2.9/4.7/7.2/5.6/1.7/7.2/4.7/4.1/-0.2/2.4,59245/59246/59247/59249/59250/59276/59278/59279/59355/59360/59362/59382,12,2,3,7.2
61610578,1489924120623064320,DA,H,True,19.63,0.541,13.8,21.2,6.47,dp500,-400.0,2.08,4.6/3.0/4.5,2.43,4.41,6.47,-4.5/2.6/6.1/7.1/6.3/-0.1/4.5/4.9/1.9/0.3/4.2/2.2,59336/59361/59362/59363/59364/59382/59383/59384/59385/59387/59391/59392,12,3,4,7.1
56386080,673167507250782976,DC,nonH,True,17.55,0.193,12.81,91.1,6.44,dp350,-320.0,1.0,2.4/4.6/4.2,2.54,4.85,0.65,-2.4/1.9/3.1/-1.9/1.7/0.4/7.0/6.8/1.8/3.8,59238/59270/59271/59275/59276/59293/59294/60698/60699/60700,10,2,6,7.0
91805284,4678887726736596352,DA,H,True,19.5,-0.057,11.86,6.5,8.41,n150,-80.0,1.0,5.8/4.5/4.5,-1.39,3.56,15.66,2.6/6.6/1.9/7.0,60314/60315/60319/60320,4,2,1,7.0
57555689,875933497410738688,DBA,nonH,True,19.58,0.059,11.53,17.9,5.02,dp500,-40.0,1.0,4.3/4.0/-0.2,0.92,4.61,1.41,1.6/-5.9/6.4/6.9/1.6/-1.4/0.5,59164/59199/59222/59252/59281/60593/60594,7,2,5,6.9
57589883,880213483861142144,DC,nonH,True,18.91,0.233,12.99,42.4,8.23,dp250,40.0,1.48,0.5/7.8/5.6,-1.75,4.42,3.62,6.7/1.4/-0.2/6.3/2.1/6.2/3.0/-0.9/5.3/5.3/2.6/-0.7/1.8,59146/59163/59164/59168/59193/59197/59219/59221/59251/59275/59276/59279/59280,13,3,5,6.7
62501038,1653662606253165696,DA/DC,H,True,17.61,0.143,12.85,43.2,8.43,dp500,-300.0,1.0,4.7/5.6/4.8,0.56,3.96,1.9,1.8/6.3/6.7,59329/59335/59360,3,2,1,6.7
55907391,600297481495526400,DA,H,True,17.24,0.373,12.61,46.2,11.04,n150,120.0,1.11,3.0/3.2/15.3,-1.32,6.6,3.61,6.6/1.9/6.4,60346/60349/60353,3,2,1,6.6
70421663,2558216387038346880,DA,H,True,19.03,-0.134,11.13,18.3,5.39,dp500,-400.0,1.0,4.8/3.9/0.7,1.89,3.75,1.55,6.6/0.8/6.5/-1.7/-3.0,59203/59222/60230/60283/60607,5,2,3,6.6
62109696,1583785339477318400,DA,H,True,19.55,0.499,12.11,25.4,6.1,dp150,-20.0,1.5,3.7/4.9/1.3,3.88,4.33,1.71,3.3/-1.1/5.9/6.6/1.4/6.1/-1.5/-1.9,59264/59293/59316/59344/59380/59381/59640/59726,8,2,4,6.6
70166945,2509739915804015232,DC,nonH,True,19.52,0.859,14.42,33.9,2.41,dp500,-280.0,1.08,1.0/0.4/3.8,5.34,4.15,0.36,-2.4/3.6/2.4/-3.6/-0.1/6.2/3.8/1.5/6.2,59166/59191/59220/59820/59878/60225/60228/60320/60539,9,2,4,6.2
80357319,3914169864834617984,DA/DZ,H,True,19.6,0.978,14.7,43.1,9.79,dp150,120.0,1.39,3.6/8.2/4.7,0.18,3.61,2.56,6.3/6.9/2.3/nan/2.5/9.6/nan/0.9/0.7/2.8/nan/2.1/6.2/4.1/3.1/-0.9/1.8/-4.3/-3.0/2.5/5.2/2.4/10.0/-1.7/-1.1,59210/59211/59212/59214/59215/59216/59217/59220/59221/59238/59243/59247/59248/59248/59250/59265/59267/59268/59269/59270/59271/59275/59276/59277/59278,25,5,8,
80360315,3914773870380393088,DC,nonH,True,18.98,0.181,12.62,39.5,8.9,dp500,-360.0,1.3,5.7/7.5/2.1,-1.34,8.77,2.99,6.7/0.6/3.9/1.6/0.4/2.1/-2.3/-1.2/-3.8/2.2/nan/1.5/3.8/5.1/6.4/-0.7/4.9/1.7/-2.0/-6.4/3.2/5.6/11.0/-1.2/-0.6,59210/59211/59212/59214/59215/59216/59217/59220/59221/59238/59243/59247/59248/59248/59250/59265/59267/59268/59269/59270/59271/59275/59276/59277/60681,25,3,13,
