night,band,mjd,flux,err,n,snr
57227.0,o,57227.337111999994,-0.4493225359144363,8.881005863299455,10,-0.050593653785462635
57228.0,o,57228.461600999995,7.712181423016305,14.34128278384734,3,0.5377609199438264
57242.0,c,57242.415718,-13.999999999999998,78.0,1,-0.17948717948717946
57243.0,c,57243.396728499996,6.1711373088236945,8.132721247580355,4,0.7588034952826804
57244.0,c,57244.398791,5.735725938009786,7.270131525498175,4,0.7889439025818387
57245.0,c,57245.390984,-16.9824,9.6,3,-1.769
57288.0,o,57288.310593500006,-6.53065951064072,64.57455266550265,4,-0.10113363919793071
57298.0,o,57298.303305249996,-33.28291814946619,13.242925997224765,4,-2.513260147828439
57304.0,c,57304.29212825,1.777751622557757,12.177852746753267,4,0.14598235497893688
57308.0,c,57308.28689725,-6.512238683206694,12.054741842389062,4,-0.5402221605698085
57309.0,c,57309.303238,32.0,21.0,1,1.5238095238095237
57311.0,c,57311.27972125,-5.545695444006143,11.984632877817155,4,-0.4627338609821663
57322.0,o,57322.295438249996,-17.40606995602216,46.49327728045671,4,-0.37437821066097965
57325.0,o,57325.225215,-16.11909938186898,26.401733081232116,4,-0.6105318666874703
57329.0,o,57329.226418666665,-0.5328260117606364,27.46795665707213,3,-0.019398094238052853
57333.0,c,57333.230555,3.4784745697535824,11.352864986059759,4,0.30639618933413015
57337.0,o,57337.202898,-5305.0,1777.9999999999998,1,-2.9836895388076496
57354.0,o,57354.227123,-29.928964306450872,26.228362806980904,4,-1.1410915933527128
57355.0,o,57355.225434,-86.0,40.0,1,-2.15
57357.0,o,57357.215337500005,-10.274428274428274,21.886116124202555,2,-0.46944959151826826
57358.0,o,57358.21246,19.594249201277954,26.452924006589566,2,0.7407214868343825
57495.0,o,57495.577413499996,26.489029378951283,25.45531819182255,2,1.040608849566878
57530.0,o,57530.575153,37.77180298237686,33.143844979257274,2,1.139632502083447
57538.0,c,57538.579038200005,7.324069712670749,9.115369823972634,5,0.8034857448579957
57539.0,c,57539.5710114,8.392384120407618,8.53414728185894,5,0.983388713978177
57540.0,c,57540.569108799995,-0.5502610916443065,7.543088602164369,5,-0.0729490425826919
