###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57390.496526 -16.706  0.028  -755   21 c  0  18.98 112.33509   9.86854  1412.69  1148.58 5.34 3.78 -27.6 -0.462 19.46 21.29 02a57390o0466c
57391.440381 -18.044  0.160  -220   35 c  0   9.48 112.33509   9.86854  1829.95  1055.03 5.08 3.75 -26.7 -0.463 19.66 21.72 02a57391o0378c
57391.451401 -18.604  0.106  -131   14 c  0  11.80 112.33509   9.86854  8157.86 10154.87 3.88 3.80  72.2 -0.407 19.67 21.71 02a57391o0394c
57391.470506 -14.904  0.002 -3968    9 c  0 228.46 112.33509   9.86854  1416.77  1149.39 5.26 3.71 -27.7 -0.465 19.66 21.65 02a57391o0419c
57391.471126 -20.285  0.566   -28   16 c  0  18.58 112.33509   9.86854  8344.28  9059.96 3.74 3.63  74.3 -0.424 19.68 21.69 02a57391o0420c
57392.429325 -18.376  0.096  -162   16 c  0   8.44 112.33509   9.86854  8101.43 10027.68 4.01 3.83  77.9 -0.406 19.60 21.60 02a57392o0282c
57392.434269 -15.225  0.004 -2952   11 c  0  73.12 112.33509   9.86854  1774.99   918.44 5.35 3.82 -24.8 -0.471 19.61 21.63 02a57392o0290c
57392.451290 -15.142  0.004 -3187   13 c  0 122.06 112.33509   9.86854  1459.32   307.91 5.53 3.82 -25.1 -0.465 19.59 21.60 02a57392o0309c
57392.461258 -17.408  0.045  -395   18 c  0  11.14 112.33509   9.86854  2332.43  1496.96 4.87 3.80 -25.7 -0.446 19.59 21.59 02a57392o0320c
57392.469985 -16.788  0.023  -699   16 c  0  41.64 112.33509   9.86854  1301.76  1039.66 5.44 3.83 -27.5 -0.458 19.59 21.55 02a57392o0330c
57400.454223 -15.432  0.004 -2439   10 c  0 180.46 112.33509   9.86854  8816.96  9553.08 3.92 3.78  72.9 -0.406 19.64 21.67 02a57400o0404c
57400.463783 -18.500  0.121  -144   17 c  0  16.73 112.33509   9.86854  2512.88   459.57 5.23 3.73 -19.3 -0.453 19.64 21.63 02a57400o0417c
57400.487370 -16.744  0.006  -728    4 c  0  89.69 112.33509   9.86854  8277.89  8974.72 3.68 3.53  83.9 -0.435 19.68 21.66 02a57400o0451c
57400.496250 -17.249  0.044  -457   20 c  0  12.46 112.33509   9.86854  1380.42  1057.96 5.34 3.76 -24.9 -0.448 19.63 21.62 02a57400o0465c
57401.454365 -17.309  0.035  -433   15 c  0  16.42 112.33509   9.86854  8924.52  9654.04 3.72 3.64  82.8 -0.425 19.70 21.69 02a57401o0418c
57401.462025  17.609  0.071   328   23 c  0  18.44 112.33509   9.86854  2593.18   566.87 5.09 3.72 -20.3 -0.456 19.67 21.66 02a57401o0428c
57401.478351 -18.889  0.164  -101   16 c  0   6.44 112.33509   9.86854  9214.41 10253.40 3.90 3.88  73.9 -0.406 19.64 21.65 02a57401o0453c
57401.486165 -16.405  0.014  -995   14 c  0 143.89 112.33509   9.86854  8318.21  9063.90 3.77 3.55  86.4 -0.429 19.65 21.64 02a57401o0464c
57401.496004 -15.122  0.003 -3244   10 c  0 174.48 112.33509   9.86854  1394.88  1150.42 5.26 3.80 -26.1 -0.447 19.61 21.58 02a57401o0479c
57421.459377 -15.938  0.011 -1530   17 c  0  55.84 112.33509   9.86854  1767.57   599.66 5.34 4.04 -23.0 -0.417 19.58 21.68 02a57421o0439c
57421.471612 -17.431  0.036  -387   14 c  0  19.57 112.33509   9.86854  8385.57 10281.22 3.92 3.81   2.5 -0.409 19.65 21.72 02a57421o0459c
57421.495370 -14.975  0.002 -3714    9 c  0 367.00 112.33509   9.86854  8094.14  9689.18 3.85 3.82  69.8 -0.411 19.61 21.66 02a57421o0498c
57421.519027 -15.781  0.008 -1768   13 c  0 124.25 112.33509   9.86854  9245.83  9121.72 3.78 3.65 -87.7 -0.419 19.55 21.52 02a57421o0537c
57421.542712 -17.717  0.064  -297   19 c  0  12.28 112.33509   9.86854  9194.31  9082.88 3.81 3.68 -88.2 -0.419 19.31 21.06 02a57421o0576c
57422.456086 -15.512  0.002 -2266    5 c  0 860.95 112.33509   9.86854  1535.90   657.38 5.79 3.92 -25.1 -0.452 19.54 21.55 02a57422o0433c
57422.468216  18.248  0.127   182   23 c  0   5.35 112.33509   9.86854  8173.38 10334.66 4.08 3.97  59.4 -0.387 19.54 21.57 02a57422o0453c
57422.479777 -14.812  0.001 -4317    6 c  0 781.92 112.33509   9.86854  1241.39    66.82 6.00 3.93 -23.6 -0.454 19.52 21.51 02a57422o0472c
57422.491934 -15.168  0.003 -3111   10 c  0 209.56 112.33509   9.86854  7883.61  9743.22 3.92 3.72  78.6 -0.413 19.54 21.53 02a57422o0492c
57422.515671 -17.172  0.031  -491   15 c  0  11.40 112.33509   9.86854  9037.75  9174.61 4.00 3.68  81.2 -0.409 19.47 21.42 02a57422o0531c
57422.539372 -17.724  0.061  -295   18 c  0  10.01 112.33509   9.86854  9195.19  9081.47 3.94 3.60  80.2 -0.417 19.39 21.27 02a57422o0570c
57428.443808 -15.374  0.002 -2572    6 c  0 759.09 112.33509   9.86854  1735.06   637.10 5.62 3.72 -22.3 -0.472 19.59 21.55 02a57428o0401c
57428.456089 -19.085  0.177   -84   15 c  0   9.86 112.33509   9.86854  8384.04 10328.39 3.89 3.77  69.4 -0.413 19.59 21.56 02a57428o0421c
57428.467725 -13.795  0.001 -11015   11 c  0 360.88 112.33509   9.86854  1478.91    55.74 5.94 3.72 -21.8 -0.466 19.53 21.46 02a57428o0440c
57428.480011 -14.868  0.003 -4100   14 c  0 502.27 112.33509   9.86854  8128.39  9743.10 3.91 3.73  81.8 -0.419 19.52 21.46 02a57428o0460c
57428.503999 -14.893  0.003 -4008   13 c  0 233.82 112.33509   9.86854  9317.46  9179.12 3.99 3.69  82.3 -0.415 19.45 21.36 02a57428o0499c
