source_id,file,tier_used,class_v2_corrected,M2_msun_v2_corrected,M1_used,P_yr_v2,e_v2,GaiaDR3,Gmag,M1,A,e_A,M2min,e_M2min,PII,PIII,_RA,_DE
348572609373952768,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.20233464879845,1.0503050088882446,2.1217559903400076,0.2750772364667554,348572609373952768,11.76826,1.076557,0.682683291976974,0.016713169324275,1.216771845947557,0.046091789915124,0.002239977600224,0.997770022299777,24.98741,42.72846
4688631736221576448,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.4524628469682872,1.6353682279586792,2.624311233752878,0.256546842895359,4688631736221576448,11.62908,1.581059,0.58797129746757,0.012589834468117,1.427508050113228,0.044708494537614,0.97690023099769,0.023109768902311,1.45797,-73.62233
319869338637148928,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.2069851507323133,1.3759500980377195,0.5582495231872538,0.6319469344248752,319869338637148928,11.7151,1.135614,0.614521320731957,0.019399023256409,1.094310584715742,0.051341815578531,0.930090699093009,0.0699193008069919,19.64345,33.81257
536510585724686080,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.6398447847116442,1.8522611856460571,2.332606695418343,0.3989208508495359,536510585724686080,10.40495,2.017871,0.563775741936064,0.009524143137347,1.714063150262142,0.041735965813901,1.0,9.99990000099999e-06,12.9622,71.20881
5112376435164120320,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.7599882550723145,2.047431707382202,2.696676051055758,0.5193640077730936,5112376435164120320,9.56709,1.965427,0.576247169931019,0.010984739942362,1.723210678610259,0.047706837549454,0.986960130398696,0.013049869501305,55.31467,-14.40608
42521348758696192,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.243713312410054,1.328158617019653,1.5836522976668146,0.2981043850126298,42521348758696192,11.5506,1.279939,0.610233758285371,0.017769207838141,1.220634610132147,0.052690117248439,0.887951120488795,0.112058879411206,52.59492,15.34384
3455517071870718208,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.286653756016733,1.489461064338684,1.8631287150503115,0.3995730684664305,3455517071870718208,12.32682,1.290762,0.598244313588911,0.023839222737808,1.195401416179916,0.070108129452615,0.882991170088299,0.117018829811702,85.6054,35.3981
3455707978872287744,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.3416779060634738,1.5096834897994995,2.3135104261485,0.6056267614955458,3455707978872287744,10.35202,1.548391,0.576750488359022,0.039201998872303,1.359292880957918,0.134223117733395,0.906220937790622,0.0937890621093789,85.34228,35.45465
180388802529353600,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.3198068744084148,1.6242824792861938,1.521329332157101,0.2093469598565005,180388802529353600,11.35964,1.633851,0.545510562500026,0.020056518290789,1.323870709519595,0.0693757328337,0.996660033399666,0.003349966500335,79.17166,31.65478
3378588057203660160,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.90313078765222,1.8140881061553955,2.7362749654637417,0.3552078078849118,3378588057203660160,10.32454,1.94974,0.63483637687191,0.054930600633293,1.972452792566924,0.256749570870211,0.2469975300247,0.753012469875301,102.29536,22.00457
2894748931772617600,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.3419797275191327,1.5787529945373535,1.6505687893729202,0.4233985277044232,2894748931772617600,12.2647,1.418054,0.584604902492905,0.016727245489742,1.269637010003721,0.053027882682181,0.991920080799192,0.00808991910080899,97.22223,-30.60679
3111209476696494592,main_hunt_derived_v2_M1corrected,Tier-1 NS,dormant_NS_candidate,1.3776506520905176,1.4306621551513672,2.356985526587154,0.4915146910254568,3111209476696494592,11.92745,1.522611,0.601601762497139,0.043233007954198,1.42179570668047,0.150682471402626,0.719752802471975,0.280257197428026,107.89437,0.12458
