###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57365.355486 -21.960  3.375    -6   20 o  0   0.96  32.31460  38.07367  9738.76  6506.88 3.83 3.27  84.0 -0.459 19.25 20.91 02a57365o0299o
57365.372320  19.663  0.403    50   20 o  0   0.99  32.31460  38.07367  8875.55  5320.12 3.82 3.35  82.9 -0.455 19.21 20.91 02a57365o0326o
57365.385680 -21.455  2.154   -10   20 o  0   0.96  32.31460  38.07367  8573.87  7062.33 3.79 3.30  86.2 -0.459 19.19 20.86 02a57365o0345o
57384.299008 -21.345  2.000   -10   21 o  0   1.56  32.31460  38.07367  9321.88  6114.86 3.86 3.34  84.5 -0.450 18.85 20.17 02a57384o0153o
57384.315087 -21.195  1.875   -12   23 o  0   1.72  32.31460  38.07367  9608.33  6708.33 3.86 3.36  85.6 -0.448 18.81 20.10 02a57384o0178o
57384.331585 -20.063  0.822   -34   28 o  0   1.00  32.31460  38.07367  8745.72  5521.29 3.87 3.44  82.6 -0.434 18.75 20.05 02a57384o0203o
57384.348324 -23.047 13.333    -2   29 o  0   0.91  32.31460  38.07367  8448.05  7258.85 3.79 3.37  83.9 -0.443 18.76 20.02 02a57384o0228o
57385.289728  20.384  0.839    26   21 o  0   1.18  32.31460  38.07367  9325.18  6117.14 4.02 3.42  79.7 -0.485 19.11 20.73 02a57385o0182o
57385.305840  19.963  0.604    38   23 o  0   0.98  32.31460  38.07367  9612.11  6710.67 3.96 3.27  81.3 -0.479 19.03 20.54 02a57385o0207o
57385.320725 -20.737  1.320   -18   24 o  0   1.19  32.31460  38.07367  8749.64  5521.08 3.77 3.24  85.3 -0.461 18.91 20.29 02a57385o0230o
57385.338881  21.682  3.364     8   26 o  0   1.24  32.31460  38.07367  8449.68  7259.47 3.71 3.13  88.1 -0.461 18.85 20.17 02a57385o0257o
57395.294228  19.925  0.398    39   16 c  0   1.17  32.31460  38.07367  9229.69  5961.40 4.03 3.67  79.2 -0.408 19.57 21.56 02a57395o0168c
57395.310015  21.030  1.053    14   15 c  0   1.36  32.31460  38.07367  9550.74  6565.73 3.97 3.60  82.4 -0.417 19.56 21.52 02a57395o0193c
57395.326329  20.807  0.688    17   12 c  0   1.58  32.31460  38.07367  8725.18  5389.66 3.89 3.63  80.3 -0.407 19.55 21.52 02a57395o0218c
57395.342892  20.587  0.656    21   14 c  0   1.26  32.31460  38.07367  8461.32  7141.23 3.80 3.48  82.0 -0.423 19.58 21.53 02a57395o0243c
57402.295203  19.238  0.261    73   19 c  0   1.20  32.31460  38.07367  9294.14  6119.16 4.11 3.47  83.6 -0.465 19.30 21.03 02a57402o0175c
57402.311223 -24.169 26.500    -1   21 c  0   0.97  32.31460  38.07367  9584.00  6713.53 4.08 3.43  84.5 -0.457 19.28 20.99 02a57402o0201c
57402.328379  19.628  0.378    51   19 c  0   1.17  32.31460  38.07367  8727.15  5522.01 3.92 3.49  79.5 -0.451 19.27 20.96 02a57402o0228c
57402.344641  20.455  0.848    24   20 c  0   1.06  32.31460  38.07367  8430.77  7261.74 3.88 3.37  84.6 -0.449 19.27 20.93 02a57402o0253c
57403.295610  21.207  1.967    12   24 c  0   1.13  32.31460  38.07367  9297.42  6117.60 4.10 3.37  82.3 -0.474 19.10 20.63 02a57403o0175c
57403.311656  19.836  0.550    42   23 c  0   1.28  32.31460  38.07367  9587.06  6712.28 4.09 3.34  83.4 -0.467 19.09 20.60 02a57403o0201c
57403.328625  20.583  1.036    21   22 c  0   1.17  32.31460  38.07367  8729.98  5521.63 3.92 3.40  81.3 -0.454 19.07 20.56 02a57403o0228c
57403.345180 -22.434  6.600    -4   26 c  0   1.17  32.31460  38.07367  8433.73  7261.70 3.98 3.46  84.1 -0.455 19.02 20.51 02a57403o0254c
57415.285461  21.646  2.905     8   23 o  0   1.30  32.31460  38.07367  8445.72  6753.66 3.80 3.17  87.2 -0.458 19.01 20.48 02a57415o0156o
57415.303186  20.453  0.900    24   22 o  0   1.10  32.31460  38.07367  8152.37  6166.79 3.91 3.31  88.0 -0.454 18.95 20.45 02a57415o0185o
57415.318780  21.793  4.111     7   29 o  0   1.36  32.31460  38.07367  9320.58  5618.61 3.84 3.12  87.1 -0.468 18.85 20.18 02a57415o0210o
57415.335029  20.409  1.443    25   36 o  0   1.19  32.31460  38.07367  9597.68  5551.79 3.92 3.24  86.1 -0.463 18.62 19.80 02a57415o0236o
57420.264437 -22.811  6.667    -3   18 c  0   1.12  32.31460  38.07367  8896.22  6568.99 4.38 3.96  82.9 -0.399 19.42 21.45 02a57420o0057c
57420.283156 -20.620  0.955   -20   20 c  0   1.00  32.31460  38.07367  8601.51  5980.95 4.44 4.04  79.5 -0.388 19.38 21.43 02a57420o0087c
57420.287509  19.584  0.382    53   20 c  0   1.07  32.31460  38.07367   107.15  5447.24 4.89 4.30 -57.1 -0.355 19.29 21.38 02a57420o0094c
57420.302538  24.015 20.000     1   18 c  0   1.25  32.31460  38.07367  9768.69  5438.45 4.27 3.82  77.5 -0.422 19.40 21.37 02a57420o0118c
57420.321318  19.953  0.477    38   18 c  0   1.11  32.31460  38.07367  9598.97  5550.51 4.14 3.70  78.8 -0.423 19.38 21.28 02a57420o0148c
57427.249001  20.476  0.782    23   18 c  0   1.11  32.31460  38.07367  8756.24  6497.83 4.15 3.58  80.3 -0.468 19.39 21.26 02a57427o0092c
57427.267977  20.583  0.830    21   18 c  0   1.20  32.31460  38.07367  8499.19  5924.22 3.99 3.47  83.0 -0.451 19.38 21.20 02a57427o0123c
