source_id,name,G,ra,dec,southern,bridge,asas_sn_id,asassn_coverage,n_epochs_g,n_epochs_V,baseline_yr,quiescent_mag_g,quiescent_mag_V,mag_floor_mmag,n_outbursts,outburst_amplitudes,outburst_dates,outburst_tier,n_dips,dip_tier,period_verdict,best_period_d,period_evidence,n_neighbors_15as,nearest_neighbor_sep,nearest_neighbor_G,blend_flag,classification_guess,evidence_oneliner
5519575863533220736,eRASS1 1eRASS J080732.3-460650,16.096,121.88894535032222,-46.116,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,5,2.963,19.374174118041992,True,coronal_rotator_expected,no ASAS-SN counterpart
5520115036549985664,eRASS1 1eRASS J081523.1-444652,16.7,123.84568635909991,-44.782,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,9,0.917,17.05381202697754,True,coronal_rotator_expected,no ASAS-SN counterpart
5520725402944067456,eRASS1 1eRASS J080728.5-443216,15.638,121.86803358907056,-44.538,True,False,455267030681,matched,2072,440,9.36,15.582,15.466,80.5,0,,,none,0,none,not_screened,,,7,6.613,20.699121475219727,False,coronal_rotator,"quiet: 2072 epochs, 9.36 yr baseline, floor 80.5 mmag"
5523321418610194048,eRASS1 1eRASS J083810.7-432901,14.26,129.54530996136543,-43.484,True,False,523986503689,matched,190,132,8.9,17.756,16.934,636.9,1,1.64,2459154-2459157,candidate-artifact-outburst,0,none,MARGINAL,1.0002,"[outburst-masked, 5 pts removed] FAP=0.000 redNoiseRank=100.0 coherent=False alias=True",1,7.083,19.361061096191406,False,DN_candidate_artifact_tier,"single-camera outburst candidate, amp 1.64 mag -- needs 2nd camera/survey"
5526308379387169664,eRASS1 red X-ray source,15.517,125.51036829490316,-43.267,True,False,592706062932,matched,431,153,9.01,17.956,16.969,419.5,0,,,none,0,none,not_screened,,,4,6.909,20.29534912109375,False,coronal_rotator,"quiet: 431 epochs, 9.01 yr baseline, floor 419.5 mmag"
5526331812728875648,eRASS1 1eRASS J082239.0-425335,18.977,125.6619807463813,-42.895,True,False,661430963572,matched,140,41,9.35,18.167,17.777,356.4,0,,,none,0,none,not_screened,,,6,5.792,20.38639259338379,True,coronal_rotator,"quiet: 140 epochs, 9.35 yr baseline, floor 356.4 mmag [BLEND CAUTION: neighbor at 6.75as G=18.19 within 10as and <=1 mag fainter; ASAS-SN match (sep=6.85as) coincides with bright neighbour G=18.19 at 6.75as -- light curve may BE the neighbour -- downgrade to ambiguous]"
5528518638272578944,eRASS1 1eRASS J083608.2-395652,13.936,129.03542012488802,-39.95,True,False,601295899772,matched,2215,379,9.35,16.46,15.729,395.8,0,,,none,0,none,not_screened,,,2,13.718,18.303565979003906,False,coronal_rotator,"quiet: 2215 epochs, 9.35 yr baseline, floor 395.8 mmag"
5572235147573917952,eRASS1 1eRASS J060752.9-420917,14.324,91.9720488122645,-42.155,True,False,463856915093,matched,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,1,6.545,5.496088027954102,True,coronal_rotator_expected,ASAS-SN lightcurve fetch failed/unavailable
5577603998430348032,eRASS1 1eRASS J064609.8-364140,18.812,101.54183069910462,-36.697,True,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,2,0.288,19.047950744628906,True,coronal_rotator_expected,no ASAS-SN counterpart
5585943347451646592,eRASS1 1eRASS J072008.6-385354,16.076,110.0388911881246,-38.899,True,False,506806315828,matched,960,231,9.36,16.398,16.179,137.4,0,,,none,0,none,not_screened,,,6,2.866,19.877321243286133,False,coronal_rotator,"quiet: 960 epochs, 9.36 yr baseline, floor 137.4 mmag"
5619280196415864704,eRASS1 1eRASS J073617.2-212629,15.858,114.07286808058521,-21.442,False,False,,no_asassn_counterpart,NO_LC_DATA,,,,,,,,,NO_LC_DATA,,,NO_LC_DATA,,,9,1.818,17.142026901245117,True,coronal_rotator_expected,no ASAS-SN counterpart
5628388791252782976,eRASS1 1eRASS J085441.2-334948,15.506,133.66956552220873,-33.83,True,False,627066204771,matched,1027,182,9.36,16.798,16.406,149.7,0,,,none,0,none,not_screened,,,5,6.046,20.97809600830078,False,coronal_rotator,"quiet: 1027 epochs, 9.36 yr baseline, floor 149.7 mmag"
5693424972760942080,eRASS1 1eRASS J081802.6-272330,13.985,124.5114946442319,-27.393,False,False,446677296755,matched,1033,221,9.35,14.287,13.994,37.0,0,,,none,0,none,not_screened,,,6,3.776,20.18407440185547,True,coronal_rotator,"quiet: 1033 epochs, 9.35 yr baseline, floor 37.0 mmag [BLEND CAUTION: neighbor at 6.82as G=14.85 within 10as and <=1 mag fainter -- downgrade to ambiguous]"
