source_id,object,budget,M2_p2.5,M2_p16,M2_p50,M2_p84,M2_p97.5,P_M2_gt_1.2,P_M2_gt_1.33,P_M2_gt_1.4,Mtot_p16,Mtot_p50,Mtot_p84,a_phot_p2.5,a_phot_p50,a_phot_p97.5,incl_p16_deg,incl_p50_deg,incl_p84_deg,n_rejected,anchor_M2,anchor_P_gt_1.4,verdict
332248057157474176,WDJ020915+380425,RAW,1.2856,1.4051,2.1687,5.604,15.4189,0.9989,0.9341,0.8458,2.1307,2.8913,6.3246,7.675,10.055,22.694,65.21,65.84,66.45,0,1.32 [1.27-1.38],0.086,matches prereg conservative full-TI MC
332248057157474176,WDJ020915+380425,DIAG,0.6799,1.2547,2.7874,6.2991,13.296,0.8535,0.8206,0.803,1.9718,3.5064,7.0176,5.128,11.361,21.516,57.82,73.58,84.89,0,1.32 [1.27-1.38],0.086,
332248057157474176,WDJ020915+380425,LIN,1.2139,1.2672,1.3225,1.3784,1.4337,0.9865,0.446,0.0848,1.9401,2.0408,2.1411,7.506,7.732,7.958,,,,0,1.32 [1.27-1.38],0.086,
332248057157474176,WDJ020915+380425,LIN_IND,1.2138,1.2667,1.3224,1.379,1.4345,0.9866,0.4463,0.0871,1.9401,2.0408,2.1414,7.507,7.732,7.957,,,,0,1.32 [1.27-1.38],0.086,REPRODUCED (anchor method)
2909342818326298112,WDJ060042-293041,RAW,1.3124,1.42,1.8533,3.7144,8.5848,0.9996,0.961,0.8709,2.0306,2.4697,4.3305,19.026,22.98,44.138,65.9,66.51,67.07,0,1.37 [1.23-1.52],0.41,matches prereg conservative full-TI MC
2909342818326298112,WDJ060042-293041,DIAG,1.1023,1.4603,2.139,3.9623,8.6845,0.9506,0.9031,0.871,2.0682,2.7552,4.5754,17.514,24.606,44.303,61.25,75.3,85.44,0,1.37 [1.23-1.52],0.41,
2909342818326298112,WDJ060042-293041,LIN,1.2093,1.2864,1.3668,1.4481,1.5289,0.9813,0.675,0.3422,1.8642,1.9791,2.0947,17.75,19.615,21.479,,,,0,1.37 [1.23-1.52],0.41,
2909342818326298112,WDJ060042-293041,LIN_IND,1.1053,1.2289,1.3678,1.5206,1.6832,0.8873,0.602,0.4141,1.8193,1.9807,2.1543,17.749,19.616,21.482,,,,0,1.37 [1.23-1.52],0.41,REPRODUCED (anchor method)
