source_id,nss_solution_type,goodness_of_fit,ipd_frac_multi_peak
1933060227544225024,Orbital,-2.8269486,0
996771272708070144,Orbital,-0.7979334,0
1825125221196412032,Orbital,1.4150164,1
2103489404634678400,AstroSpectroSB1,8.7507,0
2436461352756899200,AstroSpectroSB1,1.645088,0
2263774873998305792,Orbital,1.3706448,0
137104225197523712,AstroSpectroSB1,1.7344905,0
1025998250279140608,Orbital,1.1773208,0
2740435086151854592,SB1,-0.5673984,0
2740435086151854592,Orbital,15.428956,0
426453663677608320,Orbital,0.03826234,0
2129927539681151872,Orbital,17.175362,0
2052738181284248192,Orbital,7.961226,0
2258389878362339584,Orbital,-0.0008923404,0
1977418959028795648,Orbital,2.9967701,1
1831062210339872384,Orbital,-2.486953,0
1868845140721712000,Orbital,-0.5687487,0
3073580306139081216,Orbital,0.8924201,0
2010395473099138944,Orbital,9.1497965,0
2200363873769396992,Orbital,-2.2133462,0
2965178183450590208,Orbital,9.136947,0
2146731723783612800,Orbital,-0.14747953,0
2152301540450772608,AstroSpectroSB1,4.0150456,0
424105652291745664,OrbitalAlternative,-1.240494,0
1809080876950311296,Orbital,0.74386543,0
672285290904752896,Orbital,-0.47268018,0
611041256286259584,Orbital,-1.3113672,0
1810038650356567808,AstroSpectroSB1,2.719845,0
2005950254978264576,Orbital,2.1729674,0
2972040471737972480,Orbital,3.8707414,0
1867727693303844096,Orbital,-0.97447187,0
42521348758696192,Orbital,13.486625,0
432256641225203200,Orbital,-1.8493459,0
1805196469866384640,Orbital,3.622623,0
2893148111562210176,Orbital,-2.444524,0
3005232155096811136,Orbital,7.0747633,0
1055396098829558784,Orbital,1.9405041,0
228021501672011264,AstroSpectroSB1,3.409592,0
1903279027392243968,Orbital,4.99857,0
2051413480231679232,Orbital,-1.0584557,0
2051443819881554304,Orbital,5.565643,0
3041083621512398848,Orbital,8.288758,0
2135330200524398080,Orbital,6.184863,0
510090489546052096,Orbital,0.3203,0
1955406426990651776,Orbital,-1.5455172,0
1831515892016617856,Orbital,0.6087246,0
3029348121591873024,Orbital,0.2215001,0
2033597264395355648,Orbital,-0.28256875,1
2098618469343056640,Orbital,0.112405434,0
2756367039701457408,Orbital,-1.278704,0
2221736073405408640,Orbital,5.9255767,0
2975840727520534272,AstroSpectroSB1,4.053081,1
1868410215153064704,Orbital,9.675848,0
1846909127821847552,Orbital,2.8835466,0
1095948870802554368,Orbital,3.5771575,0
266326734434346112,Orbital,-0.16133548,0
3005236278265609856,Orbital,-1.2131165,0
2921130854291708672,Orbital,9.75413,1
1345279281476995968,Orbital,1.9368632,0
2085885300065348736,Orbital,-1.5058249,0
1957522368397970432,OrbitalAlternative,-0.84092283,0
2173767099817017344,Orbital,-1.747823,1
3037421594953734656,Orbital,-0.21787821,0
1721700763737104256,Orbital,1.195809,0
779923145640719360,Orbital,6.957044,0
2991965653955197824,AstroSpectroSB1,3.0946438,0
2131963839514727296,Orbital,2.0401018,0
1942207545813277824,Orbital,-0.7938126,0
1374547662532598400,Orbital,0.7122314,0
2205922729679619072,AstroSpectroSB1,0.66619813,0
2917608981106481664,Orbital,2.2163124,0
826299038567583744,Orbital,3.8876953,0
826299038567583744,SB1,0.34235263,0
1866785136962305152,AstroSpectroSB1,4.819836,0
2027153821329701504,Orbital,0.9785042,1
3101636402610899456,Orbital,6.054893,0
1019877750083923840,Orbital,2.7026668,0
3105986727747174784,Orbital,-0.8550568,0
425758772325707264,Orbital,-1.7283221,0
536510585724686080,AstroSpectroSB1,4.205515,0
1096596689308640000,Orbital,0.4189607,0
2947554695684569856,Orbital,-0.72837377,0
1989171879329057920,Orbital,-2.3849568,0
1273145271380989184,Orbital,0.6771838,0
1843438347572710784,Orbital,1.8287185,0
1841140913725174400,Orbital,-0.428883,0
1916174683878523264,Orbital,-1.7375785,0
929159931893830528,Orbital,0.2227121,0
1966622235871622656,Orbital,7.093201,0
1990704358015174016,Orbital,-0.5503364,0
3056409026894392448,AstroSpectroSB1,1.6257225,0
2341148160078461312,AstroSpectroSB1,1.0567263,0
1129693294973971456,Orbital,-2.2692676,0
1136769957969151616,Orbital,-0.7961873,0
2080945469200565248,Orbital,-1.2479576,0
1813378799177192704,Orbital,0.65498966,0
824344003814438528,OrbitalAlternative,1.450226,0
451110211924129920,Orbital,-2.224952,0
