projcell subcell ra dec filter mjd type filename shortname badflag
1043 29 313.2265057 -14.8404352 i 56873.41163 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56873_41163.fits rings.v3.skycell.1043.029.wrp.i.56873_41163.fits 0
1043 29 313.2265057 -14.8404352 i 56874.4241624 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56874_42416.fits rings.v3.skycell.1043.029.wrp.i.56874_42416.fits 0
1043 29 313.2265057 -14.8404352 i 56874.4367 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56874_43670.fits rings.v3.skycell.1043.029.wrp.i.56874_43670.fits 0
1043 29 313.2265057 -14.8404352 i 56874.46258 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56874_46258.fits rings.v3.skycell.1043.029.wrp.i.56874_46258.fits 0
1043 29 313.2265057 -14.8404352 i 56885.42895 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56885_42895.fits rings.v3.skycell.1043.029.wrp.i.56885_42895.fits 0
1043 29 313.2265057 -14.8404352 i 56885.44203 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56885_44203.fits rings.v3.skycell.1043.029.wrp.i.56885_44203.fits 0
1043 29 313.2265057 -14.8404352 i 56885.4551 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56885_45510.fits rings.v3.skycell.1043.029.wrp.i.56885_45510.fits 0
1043 29 313.2265057 -14.8404352 i 56885.46815 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56885_46815.fits rings.v3.skycell.1043.029.wrp.i.56885_46815.fits 0
1043 29 313.2265057 -14.8404352 i 56912.28744 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56912_28744.fits rings.v3.skycell.1043.029.wrp.i.56912_28744.fits 0
1043 29 313.2265057 -14.8404352 i 56912.29936 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56912_29936.fits rings.v3.skycell.1043.029.wrp.i.56912_29936.fits 0
1043 29 313.2265057 -14.8404352 i 56912.3113 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56912_31130.fits rings.v3.skycell.1043.029.wrp.i.56912_31130.fits 0
1043 29 313.2265057 -14.8404352 i 56912.32325 warp /rings.v3.skycell/1043/029/rings.v3.skycell.1043.029.wrp.i.56912_32325.fits rings.v3.skycell.1043.029.wrp.i.56912_32325.fits 0
