source_id,name,group,G,dec,B_MG,nb5,ztf_status,ztf_n,ztf_bands,ztf_span_d,ztf_best_f,ztf_best_P_h,ztf_best_amp_pct,ztf_best_fap_baluev,ztf_best_sysflag,ztf_1to5d_P_d,ztf_1to5d_fapw,zg_best_f,zg_best_fap,zr_best_f,zr_best_fap,tess_sectors,tess_n,tess_best_P_h,tess_fap,tess_amp_pct,tess_crowdsap,tess_A90_5_60min,tess_A90_1_24h,ztf_1to5d_masked_P_d,ztf_1to5d_masked_fapw,verdict,evidence_files,perm_K,masked_best_f,masked_best_P_h,masked_fap_baluev,masked_fap_perm_emp,masked_fap_perm_gumbel,A90_5_60min,A90_1_24h,A90_1_5d,A50_5_60min,A50_1_24h,A50_1_5d
5660016586818424832,GALEX J095130.1-245723,no_label_22,17.17,-24.96,8.5,,OK,298,g149+r149,2591,12.02908,1.99516,1.11,0.51,f0 ~ 12 x sidereal day +- 1/yr; f0 ~ 3x window peak 4.0109 c/d (W=0.79),1.6149,0.063,249.87806,1,121.96048,0.88,35+62+89+99,61697,10.17084,5.3e-12,1.36,0.28;0.41;0.39;0.44,0.02,0.02,1.6149,0.067,"UNCONFIRMED: 10.17 h in TESS S62 only (FAP 1.7e-7); absent in S35/S89/S99, whose pixel fits prefer other stars; ZTF (298 points) FAP 1.0 at that frequency",plots/5660016586818424832_ls.png;plots/5660016586818424832_tess.png,40,12.02907,1.99517,0.54,0.268,0.27,0.015,0.02,0.02,0.015,0.015,0.015
4833309388918586624,GALEX J033920.8-475633,no_label_22,19.7,-47.94,7.26,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,,,,,,,,,,,NO_DATA: no usable ZTF or TESS light curve,,,,,,,,,,,,,
5848754492268362624,Gaia DR3 5848754492268362624,no_label_22,17.89,-66.06,6.68,"1.4""/G20.9;3.5""/G20.5;3.6""/G18.2;5.0""/G20.4",no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,,,,,,,,,,,NO_DATA: no usable ZTF or TESS light curve,,,,,,,,,,,,,
2069622487994113408,Gaia DR3 2069622487994113408,no_label_22,17.58,43.31,7.72,,OK,2048,g846+r1047+i155,2760,30.9229,0.77612,0.39,0.47,,2.0907,0.61,198.64825,0.74,296.3287,0.22,,,,,,,,,1.2603,0.63,NULL: no significant period (see A90 limits),plots/2069622487994113408_ls.png,40,30.92291,0.77612,0.5,0.634,0.53,0.0075,0.0075,0.0075,0.0075,0.005,0.005
2883030508640778752,GALEX J060732.0-390139,no_label_22,17.58,-39.03,8.88,,no ZTF DR24 (dec<-31),,,,,,,,,,,,,,,98,28135,13.51854,0.072,1.2,0.29,0.02,0.02,,,NULL: no significant period (see A90 limits),plots/2883030508640778752_tess.png,,,,,,,,,,,,
5665371272869153152,Gaia DR3 5665371272869153152,no_label_22,19.3,-20.51,8.48,,OK,639,g303+r315+i21,2593,176.47122,0.136,2.81,0.76,,1.2359,0.77,184.702,0.97,276.81701,0.87,,,,,,,,,1.2358,0.81,NULL: no significant period (see A90 limits),plots/5665371272869153152_ls.png,40,176.4712,0.136,0.75,0.927,0.93,0.05,0.05,0.05,0.05,0.05,0.05
375892788968158848,GALEX J004807.2+433940,no_label_22,19.12,43.66,8.75,,OK,1766,g774+r921+i71,2700,279.42422,0.08589,1.03,1,,1.5784,0.54,260.76043,0.96,222.86704,0.73,,,,,,,,,1.5783,0.54,NULL: no significant period (see A90 limits),plots/375892788968158848_ls.png,40,279.42423,0.08589,0.77,0.829,0.85,0.02,0.02,0.02,0.015,0.015,0.015
657989024107287168,GALEX J083837.0+161140,no_label_22,19.11,16.19,8.62,,OK,1365,g381+r902+i82,2745,166.05955,0.14453,1.4,0.68,,2.2651,0.11,115.53878,0.5,16.50202,0.63,,,,,,,,,2.265,0.12,NULL: no significant period (see A90 limits),plots/657989024107287168_ls.png,40,166.05956,0.14453,0.6,0.780,0.78,0.03,0.03,0.03,0.02,0.02,0.02
4187365308538865792,Gaia DR3 4187365308538865792,no_label_22,19.42,-12.5,5.47,"3.4""/G19.6",OK,954,g323+r631,2705,191.02243,0.12564,2.44,0.54,,1.1099,1,296.94551,0.58,193.6694,0.45,,,,,,,,,1.1099,1,NULL: no significant period (see A90 limits),plots/4187365308538865792_ls.png,40,191.0224,0.12564,0.46,0.512,0.49,0.05,0.05,0.05,0.05,0.05,0.03
3115382600062991872,Gaia DR3 3115382600062991872,no_label_22,18.41,1.64,4.64,,OK,966,g378+r558+i30,2763,261.0424,0.09194,1.02,0.99,,4.7487,0.48,274.66108,0.99,157.30783,0.59,,,,,,,,,4.7491,0.5,NULL: no significant period (see A90 limits),plots/3115382600062991872_ls.png,40,261.04242,0.09194,0.94,0.951,0.96,0.015,0.02,0.02,0.015,0.015,0.015
