rank,desig,lane,opp_type,arc_status,final_score,rule_v3_pass,arc_start,arc_end,n_nights,H,a,best_overlap_epoch,best_V,best_SMIA_as,best_SMAA_as,best_gal_b_deg,n_deep_overlap_frames,overlap_surveys,n_searchable_epochs,all_searchable_epochs,deep_fp_wholearc,total_ssois_frames,best_ra_deg,best_dec_deg
22,2015 HT171,inner-system,multi,self-arc,0.3036,True,2011,2017,47,12.4,11.49,2017-07-01,22.00,0.11,0.13,23.6,34,decam28+cfht6,2,"2017-07-01[decam28+cfht6,V22.0,SMIA0.11"",SMAA0.1"",b23.6] ; 2013-01-01[ps18,V22.1,SMIA0.12"",SMAA0.2"",b86.0]",506,614,239.0165,-21.9985
23,2013 JV63,distant-multiopp,multi,self-arc,0.293,True,2011,2016,21,6.5,46.29,2013-01-01,23.12,0.15,0.28,21.6,294,decam294,1,"2013-01-01[decam294,V23.1,SMIA0.15"",SMAA0.3"",b21.6]",736,969,235.7327,-27.5187
24,2012 GN12,inner-system,multi,self-arc,0.2919,True,2006,2014,26,10.75,15.06,2013-01-01,21.31,0.12,0.12,43.5,4,ps14,2,"2013-01-01[ps14,V21.3,SMIA0.12"",SMAA0.1"",b43.5] ; 2017-07-01[decam112,V21.9,SMIA0.24"",SMAA0.8"",b12.1]",1285,1448,205.2086,-17.7838
25,2017 GZ8,inner-system,multi,self-arc,0.2886,True,2015,2017,70,14.4,7.49,2017-07-01,21.10,0.12,0.22,57.4,10,decam10,1,"2017-07-01[decam10,V21.1,SMIA0.12"",SMAA0.2"",b57.4]",759,947,203.5369,-3.8228
26,2014 CN23,inner-system,multi,self-arc,0.2705,True,2000,2017,32,8.89,16.28,2013-01-01,22.34,0.11,0.15,37.9,13,ps113,1,"2013-01-01[ps113,V22.3,SMIA0.11"",SMAA0.1"",b37.9]",803,1021,211.9662,-21.5841
27,2010 GF65,distant-multiopp,multi,self-arc,0.2531,True,2010,2015,32,7.28,33.15,2013-01-01,21.54,0.06,0.10,28.7,3,ps13,2,"2013-01-01[ps13,V21.5,SMIA0.06"",SMAA0.1"",b28.7] ; 2017-07-01[decam41,V21.2,SMIA0.12"",SMAA0.2"",b18.3]",740,954,224.1763,-26.2309
28,2012 HG84,distant-multiopp,multi,self-arc,0.2529,True,2010,2017,41,5.54,42.87,2017-07-01,21.70,0.18,0.28,21.2,4,decam4,1,"2017-07-01[decam4,V21.7,SMIA0.18"",SMAA0.3"",b21.2]",1011,1260,239.2094,-25.1516
29,2009 UF156,distant-multiopp,multi,self-arc,0.2483,True,2005,2013,14,6.5,43.1,2013-01-01,22.93,1.30,4.31,-44.1,8,decam8,2,"2013-01-01[decam8,V22.9,SMIA1.30"",SMAA4.3"",b-44.1] ; 2021-01-01[decam4,V22.9,SMIA3.79"",SMAA12.3"",b-35.7]",486,646,35.4078,13.2653
30,2014 KY101,distant-multiopp,multi,self-arc,0.2431,True,2010,2017,45,6.49,39.24,2017-07-01,21.97,0.11,0.17,17.9,3,cfht3,1,"2017-07-01[cfht3,V22.0,SMIA0.11"",SMAA0.2"",b17.9]",643,923,250.8169,-18.0444
31,2002 VB131,distant-multiopp,multi,self-arc,0.2385,True,2002,2013,17,6.4,43.31,2013-01-01,23.07,1.34,2.00,-48.8,1,ps11,2,"2013-01-01[ps11,V23.1,SMIA1.34"",SMAA2.0"",b-48.8] ; 2021-01-01[decam12,V23.1,SMIA2.52"",SMAA6.8"",b-41.6]",429,649,29.6213,10.7398
32,2014 KS101,distant-multiopp,multi,self-arc,0.2351,True,2011,2017,37,6.5,38.33,2017-07-01,22.31,0.15,0.21,19.7,3,cfht3,1,"2017-07-01[cfht3,V22.3,SMIA0.15"",SMAA0.2"",b19.7]",766,996,256.7386,-6.5804
33,2007 UM126,inner-system,multi,self-arc,0.2323,True,2001,2018,64,10.32,12.91,2013-01-01,21.99,0.07,0.11,-57.4,4,ps14,1,"2013-01-01[ps14,V22.0,SMIA0.07"",SMAA0.1"",b-57.4]",668,873,43.7987,-12.284
34,2012 CN29,inner-system,single,extension,0.2159,True,2012,2012,8,14.8,6.46,2013-01-01,22.00,11.21,104.46,47.5,5,ps15,1,"2013-01-01[ps15,V22.0,SMIA11.21"",SMAA104.5"",b47.5]",347,605,192.2614,-15.3856
35,2001 RX143,distant-multiopp,multi,self-arc,0.2117,True,2001,2017,62,6.61,39.42,2013-01-01,23.16,0.22,0.40,-49.8,2,ps12,1,"2013-01-01[ps12,V23.2,SMIA0.22"",SMAA0.4"",b-49.8]",701,1226,23.0116,11.8925
36,2014 UE225,distant-multiopp,multi,self-arc,0.2095,True,2008,2017,46,6.42,43.86,2013-01-01,23.26,0.38,0.56,-51.0,2,ps12,2,"2013-01-01[ps12,V23.3,SMIA0.38"",SMAA0.6"",b-51.0] ; 2021-01-01[cfht1,V23.3,SMIA1.33"",SMAA2.6"",b-46.4]",617,948,19.6347,11.3346
37,2025 NE192,distant-longarc,single,extension,0.1879,True,2025,2025,15,6.27,43.97,2017-07-01,23.01,10.45,173.93,-57.5,10,decam10,1,"2017-07-01[decam10,V23.0,SMIA10.45"",SMAA173.9"",b-57.5]",535,1055,341.8815,-12.4687
38,2014 FU61,inner-system,multi,extension,0.1876,True,2014,2015,14,13.51,9.15,2013-01-01,21.74,0.93,31.62,79.7,7,ps17,2,"2013-01-01[ps17,V21.7,SMIA0.93"",SMAA31.6"",b79.7] ; 2017-07-01[decam4,V23.0,SMIA1.30"",SMAA39.6"",b-12.1]",714,884,186.0709,18.9557
39,2014 YK92,distant-multiopp,multi,self-arc,0.1767,True,2013,2015,10,7.16,40.01,2013-01-01,23.05,2.18,29.97,-25.5,11,ps111,2,"2013-01-01[ps111,V23.1,SMIA2.18"",SMAA30.0"",b-25.5] ; 2021-01-01[decam4,V23.1,SMIA7.91"",SMAA608.6"",b-15.8]",398,565,87.1584,-28.5984
40,2025 LP3,distant-longarc,single,extension,0.1599,True,2025,2025,19,6.28,45.73,2021-01-01,22.64,7.38,374.93,-36.9,8,decam8,1,"2021-01-01[decam8,V22.6,SMIA7.38"",SMAA374.9"",b-36.9]",589,787,316.2397,-16.8876
41,2025 NW189,distant-longarc,single,extension,0.1545,True,2025,2025,12,5.94,44.32,2017-07-01,22.58,17.15,1776.46,-59.4,10,decam10,1,"2017-07-01[decam10,V22.6,SMIA17.15"",SMAA1776.5"",b-59.4]",589,883,347.014,-8.7393
42,2025 MB350,distant-longarc,single,extension,0.1489,True,2025,2025,12,5.83,45.42,2021-01-01,23.05,12.61,1086.78,-40.1,12,decam12,1,"2021-01-01[decam12,V23.0,SMIA12.61"",SMAA1086.8"",b-40.1]",607,803,319.3401,-17.9073
43,2015 KL419,distant-multiopp,multi,extension,0.1438,True,2015,2016,11,6.97,40.39,2017-07-01,23.22,4.46,22.66,47.7,5,decam5,2,"2017-07-01[decam5,V23.2,SMIA4.46"",SMAA22.7"",b47.7] ; 2013-01-01[ps18,V23.3,SMIA4.42"",SMAA119.1"",b51.4]",2519,2761,224.7298,-2.0291
44,2018 JB15,inner-system,single,extension,0.1423,True,2018,2018,5,15.19,6.05,2017-07-01,22.93,546.81,893.41,63.5,10,decam10,1,"2017-07-01[decam10,V22.9,SMIA546.81"",SMAA893.4"",b63.5]",350,593,187.3962,1.1974
45,2025 NR192,distant-longarc,single,extension,0.1266,True,2025,2025,14,6.2,43.49,2017-07-01,22.45,15.37,1767.68,-53.6,4,cfht4,1,"2017-07-01[cfht4,V22.5,SMIA15.37"",SMAA1767.7"",b-53.6]",621,865,337.3789,-12.1379
46,2025 NK190,distant-longarc,single,extension,0.1254,True,2025,2025,16,5.83,46.1,2017-07-01,22.64,74.23,1418.66,-38.1,5,decam5,1,"2017-07-01[decam5,V22.6,SMIA74.23"",SMAA1418.7"",b-38.1]",774,1117,320.7559,-9.8584
47,2025 MF350,distant-longarc,single,extension,0.1235,True,2025,2025,12,5.96,47.66,2021-01-01,22.54,15.01,1120.45,-37.1,4,decam4,2,"2021-01-01[decam4,V22.5,SMIA15.01"",SMAA1120.5"",b-37.1] ; 2017-07-01[cfht4,V22.4,SMIA27.25"",SMAA2605.9"",b-35.0]",571,829,319.2396,-10.682
48,2025 MT350,distant-longarc,single,extension,0.1141,True,2025,2025,15,6.13,42.84,2021-01-01,22.81,12.40,661.93,-40.2,4,decam4,1,"2021-01-01[decam4,V22.8,SMIA12.40"",SMAA661.9"",b-40.2]",492,684,318.6603,-20.1811
49,2025 NR189,distant-longarc,single,extension,0.1113,True,2025,2025,17,5.97,45.68,2021-01-01,22.90,9.43,651.30,-44.2,4,decam4,2,"2021-01-01[decam4,V22.9,SMIA9.43"",SMAA651.3"",b-44.2] ; 2017-07-01[decam10+cfht2,V22.8,SMIA17.39"",SMAA1350.7"",b-43.2]",559,816,327.1396,-11.0711
50,2025 LX2,distant-longarc,single,extension,0.1074,True,2025,2025,15,6.33,43.06,2017-07-01,22.85,21.36,1377.27,-34.5,3,cfht3,1,"2017-07-01[cfht3,V22.9,SMIA21.36"",SMAA1377.3"",b-34.5]",453,624,311.4568,-22.1018
,10370,,,MIRAGE_no_deep_overlap,0.0,False,,,,,,,,,,,0,,0,NO_DEEP_OVERLAP_AT_ANY_SMIA-PASSING_DEEP-ERA_EPOCH,,,,
