sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG,dr19,chi2r,n_edge
60441935,1314824282560109696,DA,8,8.0,5.9,126.4,470.9,11.0,18.5,13.68,2.21,1.24,1.13,4.04,1.86,6.791058,0.1406298,18.77732,18.8578,18.71938,0.13842,12.937007198182927,False,18.057142857142857,0
68457205,2190010593106909568,DA,3,3.0,-14.2,125.1,131.4,11.0,8.7,7.3,17.32,1.92,0.16,4.7,0.81,16.6972,0.05515637,16.72862,16.41705,15.7782,0.6388499999999997,12.841838246006509,False,62.55,0
62437286,1642422672544180608,DA,3,3.0,50.5,160.3,383.4,11.0,21.6,14.2,1.05,1.02,1.23,4.32,2.05,2.565389,0.1094155,18.46747,18.39355,18.67453,-0.2809799999999995,10.51323614108762,False,80.15,0
75633536,3184982476372247168,DA,3,3.0,96.5,131.0,334.6,11.0,22.8,14.76,3.76,2.64,1.64,8.12,1.98,9.519357,0.1652166,18.36339,18.48438,18.19388,0.2905000000000015,13.256428071343125,False,65.5,0
74359180,3078636990179231104,DA,4,4.0,-109.0,129.2,352.5,10.9,24.4,4.23,8.25,2.09,0.53,3.33,0.78,1.001528,0.1570091,18.42316,18.25814,18.72806,-0.4699199999999983,8.426475477461544,False,43.06666666666666,0
68034325,2163742680495676800,DA,4,4.0,-17.4,134.7,145.3,10.9,7.5,0.66,76.89,18.91,2.91,13.67,4.57,4.996614,0.1292538,18.49266,18.54723,18.18222,0.365009999999998,11.986039002421013,False,44.9,0
55805429,583456223236799232,DA,3,3.0,28.1,137.5,275.9,10.9,12.8,18.4,4.41,2.03,-0.08,9.3,2.1,4.265256,0.1958436,18.67393,18.74337,18.59939,0.1439799999999991,11.823655512864502,False,68.75,0
74329443,3075372059120364288,DA,4,4.0,-23.9,125.8,392.5,10.8,26.8,8.14,3.75,2.57,-0.54,5.92,1.89,1.480238,0.271137,19.15251,19.05311,19.39779,-0.3446800000000003,10.00416774513936,False,41.93333333333333,0
80362460,3915274801006020352,DA,13,13.0,-6.7,166.3,518.6,10.7,32.9,18.85,29.75,13.99,1.45,9.5,6.24,2.464866,0.3655248,19.65984,19.74071,19.67459,0.0661200000000015,11.618806571327063,False,13.858333333333334,0
80042524,3851162209271226368,DA/DB,4,4.0,26.7,118.2,404.4,10.6,25.5,2.7,5.68,3.99,1.49,2.51,1.96,1.350857,0.3289742,19.44848,19.47099,19.6231,-0.1521100000000004,10.101526887974968,False,39.4,0
59481969,1162587929802416768,DA,4,4.0,15.8,183.4,368.4,10.6,22.2,16.38,21.63,9.29,0.49,9.98,5.3,2.318644,0.3571854,19.50904,19.53205,19.69647,-0.1644199999999998,11.33521036521642,False,61.13333333333333,0
67979734,2160139645312312576,DA,3,3.0,-114.2,233.3,483.8,10.6,26.8,11.97,11.67,6.33,-0.19,6.58,2.85,1.6594,0.1618753,19.03879,18.97718,19.31819,-0.3410100000000007,10.138545428776585,False,116.65,0
79706674,3787051507322103296,DA,3,3.0,-18.5,113.2,229.1,10.6,20.5,18.77,21.64,4.56,1.07,1.43,0.95,2.889685,0.3396003,18.59526,18.60029,18.75597,-0.1556800000000002,10.899512517904096,False,56.6,0
62109735,1583792108345604864,DA,8,8.0,39.8,128.8,592.2,10.6,35.6,12.69,4.41,3.8,0.38,1.9,1.79,2.276585,0.3799983,19.96336,19.88257,19.46556,0.4170100000000012,11.749779350185271,False,18.4,0
79959326,3836228921515794432,DA,7,7.0,-49.3,149.2,429.9,10.5,28.3,7.57,3.66,2.49,0.09,5.46,2.78,0.7958576,0.2603108,18.57359,18.46165,18.85706,-0.3954100000000018,8.077766839526184,False,24.866666666666664,0
57594411,880754791475241472,DA,9,9.0,-2.5,151.7,459.3,10.5,27.3,16.52,4.83,4.12,0.93,3.09,1.88,4.085763,0.1390209,18.28804,18.19619,18.46775,-0.2715599999999973,11.344405856052155,False,18.9625,0
57588307,880037699440688128,DA,11,11.0,0.6,148.6,440.5,10.5,25.2,19.25,5.66,4.91,0.66,8.77,3.39,2.038411,0.4390428,19.89206,19.79342,20.07847,-0.2850499999999982,11.438518771355197,False,14.86,0
71088242,2688914440880112896,DA,5,5.0,55.0,123.8,349.1,10.5,27.0,6.13,2.15,1.78,0.15,3.13,1.71,1.88931,0.2214502,18.58916,18.47844,18.91337,-0.4349300000000013,9.97067611635232,False,30.95,0
88664290,4383429436022986880,DA,5,5.0,-52.3,135.5,515.1,10.4,32.4,4.35,5.1,3.57,-0.0,1.44,2.17,0.9498574,0.2008864,18.61313,18.49685,18.82161,-0.3247600000000012,8.501422052540958,False,33.875,0
78719084,3608291395049708288,DA,9,9.0,-35.9,187.9,575.9,10.4,34.8,19.03,8.67,5.62,0.59,27.02,10.05,3.100293,0.2274585,18.6162,18.59341,18.65899,-0.0655800000000006,11.073213698639217,False,23.4875,0
63759206,1822554047620411136,DA,4,4.0,-48.4,184.6,400.7,10.4,27.1,4.05,2.72,3.03,-0.7,3.24,2.65,1.227271,0.1849875,18.81877,18.72445,19.11766,-0.3932099999999998,9.2634723605354,False,61.53333333333333,0
70156508,2507673383697812096,DA,8,8.0,26.7,165.1,557.4,10.4,28.0,18.51,4.26,4.71,1.22,16.69,5.37,1.680028,0.3402019,19.33441,19.37602,19.48098,-0.1049599999999983,10.460992599534547,False,23.585714285714285,0
71077769,2687768066863960576,DA,3,3.0,-0.7,129.0,68.6,10.4,5.4,15.03,0.29,0.12,0.48,4.4,0.49,15.28392,0.03569746,15.53602,15.63347,15.3697,0.2637700000000009,11.457193779062006,False,64.5,0
62200036,1600797464418343168,DA,4,4.0,60.4,123.3,317.5,10.4,21.2,16.33,16.37,6.31,0.67,24.73,4.92,2.325604,0.252405,19.543,19.45545,19.65463,-0.1991800000000019,11.375678828711308,False,41.1,0
89637596,4499747286524365184,DA,3,3.0,28.0,107.7,229.1,10.3,17.4,18.25,1.17,1.43,-1.16,22.58,4.05,3.893823,0.1920044,18.707,18.70715,18.8133,-0.106150000000003,11.658881030385398,False,53.85,0
61938214,1551909260437993472,DA,5,5.0,-43.9,158.8,358.0,10.3,21.1,20.54,10.65,5.06,-0.12,6.37,2.59,4.369035,0.2451946,19.49093,19.58692,19.33998,0.2469399999999986,12.692857619114312,False,39.7,0
58635786,1016484107445300864,DA/DC,6,6.0,184.2,177.7,232.3,10.2,13.6,-8.19,5832.37,179.27,1.29,5.45,3.68,3.908313,0.3700023,19.64908,19.5437,19.85045,-0.3067499999999974,12.60902668609537,False,35.54,0
71081342,2688159351269009536,DA,4,4.0,46.4,118.6,349.2,10.2,22.3,20.34,1.47,1.7,0.22,6.58,3.32,3.465403,0.3333727,19.38838,19.51001,19.20341,0.3065999999999995,12.087148735141763,False,39.53333333333333,0
71856460,2831697712353381376,DA,10,10.0,2.5,125.8,279.6,10.2,8.5,6.68,32.61,5.36,0.03,5.93,1.12,17.97639,0.09793036,17.60989,17.86001,17.20954,0.6504699999999985,13.883402407928369,False,13.977777777777778,0
61937214,1551724851721580672,DA,3,3.0,119.6,120.9,358.7,10.2,26.8,16.65,2.78,2.09,0.94,5.82,2.51,2.353139,0.2787377,19.59752,19.58227,19.87229,-0.2900199999999984,11.45575790861706,False,60.45,0
116676666,310776033878412288,DA,3,3.0,-77.0,118.9,369.6,10.2,23.9,11.43,16.98,3.89,0.53,1.51,0.85,1.471452,0.2775882,18.82234,18.72656,19.04457,-0.318010000000001,9.661070498079823,False,59.45,0
63201664,1764073394954901504,DA,4,4.0,0.1,110.6,293.0,10.1,17.5,13.32,12.52,3.74,0.12,0.59,0.51,1.991963,0.1494607,18.42704,18.56101,18.26795,0.2930600000000005,9.923446336489942,False,36.86666666666667,0
88661950,4383188741759940864,DA,7,7.0,-24.4,228.0,370.6,10.1,17.0,16.6,7.89,5.87,1.93,12.92,5.61,3.266028,0.1912567,18.72876,18.70779,18.8453,-0.1375100000000024,11.29885951834337,False,38.0,0
100038798,5616874946010432000,DA,4,4.0,-30.2,126.5,241.5,10.1,16.9,18.91,11.18,7.2,1.01,29.51,3.4,4.323676,0.07427656,17.44839,17.42169,17.57032,-0.1486299999999971,10.62765571053657,False,42.166666666666664,0
68975132,2252512954353689344,DA,7,7.0,-1.7,115.0,299.7,10.1,12.0,11.94,40.69,5.98,0.48,8.55,1.67,12.63893,0.08500158,17.57994,17.72533,17.34397,0.3813600000000008,13.088491542688551,False,19.166666666666668,0
61246423,1428280108586688768,DA,4,4.0,14.1,99.6,517.5,10.0,17.4,17.15,5.28,2.03,0.6,5.83,3.3,3.641765,0.1179366,18.29271,18.267,18.49547,-0.2284700000000015,11.099269588546465,False,33.199999999999996,0
57544378,874755748658587648,DA,5,5.0,26.2,123.1,268.9,10.0,14.5,17.24,6.71,2.35,0.33,3.02,1.29,2.559573,0.3695704,19.51726,19.44657,19.6949,-0.2483299999999992,11.558097601537352,False,30.775,0
57774752,898623775276290944,DA,5,5.0,-23.4,124.1,384.4,10.0,26.4,19.52,3.37,2.78,1.42,0.53,0.82,2.865239,0.4385071,19.75831,19.93059,19.77673,0.1538599999999981,12.044114269478715,False,31.025,0
70817561,2641195464435220736,DA,11,11.0,-5.5,143.9,571.9,9.9,21.4,19.53,8.48,7.44,1.21,5.55,3.08,3.453557,0.2353744,19.02396,19.04247,19.07234,-0.0298699999999989,11.715293141556176,False,14.39,0
79656448,3776869995288571648,DA,4,4.0,20.2,161.2,288.8,9.9,19.3,10.03,1.9,1.3,0.31,13.62,2.68,9.335985,0.1931696,18.67912,18.95426,18.37951,0.5747500000000016,13.529920726314216,False,53.73333333333333,0
71070013,2686878626381852160,DA,5,5.0,-37.9,124.7,404.1,9.8,25.0,15.94,3.97,3.42,0.19,8.08,3.55,1.75086,0.2375332,19.06709,19.0093,19.29374,-0.28444,10.283347104893942,False,31.175,0
94871441,5174047733128196992,DA,3,3.0,-11.9,100.4,187.9,9.8,7.7,19.87,1.55,1.19,1.14,6.54,1.95,4.2474,0.2204661,18.57051,18.57998,18.67982,-0.0998400000000003,11.711125813562468,False,50.2,0
58633113,1016051995079409152,DA,7,7.0,-73.9,517.1,528.2,9.7,20.4,17.23,13.13,5.74,0.64,12.18,4.88,1.723042,0.3032124,19.51387,19.53384,19.61642,-0.0825800000000001,10.695349318598034,False,86.18333333333334,0
62081176,1578513353024992896,DA,15,15.0,-10.8,145.6,493.5,9.7,25.1,19.12,13.49,5.48,1.0,5.99,3.55,3.847489,0.1436685,18.58371,18.594,18.70982,-0.1158199999999993,11.509596934270498,False,10.4,0
71910066,2841114681552183936,DA,3,3.0,-19.1,94.4,194.2,9.7,18.8,14.8,0.26,0.72,0.73,7.94,2.59,4.225112,0.5191507,19.85601,19.98928,19.66651,0.322770000000002,12.98520112895788,False,47.2,0
71723624,2807914996670172928,DA,5,5.0,1.2,110.5,88.0,9.7,9.1,10.71,3.83,3.06,-0.46,7.79,2.59,8.626181,0.2693809,19.16946,19.39694,18.87285,0.524090000000001,13.848552832738816,False,27.625,0
