sdss_id,gaia,cls,n,n_rv,rv_mean,rv_chi2,drv_max,drv_sig,med_erv,ew_ha_mean,ew_ha_chi2r,ew_ha_range,ew_he_mean,ew_he_chi2r,ew_he_range
92176706,4712238212213902976,DA,3,3.0,2.3,1.8,22.1,1.3,15.3,18.38,0.55,0.39,0.59,0.33,0.29
92209206,4717719930513487872,DA_MS,2,2.0,4.9,3.5,66.7,1.9,25.0,7.64,8.63,1.26,-0.01,0.19,0.15
92606306,4774770530862012800,DA,2,2.0,1.6,2.1,27.5,1.5,13.3,23.0,1.1,0.89,1.35,1.9,0.93
92690406,4787597708389669376,DA,2,2.0,3.9,3.1,32.6,1.8,13.0,20.15,2.05,0.62,0.8,11.06,1.24
92838906,4807831441055713536,DA_MS,2,2.0,10.2,11.3,60.9,3.4,12.0,-11.81,47.37,3.85,-0.86,4.69,0.84
93015006,4834295517705240448,DA/DZ,2,2.0,-1.2,1.0,10.3,1.0,7.1,-0.77,50.83,2.01,-1.0,32.41,1.26
93697306,4948573941637175552,DA,2,2.0,-2.3,2.3,24.5,1.5,11.4,18.28,2.9,0.68,1.49,9.46,1.04
94721806,5141418041946899072,DA,2,2.0,-4.8,4.0,43.1,2.0,15.1,17.21,0.18,0.52,1.72,5.94,2.29
94745506,5146195110731883520,DA,2,2.0,-2.3,19.3,57.4,4.4,9.2,13.29,10.31,1.75,0.78,16.9,1.89
94748206,5146793554294623488,DA,2,2.0,-5.5,3.7,42.5,1.9,15.4,18.51,0.1,0.27,1.54,8.61,2.1
94844406,5168084158153227008,DA,2,2.0,0.1,0.2,5.1,0.4,8.8,10.74,0.14,0.22,-0.98,9.24,1.22
94909906,5182919451934687232,DA,2,2.0,-1.9,1.6,19.9,1.3,10.1,16.3,0.76,0.74,0.66,2.3,0.98
95173606,5219560440713203968,DZ/DA,2,2.0,-4.0,0.1,2.9,0.4,5.3,2.15,3.65,0.52,-0.26,3.19,0.36
