sdss_id,snr,uniqueness,worst_region,nearest,gaia,cls,G,plx,e_plx,g_mag,bp_mag,rp_mag,bprp,MG
79720705,16.7,1.09,4990,80269065,3789844954051531904,DA:,18.97398,2.848031,0.3329066,18.97398,18.88857,19.25441,-0.3658399999999986,11.246703560806658
70831325,27.8,1.09,4780,62084846,2644029696174113280,DA:,18.10948,3.90896,0.1619899,18.10948,18.04599,18.25631,-0.2103199999999994,11.06978613181312
68919182,47.1,1.09,6400,110952517,2242491520044886144,DA,17.30686,4.968676,0.05594777,17.30686,17.2398,17.50693,-0.2671300000000016,10.78806338984577
110942752,14.5,1.09,4780,91716827,6509200198978273152,DA/DAH,18.72318,3.618003,0.1522488,18.72318,18.67078,19.02726,-0.3564799999999977,11.51552461317578
100495249,42.2,1.09,6400,54603061,5660016586818424832,DAH/DA,17.16515,18.19802,0.07514114,17.16515,17.28848,17.01693,0.2715500000000013,13.465270689965894
89905789,17.4,1.09,4990,67614432,4519466580903738880,DA:,18.19486,8.82665,0.1163373,18.19486,18.16116,18.36019,-0.1990300000000004,12.923839530023873
63620430,23.3,1.09,4780,76484599,1813767472242169216,DA,18.17964,8.57208,0.1226981,18.17964,18.24792,18.10532,0.1426000000000016,12.845071077479162
55907877,31.2,1.09,8250,96095249,600363963295676672,DA:,19.84087,6.644749,0.5571632,19.84087,18.93995,18.75811,0.1818400000000011,13.953262902335233
69229059,49.2,1.09,4990,62218242,2300234782654298624,DA,13.04651,37.85468,0.02341459,13.04651,12.97952,13.19741,-0.2178899999999988,10.937107896397176
116556302,20.7,1.09,4780,89559864,288892728828628480,DA,17.94741,5.595629,0.1543116,17.94741,17.918,18.06966,-0.1516599999999996,11.686654561448805
55930417,42.4,1.09,8250,98170162,603638652518160256,DB,17.04318,6.488514,0.09271411,17.04318,16.9809,17.16695,-0.1860500000000016,11.103906230153733
74827132,17.5,1.09,6400,67137841,3113502130239971584,DA,18.48782,1.735217,0.1785723,18.48782,18.40661,18.7798,-0.373190000000001,9.684588969149017
74835110,17.9,1.09,6400,92253970,3114016976559026944,DBAZ:,18.55011,4.316674,0.1915334,18.55011,18.53346,18.77322,-0.2397599999999968,11.725856257472785
70827557,59.3,1.08,8250,55830184,2643225545153702400,DA,17.88586,1.897762,0.1289151,17.88586,17.73491,18.18926,-0.4543500000000016,9.277068731268312
62957475,13.0,1.08,8250,117235276,1736773659404621312,DA:,18.25099,4.28793,0.1449732,18.25099,18.22715,18.2863,-0.0591499999999989,11.41222843465739
70286939,49.5,1.08,8250,64031031,2533837431111898752,DB,19.07006,2.469821,0.2961473,19.07006,19.03409,19.2503,-0.2162100000000002,11.03338739478164
70354011,67.5,1.08,6400,68365109,2545579360599665792,DB/DC,17.04672,7.876812,0.08181133,17.04672,17.00523,17.11464,-0.1094100000000004,11.52847240029507
68743651,21.0,1.08,4780,103208819,2218053813260205952,DA_MS/DC,18.73495,4.268991,0.1978521,18.73495,18.45152,18.13248,0.3190399999999975,11.88657619606886
92222643,32.2,1.08,4990,69522154,4720049658213446400,DA,17.96802,7.694233,0.09711397,17.96802,17.92666,18.06166,-0.1350000000000015,12.398846668290505
90212885,19.9,1.08,4780,63152641,4551876644624969728,DAO,18.1678,0.8761839,0.11732,18.1678,18.00009,18.61325,-0.6131600000000006,7.880776343472373
79665868,13.0,1.08,8250,106656356,3778749335538470784,DZ/DZA,19.21033,6.087891,0.3348223,19.21033,19.36305,19.23509,0.1279600000000016,13.132664340262725
117497952,58.5,1.08,3880,87729398,418491412783587200,DC,13.99804,43.65936,0.02175526,13.99804,14.00965,13.94633,0.0633200000000009,12.198426825612094
70285481,65.5,1.08,8250,114922332,2533569390792941184,DB,18.55947,3.502396,0.2061143,18.55947,18.50305,18.56945,-0.066399999999998,11.281296241135673
74968494,46.0,1.08,8250,64458524,3125605309422407552,DA,17.47756,1.572019,0.1228902,17.47756,17.33611,17.77099,-0.4348799999999997,8.459848953890006
104809734,22.9,1.08,6400,92809119,5937668939609108224,DC/DZ,17.65557,9.562852,0.1445651,17.65557,17.69745,17.58343,0.11402,12.558507172230104
61248548,54.1,1.08,8250,98218366,1428562506980546688,DC,18.23513,10.6733,0.09855673,18.23513,18.3613,17.97643,0.3848699999999994,13.376623582694734
67965675,41.9,1.08,8250,101576509,2158285185808357504,DC,15.39954,72.95158,0.02317935,15.39954,15.90448,14.73501,1.169469999999999,14.714713511843074
54603061,60.0,1.08,6400,100495249,440396914222763264,DA/DAH,15.26246,14.55154,0.04046958,15.26246,15.16366,15.41161,-0.2479499999999994,11.077004787266118
94916977,31.1,1.08,8250,57929817,5184589747536175104,DB/DC,17.9742,11.07183,0.1205898,17.9742,17.97099,17.98739,-0.0164000000000008,13.19529704441966
92233548,23.1,1.08,4990,63864280,4721812110929376768,DA:,18.01344,9.684882,0.08967026,18.01344,17.96532,18.12292,-0.1576000000000021,12.943911668352024
91826153,61.0,1.07,8250,110236958,4682152211118806656,DA,18.20242,6.492074,0.1457135,18.20242,16.82514,15.86523,0.9599100000000008,12.264337307471909
74858700,14.6,1.07,6400,64143718,3115382600062991872,DA,18.41168,6.130694,0.1902504,18.41168,18.33581,18.70178,-0.3659700000000008,12.349228199109533
55841338,9.4,1.07,8250,57610387,589949359090383488,DA:,19.92106,4.169048,0.686158,19.92106,19.89569,19.18798,0.7077099999999987,13.021244476848956
93235385,29.5,1.07,6400,56186876,4871830057242702848,DA,17.56235,11.58284,0.07021506,17.56235,17.59855,17.54295,0.0555999999999983,12.881425286209176
56336744,19.7,1.07,4780,70055542,668251560702211072,DA/DAO,18.37271,8.897567,0.1877954,18.37271,18.45003,18.19295,0.257080000000002,13.119066334950496
67184039,8.2,1.07,8250,55375114,2082510963297685888,DA,19.67827,3.361606,0.3538443,19.67827,19.68452,19.80005,-0.1155299999999996,12.31100405108962
66945277,18.7,1.07,6400,88908181,2067711227548545408,DC:,19.39585,3.968278,0.2387699,19.39585,19.4771,19.52329,-0.0461899999999992,12.388860446489373
67321888,17.4,1.07,8250,92698930,2093580129105582720,DA:,19.94183,4.64164,0.3637859,19.94183,20.16537,19.53898,0.6263900000000007,13.275187270349244
74295435,31.9,1.07,5820,80065354,3071571391020827136,DA,17.72464,6.806882,0.1465335,17.72464,17.75204,17.69751,0.0545299999999997,11.889381110013552
80357319,38.9,1.07,8250,58640149,3914169864834617984,DA/DZ,19.60365,10.4492,0.5466195,19.60365,19.91088,18.93293,0.97795,14.699065208749634
109505782,54.6,1.07,4780,58980852,6316451863556609152,DA,16.37934,10.31682,0.3819246,16.37934,16.39061,16.3963,-0.0056900000000013,11.447069266845876
78857714,32.8,1.07,6400,56343709,3633822506017786112,DA_MS,19.42528,3.092609,0.5337151,19.42528,19.42771,19.15005,0.2776600000000009,11.876905077098831
57909166,39.2,1.07,4780,70976326,919919563159507072,DA,19.43504,5.02248,0.3354769,19.43504,19.55878,19.40357,0.1552100000000003,12.939631080105984
100048863,14.9,1.07,4990,63382390,5617381954006206208,DC/DQ,18.421,9.439606,0.1268293,18.421,18.48296,18.39752,0.0854399999999984,13.295769338229302
88576123,28.7,1.07,8250,76299650,4372249116461336704,DBAZ:,17.91545,5.767844,0.112822,17.91545,17.93372,17.90471,0.0290099999999995,11.720517528619824
92920332,29.8,1.07,6400,57392524,4819528354990459776,DC/DB,17.69737,6.797306,0.07382741,17.69737,17.70685,17.70451,0.0023400000000002,11.859054106798387
116365260,26.4,1.07,6400,74507649,261774751997993344,DBA/DB,18.09048,5.624372,0.1488539,18.09048,18.04121,18.23421,-0.1930000000000014,11.840850187552066
78636982,46.4,1.06,8250,92896616,3593734346428868864,DA_MS:,19.07888,4.248147,0.3823277,19.07888,17.87326,17.36756,0.5056999999999974,12.219877681826889
76962505,34.7,1.06,6400,67630510,3367259655760967808,DA/DB,17.45377,4.72227,0.1051297,17.45377,17.40818,17.60638,-0.1981999999999999,10.824524073135226
56619489,20.2,1.06,8250,71523533,708935788735355264,DAO/DA,19.15539,3.02553,0.3644198,19.15539,19.08579,18.86596,0.2198299999999982,11.559397317940087
110038341,44.0,1.06,8250,111987713,6402944292920483712,DA_MS,17.78098,1.147038,0.1146449,17.78098,15.42454,15.57574,-0.1511999999999993,8.078869028987349
62266099,37.6,1.06,4990,71716408,1612909173409062912,DC:,19.36769,3.575474,0.2053671,19.36769,19.35495,19.46863,-0.1136800000000022,12.134358121508852
59053119,31.7,1.06,6400,93698466,1091658198472977920,DA,15.10681,17.1489,0.02899097,15.10681,15.08808,15.18502,-0.09694,11.27799133931338
110009790,23.9,1.06,8250,61508271,6399438530158514048,DZ/DA,18.5876,5.498668,0.135239,18.5876,18.65879,18.54162,0.117169999999998,12.28888749264403
68024908,25.0,1.06,6400,66957624,2163418187144490368,DA,17.82063,4.847776,0.0839421,17.82063,17.78047,17.91984,-0.1393699999999995,11.248342721414652
78869650,47.0,1.06,4990,93060105,3635773447667412992,DQ,17.49027,16.57425,0.1051785,17.49027,17.68396,17.2076,0.4763599999999997,13.58743942649087
55828660,10.2,1.06,8250,79637966,587622861205266688,DB,16.56828,6.719357,0.07627387,16.56828,16.49833,16.72575,-0.2274200000000021,10.704918579024534
69109892,62.3,1.06,6400,59103732,2274076297221555968,DA,12.88733,44.99172,0.02617352,12.88733,12.83601,12.98898,-0.1529699999999998,11.152992981190174
101445580,76.7,1.06,6400,93649605,5743856822336383744,DA,16.31721,10.87274,0.06065528,16.31721,16.30676,16.40582,-0.0990599999999979,11.49890501432668
89993944,13.1,1.06,4990,80763740,4528933302988697344,DA:,19.16412,5.551681,0.2283981,19.16412,19.14267,19.31813,-0.175460000000001,12.88624251785367
78875223,20.2,1.06,8250,57865905,3636650514349119232,DC/DQ,18.58871,4.339442,0.2289566,18.58871,18.58055,18.57449,0.0060599999999979,11.775879440303337
92951504,14.6,1.06,4780,94042775,4824108984854508672,DA,18.81757,2.70148,0.1504392,18.81757,18.83173,18.91761,-0.0858799999999995,10.975578783266894
102767123,18.2,1.06,4780,88410429,5848754492268362624,DAH/DA,17.88842,12.62814,0.09372445,17.88842,17.95682,17.72718,0.2296399999999998,13.39511693994095
70260134,125.2,1.06,4990,88501537,2528877194857837184,DC,16.74807,23.12271,0.07085014,16.74807,17.08642,16.24046,0.8459600000000016,13.56826366195055
65132351,25.4,1.06,8250,67811451,1968306000488873344,DA:,19.3005,7.499931,0.3149925,19.3005,18.21529,17.54185,0.6734399999999994,13.675786339320435
58364339,43.4,1.06,6400,65012514,976040702520790400,DA,14.93161,30.76028,0.03055221,14.93161,14.90991,14.99972,-0.0898099999999999,12.37156142188583
66011546,21.3,1.05,6400,66853058,2020029673155287936,DA,19.52728,2.781522,0.3824094,19.52728,19.36999,19.70296,-0.3329699999999995,11.748692496363232
60363602,15.0,1.05,4780,56038360,1304733106575117056,DA/DAH,17.95834,10.52823,0.09153277,17.95834,18.02808,17.92054,0.1075400000000001,13.070116819913114
70141944,44.3,1.05,8250,74480513,2505076268513436928,DA,18.30274,7.877056,0.2280674,18.30274,18.33724,18.25216,0.0850800000000013,12.78455966495261
110562987,10.1,1.05,6400,89450741,6461856057215284352,DA,17.91099,3.832069,0.113693,17.91099,17.90321,17.92436,-0.0211499999999986,10.828156601783924
71868459,54.4,1.05,8250,79690460,2833849800205759360,DA,15.70054,6.369308,0.0397683,15.70054,15.65214,15.78041,-0.1282700000000005,9.721001252644824
66962300,34.7,1.05,8250,68034325,2068668489860444416,DA,18.21513,4.459797,0.1179443,18.21513,18.1855,18.31387,-0.1283700000000003,11.461705455235304
61612144,63.1,1.05,8250,61988448,1490216556355930880,DA,18.15476,5.010161,0.1057059,18.15476,18.18596,18.19737,-0.0114099999999979,11.654018410062896
57737787,26.6,1.05,6400,116296143,894532870466209152,DA,18.17253,2.75332,0.1938482,18.17253,18.10698,18.38526,-0.2782799999999987,10.371813447373247
115986185,31.0,1.05,6400,112010118,213311646702294272,DA/DBA,18.21279,3.205878,0.1375823,18.21279,18.20848,18.25943,-0.0509499999999967,10.742524956068586
66870290,17.1,1.05,6400,93030849,2062152612159463296,DB_MS:,19.03248,2.849423,0.1785558,19.03248,19.05842,19.13639,-0.0779699999999969,11.306264627610949
76993348,9.8,1.05,8250,73633022,3369467402092920704,DA,19.0714,2.349459,0.2855617,19.0714,19.02926,19.18291,-0.1536499999999989,10.926239353138495
111215046,38.5,1.05,8250,63751335,6555925496084361344,DA,15.893,2.159023,0.04419169,15.893,15.80142,15.97591,-0.1744900000000004,7.564286344417514
54407688,8.3,1.04,6400,66932781,423812769882879488,DA,19.06811,3.686711,0.2065441,19.06811,19.1289,19.02501,0.1038899999999998,11.90130547373098
79161619,43.0,1.04,4990,109962697,3684069981248650624,DQ,17.85823,11.73969,0.1254597,17.85823,17.98122,17.61837,0.3628500000000016,13.206513145091655
110067979,39.5,1.04,6400,96794387,6406523615583522816,DA/DAH,19.57066,6.712552,0.3041029,19.57066,18.17721,17.22437,0.9528399999999984,13.705098315307584
64657277,17.1,1.04,8250,73478071,1909109703192419072,DA/DBAZ,19.20789,2.532524,0.2610345,19.20789,19.16019,19.19423,-0.0340400000000009,11.22565784867724
77080691,37.1,1.04,6400,109044668,3377107392999647616,DB,18.30565,3.19354,0.2245475,18.30565,18.20978,18.53272,-0.3229400000000026,10.827011800952064
65124755,10.6,1.04,6400,75654624,1967826922652927488,DA/DZ,19.55794,2.503735,0.2750389,19.55794,19.49157,19.45528,0.036290000000001,11.550881802148716
79637114,18.9,1.04,8250,76221280,3773128151061170048,DC:,18.23734,14.95581,0.1585464,18.23734,18.44398,17.77484,0.6691399999999987,14.111389695998868
57747273,41.9,1.04,8250,59547986,895676534357868800,DA,19.23897,4.944623,0.3212236,19.23897,19.4137,19.05573,0.3579699999999981,12.709635923284562
74416457,17.7,1.04,8250,64831732,3083384234712571264,DC/DQ,18.93537,16.54938,0.233581,18.93537,19.43829,18.29299,1.1452999999999989,15.029278640823794
80022810,66.0,1.04,8250,74881399,3847295570474498688,DA_MS:,19.09429,13.22501,0.2662896,19.09429,19.51673,18.4633,1.0534299999999988,14.701270045480609
93355405,15.7,1.04,8250,83014356,4890911192484988800,DA_MS:,19.8356,2.42147,0.3793607,19.8356,18.23339,17.96937,0.2640199999999986,11.75599546434173
75805436,78.1,1.04,8250,61046177,3212025312751381888,DBA:,17.24848,5.950051,0.09158307,17.24848,17.25734,17.26594,-0.0086000000000012,11.121083441183634
105195693,8.4,1.04,8250,108538650,5951872774381685888,DA,18.89257,2.70583,0.2178183,18.89257,18.83489,18.87135,-0.0364599999999981,11.05407253783953
56612672,11.5,1.04,6400,79163497,707927953183963008,DA:,19.936,2.713986,0.4674071,19.936,19.93491,19.95352,-0.0186100000000024,12.104038015184493
75645615,40.6,1.04,8250,95768691,3186734243208754048,DA_MS,18.15736,6.800761,0.1717587,18.15736,17.88111,17.20929,0.6718200000000003,12.32014756324353
93762679,12.4,1.04,6400,66902678,4960322536912070912,DA,19.11818,1.844479,0.1924384,19.11818,19.00601,19.37781,-0.3718000000000003,10.447548575027344
