sdss_id,n_vis,chi2r,dv,dv_sig,vis,gaia,cls,g_mag,MG,bprp,dr19
60440857,8,6.81,230.8,6.0,59314:+12±29 59315:-33±15 59339:+16±18 59345:-84±27 59347:+20±22 59352:-22±25 59375:+20±16 60119:+146±27,1314688664672259968,DA,19.45928,9.386663186816577,-0.4109499999999997,False
60441088,6,0.65,67.9,1.1,59314:-65±52 59315:-52±39 59339:+3±33 59347:-29±20 59352:-7±10 60119:-16±20,1314715705786965248,DA,19.87705,12.347864032804017,0.151609999999998,False
60441935,8,1.22,54.6,2.3,59314:-40±21 59315:-7±17 59339:+6±10 59345:-21±21 59347:+6±14 59352:+14±11 59375:+10±10 60119:-12±16,1314824282560109696,DA,18.77732,12.937007198182927,0.13842,False
60453294,9,2.6,93.6,3.1,59296:+15±13 59300:-38±18 59304:-47±22 59328:+14±20 59329:-42±32 59383:+47±20 59384:-36±21 59385:-36±44 59387:+3±15,1316436853801281152,DA,18.79907,11.00139874804468,-0.2666900000000005,False
60455434,7,1.2,178.0,1.8,59296:+21±17 59300:+2±30 59301:+161±97 59304:-7±25 59328:+1±30 59329:+44±30 59383:-17±17,1316671290295471744,DA,18.62628,9.428262464439406,-0.3376700000000028,False
60455600,10,3.18,176.4,3.8,59296:-18±14 59301:-29±20 59302:-79±37 59304:-22±25 59328:-19±13 59329:+98±28 59383:+31±17 59384:-2±17 59385:+34±27 59387:-47±50,1316696205402107008,DA,18.96294,10.367141396481976,-0.2179700000000011,False
60457766,10,12.98,434.0,8.4,59296:-24±11 59300:+25±11 59301:-67±36 59302:+367±36 59304:+5±23 59328:-32±30 59329:-14±21 59383:+24±23 59384:+32±26 59385:-6±33,1316971736144316928,DA,18.53492,11.423943274465596,-0.0439800000000012,False
60477185,10,16.38,202.2,7.0,59296:+61±11 59300:-94±27 59302:-85±36 59304:-116±20 59328:-16±12 59329:+23±11 59383:+82±23 59384:-120±18 59385:-15±31 59387:-23±16,1319676603468508544,DA,17.84831,10.884709916768916,0.0175299999999971,True
60529187,8,1.9,143.3,2.1,59314:+120±64 59315:-16±21 59339:+2±15 59345:-24±20 59347:+19±49 59352:-5±12 59375:-3±15 60119:+100±37,1327012849989911296,DA,19.87583,10.481887076903122,0.0031300000000022,False
60633790,7,7.21,145.4,5.3,59314:+22±34 59315:-34±27 59339:-22±22 59345:+99±20 59347:-47±19 59352:-25±14 59375:+39±15,1339044565215090560,DA,19.67155,10.75945002396494,-0.1512999999999991,False
60725358,5,1.76,69.1,1.7,60466:+19±20 60471:+7±16 60472:-47±20 60476:+7±12 60477:+22±35,1349981716613485568,DA,18.205,11.597590984729765,-0.0401400000000009,False
60770429,7,3.38,150.3,3.2,59312:-12±37 59340:+6±17 59348:-2±20 59350:-61±21 59354:+11±18 59373:-115±33 59374:+35±34,1355639979544952832,DA,19.2384,9.812090259073347,-0.4468899999999998,False
60777818,9,0.97,107.5,1.7,59312:+4±10 59340:-24±15 59348:+13±17 59350:+35±48 59354:-10±10 59373:+60±39 59374:-8±40 60107:-0±49 60467:-48±50,1356732752368007040,DA,19.8584,11.192446760940188,-0.0676999999999985,False
61100167,5,0.28,43.8,0.8,59310:-28±38 59312:-10±34 59342:-14±15 59351:+16±35 59370:-1±15,1406411097188506880,DA,19.67793,11.37466937036422,-0.0726099999999974,False
61101277,8,27.55,316.7,11.9,59310:+36±16 59312:+46±17 59342:+21±20 59351:-14±13 59370:+9±15 60353:-0±18 60433:-270±20 60524:-60±28,1406575474177141632,DA,18.82035,11.255006821575314,-0.1311199999999992,False
61246423,3,0.12,9.9,0.5,59324:+1±10 59344:+1±10 60052:+11±18,1428280108586688768,DA,18.29271,11.099269588546465,-0.2284700000000015,False
61555706,8,2.98,99.2,3.5,59283:-15±17 59313:+36±15 59343:+18±26 59344:+36±19 59345:-6±18 59347:-11±29 59376:-49±20 60119:+50±20,1480121287266734592,DA,19.6092,10.10630649430374,-0.2325899999999983,False
61610746,9,5.77,142.5,5.1,59336:-8±23 59362:-80±16 59363:+14±20 59364:+55±25 59382:-49±25 59383:-69±48 59384:+17±13 59385:-11±43 59391:+62±23,1489954254113546880,DA,19.52861,10.721798229856816,-0.2516899999999999,False
61667907,5,1.19,26.9,1.9,59293:+6±10 59311:-1±10 59364:+12±10 59366:-15±10 59369:-9±10,1500004000845782912,DA,16.59561,11.318188929209851,0.3064,True
61917388,11,1.85,127.6,1.9,59256:+13±16 59291:+20±12 59335:+2±44 59336:-54±36 59338:+62±49 59364:+32±35 59365:-65±47 59366:-13±15 59370:+50±25 60298:-59±35 60706:-29±27,1548054716267995520,DA,18.62371,8.343638317777451,-0.359729999999999,False
61918517,9,1.94,109.6,2.9,59256:+40±31 59291:-26±22 59335:-22±37 59336:-2±23 59338:-9±34 59364:+27±21 59366:-36±37 59370:+11±36 60706:-69±21,1548267368689027840,DA,17.94662,8.655437718097284,-0.4608999999999987,False
61937214,3,1.41,29.9,1.5,59291:-4±10 59309:+20±13 59347:-10±15,1551724851721580672,DA,19.59752,11.45575790861706,-0.2900199999999984,False
61938214,6,3.68,118.5,3.2,59291:-11±13 59317:-10±11 59345:-65±34 59346:-12±11 59347:+53±15 60461:-7±41,1551909260437993472,DA,19.49093,12.692857619114312,0.2469399999999986,False
62008468,9,1.18,104.8,1.8,59268:+11±54 59269:-76±51 59293:-15±42 59294:+13±22 59296:-45±20 59324:-33±18 59326:-60±45 59328:+7±55 59329:+29±31,1564823819076206720,DA,19.39178,12.886173964586424,0.225679999999997,False
62081176,15,11.98,497.0,8.3,59268:+30±47 59269:-33±29 59272:-16±34 59293:-18±18 59294:-1±12 59296:-33±13 59300:+18±23 59301:-467±37 59302:-63±37 59324:+14±13 59325:+3±26 59326:+26±36 59327:-5±35 59328:+9±12 59329:-42±17,1578513353024992896,DA,18.58371,11.509596934270498,-0.1158199999999993,False
62109318,10,4.66,144.4,3.1,59264:-30±23 59293:+25±16 59316:-105±40 59344:-6±14 59380:-100±23 59381:+23±33 59640:-2±29 59646:+39±24 60372:+39±29 60675:-64±20,1583713218386293120,DA,19.75157,11.1227334465535,0.2510300000000001,False
62109735,12,1.98,223.7,3.0,59264:+22±31 59293:-11±16 59316:+34±31 59344:-55±48 59380:+6±18 59381:+18±42 59640:-111±47 59646:-88±32 59726:+17±81 60294:+5±26 60295:+112±59 60372:-51±37,1583792108345604864,DA,19.96336,11.749779350185271,0.4170100000000012,False
62200036,5,3.09,92.8,2.9,59290:+19±18 59316:+16±26 59317:-32±14 59344:-27±20 59734:+61±29,1600797464418343168,DA,19.543,11.375678828711308,-0.1991800000000019,False
62200406,8,3.76,165.4,3.3,59290:-37±15 59316:+16±31 59317:+3±13 59344:+4±13 59369:-45±25 59370:+23±16 59734:+93±27 60105:-72±42,1600870173920940928,DA,19.35379,12.301652081905718,0.1034699999999979,False
62245757,4,1.96,46.2,1.3,59281:+23±11 59312:-10±11 59342:-14±17 60380:-23±35,1609300262714180352,DA,19.67931,11.668109129742316,0.0249999999999985,True
62265860,8,8.5,283.9,6.4,59290:-9±17 59316:-83±20 59317:-11±17 59344:+72±21 59369:+51±38 59370:-3±15 59734:+31±32 60105:-212±39,1612862646028095104,DA,19.80267,10.820032006549445,0.1063799999999979,False
62266137,8,4.67,75.3,4.4,59290:-20±12 59316:-14±12 59317:-3±13 59344:+22±10 59369:+11±22 59370:+36±10 59734:-39±14 60105:+36±18,1612918549322905344,DA,18.45584,10.718855001967372,-0.1557899999999996,False
62437286,3,2.06,34.2,2.0,59355:-11±11 59358:+8±13 59359:+23±13,1642422672544180608,DA,18.46747,10.51323614108762,-0.2809799999999995,False
62545898,6,1.21,105.4,1.7,59280:+19±17 59309:-37±24 59340:-14±12 59380:+69±58 59381:+10±78 60060:-8±16,1661576062020439808,DA,19.69232,10.427871454177188,-0.1298700000000003,False
62573217,8,3.48,52.6,3.0,59280:-4±10 59309:+45±10 59340:-7±15 59380:-7±10 59381:-6±13 59789:+30±13 60056:-3±10 60057:-6±20,1666750569898974208,DA,17.76891,11.496391918420873,0.185299999999998,True
62775521,2,2.46,35.8,1.6,59337:-23±17 59338:+13±15,1705220733704244224,DAO:,18.62219,8.02557412565022,-0.4972600000000007,False
62799751,5,1.51,88.9,1.5,59648:+29±17 59651:-60±57 59653:+21±38 59654:-10±19 59658:-15±12,1709387775398437760,DA,16.8304,8.668544501009258,-0.2739100000000007,False
62802158,5,0.43,27.1,1.3,59651:-4±15 59653:+9±15 59654:-18±14 59657:-7±20 59658:-3±16,1709809163229725312,DA,17.36131,10.94354508001318,-0.0676999999999985,True
63183467,3,2.09,44.8,1.8,60251:-12±20 60467:+30±17 60468:-15±18,1762020022631465216,DAO/DA,18.12942,7.971141862492086,-0.4815199999999997,False
63201664,3,7.25,60.8,3.4,60472:+18±10 60477:-33±16 60478:-43±15,1764073394954901504,DA,18.42704,9.923446336489942,0.2930600000000005,False
63204464,4,16.65,91.7,6.5,60471:+49±10 60472:+4±11 60477:-42±10 60478:-29±10,1764456441613885952,DA,16.55599,9.94557434990783,-0.2168500000000008,False
63298167,5,4.57,126.2,3.6,59376:-6±10 60224:-10±23 60530:-66±23 60532:+61±26 60585:+32±16,1778435976047175808,DA,18.59572,9.78942209497575,-0.3689,False
63596910,5,2.04,123.9,2.8,60471:-10±17 60472:-8±10 60475:-3±28 60476:-122±41 60477:+2±17,1811489941277236224,DA,19.5462,13.292364379770584,0.2442399999999978,False
63611662,5,1.8,70.6,1.6,60471:+15±13 60472:-20±11 60475:+16±18 60476:-54±39 60477:-8±11,1812788975610524160,DA,18.28694,11.61014705768476,-0.0009200000000006,False
63702277,3,0.39,18.9,0.8,60123:+9±15 60445:-10±19 60448:-7±17,1819807540607001472,DA,18.55402,9.929095980367713,-0.2390399999999992,False
63759206,4,4.96,95.3,3.2,60464:-80±19 60465:+16±23 60471:-0±13 60473:+15±34,1822554047620411136,DA,18.81877,9.2634723605354,-0.3932099999999998,False
64421124,4,1.11,30.4,1.8,60233:+5±10 60591:+13±12 60592:-17±13 60593:+1±10,1875458187752854656,DA,17.25146,11.59836704075402,-0.1381600000000027,False
66994610,2,0.26,8.0,0.5,60471:-5±10 60473:+3±12,2071078176977176064,DA,18.50047,13.41707974443488,0.4696000000000033,False
67323885,2,0.27,10.4,0.5,59303:+21±13 59305:+10±15,2093768278736360192,DA,18.59439,11.304796313370282,-0.1232199999999998,False
67324837,2,0.0,0.7,0.1,59303:+6±10 59304:+6±10,2093870778136540032,DA,18.29268,9.041684311291643,-0.3532900000000012,False
67925204,3,41.64,198.6,8.3,59367:+69±14 59385:+66±12 59386:-129±20,2153427951457223040,DA,17.9941,11.201229594953192,-0.2099900000000012,False
67979734,4,0.45,45.1,1.1,59358:-5±16 59359:+40±36 59366:+1±11 59387:+11±51,2160139645312312576,DA,19.03879,10.138545428776585,-0.3410100000000007,False
67982837,4,1.81,40.6,2.1,59358:+10±16 59359:+21±17 59366:-20±10 59387:-4±12,2160546980009693824,DA,18.30006,12.9939223652324,0.438480000000002,False
68014290,3,1.08,18.7,1.2,60561:+7±12 60562:+6±10 60608:-12±10,2162899728735019520,DA,18.54373,11.172657934414412,-0.37819,False
68034325,4,1.03,24.1,1.6,60468:+9±11 60470:+13±10 60499:-2±13 60608:-11±11,2163742680495676800,DA,18.49266,11.986039002421013,0.365009999999998,False
68429925,3,3.51,88.4,2.1,60225:+4±34 60665:+92±24 60666:+9±26,2187179075779531648,DA,17.83226,10.519564058657464,-0.317029999999999,False
68457205,3,36.22,115.9,8.2,60121:-52±10 60665:+64±10 60666:-23±11,2190010593106909568,DA,16.72862,12.841838246006509,0.6388499999999997,False
68465137,3,5.0,85.6,3.1,60115:+60±22 60117:-25±16 60664:-5±13,2190865570769177216,DA,16.00067,8.683379518583767,-0.4326099999999986,False
68699100,4,0.48,36.5,1.0,59209:-29±35 59210:+0±26 59898:+8±12 60615:-11±19,2212397886791015168,DA,19.01002,10.916587463043172,-0.0433900000000022,False
68728784,3,4.01,48.7,2.7,59764:+32±15 59882:-17±10 60606:+14±14,2216247345721621760,DA,18.1287,10.101619376778125,-0.0495400000000003,False
68916829,5,1.06,54.6,1.7,59652:-18±14 59653:+8±16 59690:+1±10 59718:-47±28 59984:+4±20,2242214722289717120,DA,17.70612,11.066695222843784,-0.2285300000000028,False
68975132,6,1.04,29.3,2.0,59653:+17±11 59658:-7±11 59689:-11±10 59690:-0±10 59718:-13±10 59984:-4±10,2252512954353689344,DA,17.57994,13.088491542688551,0.3813600000000008,False
69035736,2,14.76,54.3,3.8,59952:+18±10 59978:-36±10,2260805780286092032,DA,16.02697,10.48849258315138,-0.1317399999999988,True
70022678,4,3.9,68.3,2.9,60234:+42±31 60294:+14±17 60538:+73±13 60610:+5±19,2481267168847794816,DA,18.20566,10.180503368753044,-0.2377800000000007,False
70041762,6,2.89,106.3,2.7,60232:+23±16 60286:-83±37 60290:-52±22 60533:+20±18 60608:-7±13 60669:+8±19,2485347731376713984,DA,19.32296,10.010931498430562,-0.2474899999999991,False
70043201,6,6.03,134.5,4.7,59166:+15±10 59191:+19±10 59220:-26±10 59820:-14±22 59878:+108±27 60320:+77±53,2485615050141095424,DA,18.06531,11.330055774871894,0.1463999999999998,True
70063537,5,4.28,78.9,3.3,60235:-2±16 60283:-34±14 60562:-26±26 60700:+26±11 60702:-53±21,2489778213480560000,DA,18.75377,9.492414345745338,-0.4390500000000017,False
70071251,6,1.04,48.0,1.4,60235:+12±17 60283:+3±25 60562:-0±15 60636:-24±16 60700:-25±15 60702:+23±30,2491241938334981888,DA,19.37636,10.86736463525045,-0.2256999999999998,False
