sdss_id,mjd,fieldid,in_stack,exp,bjd,v_Ha,v_Hb,v_Hg,e_Ha,e_Hb,e_Hg,v,e,n_lines
63204464,60471,100971,True,MJD_EXP_60471-00,2460471.9197,40.4,39.0,34.3,20.6,15.9,17.1,37.9,9.9,3
63204464,60472,100971,True,MJD_EXP_60472-00,2460472.90322,1.8,13.5,20.5,9.4,16.4,17.6,12.0,9.4,3
63204464,60472,100971,True,MJD_EXP_60472-01,2460472.91465,1.8,8.7,4.8,10.9,16.7,17.5,5.1,9.7,3
63204464,60477,100971,True,MJD_EXP_60477-00,2460477.91557,-16.8,-35.8,-33.9,15.4,16.0,16.2,-28.8,9.3,3
63204464,60478,100971,True,MJD_EXP_60478-00,2460478.86589,-21.6,-25.8,-22.5,15.6,15.7,16.0,-23.3,9.0,3
68457205,60121,101784,True,MJD_EXP_60121-00,2460121.91877,-48.4,-35.7,-28.2,13.8,11.6,10.7,-37.4,8.0,3
68457205,60665,101784,True,MJD_EXP_60665-00,2460665.58973,49.1,36.5,30.1,16.0,12.3,12.1,38.5,8.0,3
68457205,60666,101784,True,MJD_EXP_60666-00,2460666.55026,-21.1,-13.7,11.0,17.8,11.6,12.7,-7.9,9.7,3
67925204,59367,15387,True,MJD_EXP_59367-00,2459367.91052,-17.1,-39.6,-32.1,36.9,28.6,25.5,-29.6,16.5,3
67925204,59367,15387,True,MJD_EXP_59367-01,2459367.92189,-110.5,25.5,19.7,34.0,23.5,21.5,22.6,15.9,2
67925204,59385,15387,True,MJD_EXP_59385-00,2459385.80466,18.5,-40.1,13.6,29.4,25.9,26.4,-2.7,18.8,3
67925204,59385,15387,True,MJD_EXP_59385-01,2459385.81602,26.8,14.7,-0.2,33.2,25.2,8.7,13.8,14.6,3
67925204,59385,15387,True,MJD_EXP_59385-02,2459385.82736,-2.9,16.7,-5.8,19.3,32.5,19.4,2.7,11.2,3
67925204,59386,15387,True,MJD_EXP_59386-00,2459386.83061,-2.1,-23.4,-4.2,28.3,38.2,15.1,-9.9,16.3,3
67925204,59386,15387,True,MJD_EXP_59386-01,2459386.84196,-202.4,7.0,-32.8,39.2,29.0,28.0,-12.9,20.2,2
67925204,59386,15387,True,MJD_EXP_59386-02,2459386.85331,-7.3,-0.2,-14.4,23.3,11.0,25.7,-7.3,13.5,3
67925204,59386,15387,True,MJD_EXP_59386-03,2459386.86466,-22.6,3.9,35.2,42.4,27.2,24.2,5.5,16.7,3
75637719,60346,103653,True,MJD_EXP_60346-00,2460346.6217,73.1,89.4,84.8,9.2,14.6,17.8,82.4,8.4,3
75637719,60349,103653,True,MJD_EXP_60349-00,2460349.58779,-2.4,1.9,-22.5,12.3,14.9,28.6,-7.7,8.6,3
75637719,60349,103653,True,MJD_EXP_60349-01,2460349.59923,156.1,564.1,-20.8,33.6,25.1,40.0,,,0
75637719,60580,103653,True,MJD_EXP_60580-00,2460580.9394,-84.3,-81.6,-50.7,14.2,25.0,23.6,-72.2,13.6,3
75536894,59186,15073,True,MJD_EXP_59186-00,2459186.8916,275.6,-414.9,413.1,44.8,27.7,25.8,,,0
75536894,59186,15073,True,MJD_EXP_59186-01,2459186.90333,134.3,348.2,205.9,36.8,137.8,22.0,229.5,62.8,3
75536894,59186,15073,True,MJD_EXP_59186-02,2459186.91509,63.6,423.0,418.3,43.2,136.3,135.8,420.7,96.2,2
75536894,59186,15073,True,MJD_EXP_59186-03,2459186.93857,,,,,,,,,0
75536894,59186,15073,True,MJD_EXP_59186-04,2459186.95035,514.6,-208.4,689.2,802.2,318.8,262.2,331.8,274.8,3
