sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status
92341489,4739512049113639808,2,14.4,0.30,400,0.94,-200,1.88,400,3.24,-70,0.5/0.7,ok
93584569,4928746242294627456,1,9.7,-1.00,40,-0.36,20,-0.74,400,0.92,-130,-1.0,ok
58442712,988131172897263616,1,3.5,-0.28,260,0.03,-190,0.07,180,0.53,270,-0.3,ok
54624666,443019215093282688,2,28.6,-0.19,400,-0.40,130,0.79,400,0.95,-200,-0.9/1.7,ok
69193140,2292976219204137216,1,6.0,1.90,400,0.96,400,0.78,400,1.59,-90,1.9,ok
68906341,2241038451005994112,1,29.2,0.17,360,-0.25,400,0.88,360,1.83,-200,0.2,ok
76617143,3340248468998314624,1,28.6,0.47,400,0.38,320,1.18,400,1.23,-140,0.5,ok
90910045,4634279161312328320,1,7.7,-0.12,400,-0.40,400,0.93,380,2.08,0,-0.1,ok
95998360,5281853409420555520,2,15.5,-1.34,-200,-0.09,-200,-0.51,400,4.68,90,0.0/-2.3,ok
110141358,6415675366260228736,1,22.8,0.97,400,1.56,400,-0.48,400,0.14,40,1.0,ok
68970137,2251874962730370816,2,25.3,0.13,280,-1.44,280,1.37,280,6.58,400,-0.2/-0.0,ok
74754447,3109575774217096320,1,26.9,0.87,400,0.27,-200,1.46,400,1.08,-160,0.9,ok
94435457,5084846008331740800,1,19.4,0.65,400,0.35,400,1.48,400,0.48,-70,0.7,ok
73350736,2995632417856835584,2,25.6,-1.16,-200,0.44,-200,0.26,400,1.49,-90,-2.3/-0.0,ok
62247161,1609545492463052032,4,9.4,0.23,-200,1.68,-200,-0.47,-200,31.97,0,-0.6/1.0/-0.1/-0.7,ok
68014622,2162925537196456576,2,21.6,-0.56,400,0.59,-200,-0.15,400,1.20,-190,1.4/-1.7,ok
112135403,6673328427122101120,1,40.0,0.19,400,0.92,-20,1.92,400,2.12,-150,0.2,ok
82092385,4054844715413627904,1,20.7,4.61,-200,3.10,-200,-0.35,400,0.86,50,4.6,ok
109044545,6242391234220552576,1,15.0,0.27,400,-0.32,400,1.36,400,1.41,-150,0.3,ok
98946465,5534679511165431680,1,10.2,1.14,400,0.92,-20,1.55,400,1.30,0,1.1,ok
109904798,6383410506779403008,1,13.1,-0.24,-190,1.03,-200,-0.75,400,1.01,-80,-0.2,ok
104900277,5940738604260032256,3,29.3,-0.51,400,1.03,-190,0.03,400,0.41,-60,-0.4/-0.5/-0.8,ok
86558650,4232108426695238272,1,10.4,1.45,260,1.64,210,0.95,340,0.88,-90,1.4,ok
95907690,5273829581582095488,1,15.2,-2.15,400,-1.13,400,-1.24,-200,1.97,20,-2.2,ok
95108213,5212069291893709184,1,18.1,-2.62,-80,-1.20,-90,-0.32,400,0.27,-90,-2.6,ok
92211001,4718004708320954752,1,34.0,0.52,400,0.83,290,0.87,400,1.48,-130,0.5,ok
103519043,5877142370668371456,1,15.3,0.59,-170,2.13,-150,-0.72,-200,1.68,-20,0.6,ok
70221225,2521105468714623360,1,23.3,0.21,400,-0.18,230,0.96,400,1.45,-200,0.2,ok
111831751,6648446582067535104,1,17.6,1.26,400,0.82,400,-0.43,190,0.41,-180,1.3,ok
85794986,4162262740836384640,1,20.5,-0.45,400,-0.72,-200,0.46,400,1.08,-20,-0.4,ok
55326968,515178479603412736,1,28.1,1.18,400,0.79,400,0.61,400,0.82,-200,1.2,ok
96827283,5337627270652009856,2,18.0,-1.07,-200,0.39,-140,0.35,400,0.57,-200,-0.9/-0.8,ok
60849692,1366011015598840448,2,12.7,0.02,400,-0.46,70,1.96,400,1.83,-180,0.0/0.3,ok
55105530,493684882699211136,1,24.9,0.10,400,-0.18,240,0.63,400,0.97,-200,0.1,ok
66851983,2061381893183837568,1,31.3,0.16,400,0.95,270,0.74,400,1.32,-160,0.2,ok
56355590,670242226502464128,1,31.3,0.65,400,0.47,-200,1.43,400,0.92,-180,0.6,ok
95135257,5215910921099806336,1,20.9,0.46,400,0.18,400,1.58,400,0.44,-200,0.5,ok
90887374,4630347208948747264,1,22.8,0.94,400,-0.30,-200,2.05,400,0.55,-80,0.9,ok
61879609,1541024271418256128,1,4.9,1.29,400,3.36,-200,4.06,360,1.28,-120,1.3,ok
87120131,4262048197107280768,1,28.3,0.24,400,-0.19,-200,1.14,400,0.89,-200,0.2,ok
55148189,500992133898089600,1,28.0,1.18,400,0.14,-200,1.84,400,1.41,-180,1.2,ok
68059473,2164487702721918720,2,29.4,1.74,400,-0.08,400,2.77,400,0.75,-180,1.9/1.3,ok
69525107,2365344936376819712,2,25.2,-0.10,400,0.18,180,1.36,400,1.32,-80,-0.0/-0.3,ok
101554487,5756377785875493504,1,19.1,1.00,400,0.04,400,1.24,330,0.32,-10,1.0,ok
