sdss_id,gaia_dr3_source_id,ra,dec,plx,e_plx,pmra,pmde,g_mag,bp_mag,rp_mag,snr,n_boss_visits,classification,p_da,p_dq,p_hotdq,p_db,p_dah,teff,e_teff,logg,e_logg,result_flags,telescope,ebv,bp_rp,MG,cmd_off,is_control
74941803,3122807915617879936,92.564,0.8118589,3.559313,0.50876653,-14.052095,12.9214,19.637613,19.638569,19.707323,5.511781,1,DA,0.8536405,0.0,0.006753008,0.00571027,0.035384353,12999.992,457.42703,7.915568,0.120519415,1,apo25m,0.033990223,-0.06875399999999843,12.3944439040481,0.5813321040480943,False
72162325,2882573210586068096,90.39243,-39.863266,5.624971,0.18791474,20.828953,14.151064,19.228228,19.306988,19.182858,10.985235,1,DA,0.9445068,0.0,0.0,6.6494955e-05,0.021890968,10264.522,53.893345,8.593458,0.06883398,0,lco25m,0.0069287075,0.12413000000000096,12.9788294387415,0.5292004387414959,False
89398226,4475575927843128832,268.45453,6.798284,5.473539,0.16796532,0.2050526,7.9722342,18.764538,18.843483,18.672667,10.651141,1,DA,0.94678855,0.0,0.0,0.00040731995,0.029583145,11593.377,251.91176,8.902425,0.16401733,0,apo25m,0.094327964,0.17081599999999852,12.455879084308147,-0.1478137156918482,False
68691421,2211473987786416384,343.90295,65.18867,4.2892046,0.15950546,19.12813,6.6430693,18.633928,18.554855,18.79299,14.071466,2,DA,0.95462376,0.0,0.0,0.0,0.021946218,20203.879,224.46875,8.373781,0.04172774,0,apo25m,0.039472416,-0.23813499999999976,11.795811815401104,0.5416573154011015,False
69632895,2395134112282699520,352.60895,-16.844564,6.344254,0.24822597,1.3404316,-26.793829,19.05714,19.114319,19.063408,5.998123,1,DA,0.79027224,0.0,0.005969216,0.0064905784,0.053614527,10879.633,150.87355,8.817188,0.11540546,1,lco25m,0.006691169,0.05091099999999926,13.069042810852718,0.8610365108527205,False
63929623,1830487715505789312,303.35776,23.332657,3.3766074,0.40753284,-16.613728,-14.324569,19.81262,19.95735,19.957438,6.6353993,2,DA,0.75022316,0.0,0.002,0.0124669075,0.03963766,11180.923,172.92361,8.64712,0.09019248,1,apo25m,0.012422799,-8.79999999980896e-05,12.45502283956215,0.41531323956214194,False
101577121,5759319456220982528,135.92332,-4.724586,2.7569587,0.52712667,-6.1431684,-5.990349,19.834166,19.836609,20.00863,5.2442117,2,DA,0.79678917,0.0,0.004,0.0058846464,0.055631924,12125.809,310.01004,7.549651,0.17901197,1,lco25m,0.015429189,-0.17202100000000087,12.036317301518263,0.5639866015182662,False
70430870,2560062226543391488,22.382635,3.565576,2.74474,0.4289648,34.369186,-19.289253,19.529,19.628119,19.488558,12.096306,3,DA,0.9664435,0.0,0.0,0.0001929002,0.0059317616,11227.853,96.35069,8.546123,0.08724647,0,apo25m,0.019706346,0.1395610000000005,11.72150605738551,-0.779045242614492,False
56450217,681458791293837056,118.821434,24.22,3.307991,0.46543857,7.793242,-17.50089,19.772144,19.8958,19.535328,6.125963,1,DA,0.5525208,0.0,0.002,0.026664568,0.004,10725.161,119.27033,9.199999,0.0880871,1,apo25m,0.01120343,0.36047200000000146,12.369965596519151,-0.859592003480854,False
74552481,3094901550293494656,121.40924,4.7691307,2.922738,0.46308038,-16.052774,-9.424087,19.87446,19.881546,19.903921,5.1360574,2,DA,0.8158819,0.0015508294,0.0,0.0030344552,0.023833899,13083.063,33.48328,7.7503366,0.12829666,1,apo25m,0.011708041,-0.022375000000000256,12.203409430440843,0.23724693044084333,False
92777420,4799632966964288896,82.21705,-44.117672,2.6403213,0.3609875,1.1692137,-0.7813753,19.904852,19.996273,19.925306,5.1094875,1,DA,0.6239789,0.0,0.014685475,0.038301863,0.09270372,11993.206,323.69046,8.806893,0.12822787,1,lco25m,0.010237807,0.07096699999999956,12.013135896331109,-0.26105520366889046,False
94916247,5184424653288410624,43.966034,-4.8678374,3.982063,0.19862756,0.03859223,-5.7239513,18.485794,18.475924,18.513319,19.580173,3,DA,0.99402386,0.0,0.0,0.0,0.0017258654,11295.291,62.533485,8.720899,0.023998613,0,apo25m,0.028612321,-0.03739500000000007,11.486334633474437,-0.430261866525564,False
111580838,6622937667485442048,339.67984,-25.683733,5.249182,0.272913,23.698408,17.020182,18.96078,19.032173,18.807854,5.7053776,1,DA,0.7924202,0.0,0.0019911032,0.012824377,0.02191804,10405.169,146.7741,8.638635,0.09789889,1,lco25m,0.008650535,0.22431900000000127,12.561238154586961,-0.2190145454130441,False
89557764,4490377622091361792,260.93246,8.0129595,7.606611,0.099503204,-2.7833583,18.654987,17.617296,17.585056,17.733162,23.451925,2,DA,0.96422786,0.0,0.0,0.0,0.031386178,18058.438,2.104093,8.543091,3.5089677e-05,0,apo25m,0.01432268,-0.14810599999999852,12.02325203561112,0.4720018356111151,False
