targetid,gaia,class,sample,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,snr_med,status,DESIID_x,G,bp_rp,MG,Teff,Log_g,swan,swanQ,DESIID_y,RA(deg),DEC(deg),Name,gaia_true,in_sdssv,id_rounded
39627915188504934,1159147901516125440,DAH,DA massive,8.52,120.0,13.98,110.0,2.75,250.0,1.24,200,11.0,ok,39627915188504934,18.151,-0.308,12.75,,,DAQ,True,39627915188504934,222.2281913806647,5.3176622131769,WDJ144854.90+051903.80,1159147901516125440,False,False
39628227324412417,3974116235214146560,DAH,DA massive,8.41,190.0,26.9,190.0,0.17,400.0,1.05,270,11.8,ok,39628227324412417,17.949,0.085,13.079,,,DQ,False,39628227324412417,175.02605119230734,18.400507958456497,WDJ114006.39+182402.41,3974116235214146432,False,True
39628417682903644,1271320421379365120,DC,non-DA,8.35,370.0,0.48,320.0,13.64,400.0,0.36,-200,5.6,ok,39628417682903644,19.3,0.159,12.427,,,DC,False,39628417682903644,230.33721435832084,27.111043640087125,WDJ152120.96+270639.15,1271320421379365120,False,False
39628039243437071,3146882852282365952,DZ,non-DA,8.33,-140.0,9.29,-140.0,0.93,370.0,3.28,-40,5.6,ok,39628039243437071,19.065,0.497,13.825,,,DZ,False,39628039243437071,122.29262716020556,10.580459375497124,WDJ080910.32+103449.08,3146882852282366208,True,True
39628169757594140,3945733265960413184,DA,DA massive,8.24,280.0,4.16,240.0,7.07,380.0,0.19,400,4.7,ok,39628169757594140,19.308,-0.089,13.136,16000.0,9.244,DA,False,39628169757594140,187.20777920006577,16.115542227258686,WDJ122849.86+160656.99,3945733265960412928,False,True
39628341354957051,1299120129779535104,DC,non-DA,8.03,250.0,6.18,210.0,8.01,340.0,0.55,-110,5.1,ok,39628341354957051,19.14,0.137,12.214,,,DC,False,39628341354957051,246.83947825886017,23.56746909129992,WDJ162721.47+233402.62,1299120129779535104,False,False
39627848469710038,3691473297981282816,DA,DA massive,7.72,350.0,2.42,330.0,3.65,400.0,3.22,360,2.8,ok,39627848469710038,19.844,-0.045,12.702,13288.0,8.341,DA,False,39627848469710038,199.303694949312,2.622874493622403,WDJ131712.91+023722.32,3691473297981282816,False,False
39628256973950122,1201747040722519296,DA,DA massive,7.64,90.0,2.97,90.0,-0.63,-200.0,0.37,380,2.4,ok,39628256973950122,20.852,0.017,14.52,80000.0,9.75,DQ,True,39628256973950122,242.44182276031455,19.84649712647877,WDJ160946.04+195047.88,1201747040722519296,False,False
39632981773518803,1326276898755818496,DB,non-DA,7.61,-90.0,5.98,-70.0,2.43,-200.0,9.98,30,4.9,ok,39632981773518803,19.273,-0.151,11.118,,,DB,False,39632981773518803,247.46461606488404,35.08198045048492,WDJ162951.51+350454.88,1326276898755818368,False,True
39633465326437950,1681582088405031936,DA,DA massive,7.54,280.0,3.0,190.0,2.02,360.0,0.62,350,6.0,ok,39633465326437950,19.127,-0.076,11.168,11982.0,8.627,DA,False,39633465326437950,185.42812978335584,67.19931536870159,WDJ122142.75+671157.66,1681582088405031936,False,False
39627965583065750,2745751632894397440,DA,DA massive,7.46,100.0,6.1,110.0,2.16,-200.0,0.44,400,3.7,ok,39627965583065750,19.394,0.074,12.541,80000.0,7.0,DQ,True,39627965583065750,1.7949799731084064,7.384969772229131,WDJ000710.69+072305.89,2745751632894397440,False,False
39628053185300328,4458961482508644864,DAH:,DA massive,7.39,180.0,15.72,160.0,0.97,330.0,0.74,220,5.6,ok,39628053185300328,19.43,0.076,13.407,,,DQA,False,39628053185300328,246.9490364646026,11.07982161059826,WDJ162747.80+110447.87,4458961482508644736,False,True
39628329912896739,1262844492399103488,DB,non-DA,7.36,350.0,2.03,-100.0,2.77,400.0,8.63,-50,4.3,ok,39628329912896739,19.536,-0.001,11.374,,,DB,False,39628329912896739,225.6992974999772,22.88281654136524,WDJ150247.87+225258.13,1262844492399103360,False,True
