sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status,classification,teff,logg,g_mag,bp_rp,MG,is_control,vis_pos,vis_n
111175050,6546609810804160640,1,5.3,7.11,-40,7.2,-20,2.96,-120,0.74,-80,7.1,ok,DA,12740.8545,8.079189,19.643627,-0.13125600000000048,12.119480279117205,False,1,1
70055542,2488226252817987584,5,29.3,7.1,-200,4.45,-200,0.03,-200,4.84,260,1.7/-0.2/0.6/2.2/2.7,ok,DA/DAH,,,17.248276,0.23105800000000087,13.308508245412193,False,0,5
89993944,4528933302988697344,2,5.7,7.01,120,10.19,130,2.3,50,-0.42,350,8.1/7.7,ok,DA:,118172.83,9.478798,19.164122,-0.17546399999999807,12.886244517853669,False,2,2
55901419,599468518447403776,1,29.0,6.9,370,3.25,-20,1.64,390,1.04,400,6.9,ok,DA,11025.999,8.6,17.549644,0.05081399999999903,12.333939265227691,False,1,1
58048206,940186483037536384,1,6.2,6.9,-180,2.71,-200,3.17,-70,0.57,400,6.9,ok,DA,14656.0,7.790326,19.223751,-0.166758999999999,11.758406812290186,False,1,1
110741581,6482049958353650048,2,4.2,6.84,170,8.72,250,3.51,-200,1.63,400,4.6/6.0,ok,DA:,6933.792,9.49,19.88302,0.16033200000000036,12.984675916400626,False,2,2
89886467,4517699146012977024,2,3.4,6.74,-150,2.2,-200,1.67,-110,0.37,-200,1.0/2.0,ok,DA,11152.062,8.650844,19.55078,0.22493000000000052,12.103878793609498,False,0,2
101392740,5735413015415763840,1,5.9,6.72,-50,5.33,-40,0.21,-70,-0.13,-200,6.7,ok,DA,7562.7246,9.099999,19.499733,0.27957600000000227,13.733985381355497,False,1,1
114554634,6886051830805052288,2,12.9,6.68,30,14.53,60,6.49,-10,-1.05,400,8.6/7.2,ok,DC/DA,,,17.547987,-0.39500500000000116,11.186011907042985,True,2,2
68401571,2183996745533104384,2,3.9,6.67,70,4.74,20,7.32,90,-0.77,260,4.7/3.5,ok,DA,,,19.180573,-0.451630999999999,11.853099335895955,False,2,2
117296035,396072886087772544,3,4.6,6.59,80,1.67,80,2.89,-80,0.16,-100,1.6/0.2/2.0,ok,DA,17911.795,8.206881,19.003763,-0.18644000000000105,11.640184949078199,False,0,3
56598154,705729170445219456,1,10.8,6.54,100,7.55,140,2.79,-10,2.22,350,6.5,ok,DA,10408.682,8.603348,18.950455,0.15279699999999963,12.249502189674272,False,1,1
92886005,4814277151879519104,1,8.0,6.53,-20,0.3,-20,2.1,-10,-0.75,400,6.5,ok,DA,13684.753,8.716283,19.269794,-0.0020769999999998845,12.077011650799086,False,1,1
74570812,3096434647460161408,2,5.8,5.82,400,2.63,400,9.88,390,0.8,-200,2.1/4.1,ok,DA,11220.153,8.638307,19.041796,0.0804620000000007,12.080046879826966,False,1,2
68181954,2170138123020775040,1,4.2,5.79,340,0.43,390,15.17,300,1.08,190,5.8,ok,DA,22574.205,8.285605,18.652695,-0.2543450000000007,11.504807791250293,False,1,1
70269739,2530629365419780864,1,6.3,5.46,100,1.5,80,7.93,230,1.98,40,5.5,ok,DZ/DA,,,17.110924,0.1449220000000011,12.919626335679226,False,1,1
65193544,1971404870945994496,3,3.4,4.94,-170,8.91,-190,0.46,90,-0.02,-170,-0.0/-0.6/4.8,ok,DA,16903.762,7.9708548,19.678642,-0.19620899999999963,11.663905800287782,False,1,3
101619306,5764355941030501632,2,9.3,4.81,110,0.0,-200,9.58,50,3.17,-200,5.6/2.6,ok,DA,75642.7,8.359343,19.593512,-0.2484710000000021,11.802145055166292,False,1,2
101589834,5760850079485846272,4,4.0,4.56,-170,2.99,-190,12.4,-90,0.11,-120,-2.1/0.9/1.5/4.7,ok,DA,11087.625,8.617852,19.667467,0.1226719999999979,11.955646643250056,False,1,4
68451521,2189499393218393600,2,4.0,4.27,-200,8.01,-200,2.29,400,1.46,230,1.3/3.7,ok,DA,27388.55,9.004394,19.57288,-0.055531000000001995,10.574041823766482,False,1,2
63107508,1753663665540284672,1,9.1,4.27,400,2.06,-200,7.58,400,4.61,-10,4.3,ok,DA,13939.611,8.703834,18.401314,-0.07295799999999986,12.153716964717447,False,1,1
56469008,683937807760705920,4,6.1,3.75,-30,2.36,-80,7.88,120,2.66,220,-0.5/2.3/0.8/-0.5,ok,DA,6731.253,9.4,19.865385,0.5170209999999997,13.65415408734821,False,0,4
98150259,5453002491749107072,1,4.7,3.74,400,1.82,400,7.96,400,1.23,-200,3.7,ok,DA,10377.067,8.698835,19.765148,0.3348460000000024,12.514015563112387,False,1,1
58635786,1016484107445300864,12,9.7,3.73,40,13.75,20,1.62,90,0.37,400,6.6/5.4/1.4/3.5/0.1/1.5/5.1/5.1/3.3/0.4/1.4/3.4,ok,DA/DC,,,19.649078,-0.3067460000000004,12.609024463853954,False,7,12
117145622,377625722372395264,2,3.3,3.71,-180,8.11,-200,2.43,10,0.93,-160,1.2/4.7,ok,DA,11445.781,9.0941925,19.991898,0.15625200000000206,12.106648380216,False,1,2
89102244,4442443622402787328,1,4.4,3.58,-200,9.51,-200,0.14,-200,3.73,-200,3.6,ok,DA,,,19.397701,0.2893769999999982,13.404793474942842,False,1,1
80361997,3915154645001054976,25,15.1,3.53,400,8.02,-200,1.06,400,2.94,190,8.4/1.5/1.1/1.5/0.2/-0.6/-0.1/0.4/0.3/0.8/-1.2/0.3/2.6/1.4/-1.8/0.9/2.3/-0.5/1.0/-1.7/2.9/-1.9/1.5/-1.8/-1.0,ok,DA,19001.34,9.300001,18.81988,0.09466000000000108,12.728043139203862,False,1,25
61563038,1481364628764195072,5,29.3,3.15,-180,9.66,-190,0.28,-150,4.6,360,2.3/2.8/1.9/2.3/4.1,ok,DA,47203.77,9.49,17.72301,-0.24151800000000279,12.487678978611452,False,1,5
57658904,887121784137830656,2,4.4,2.99,400,1.3,20,10.28,400,3.23,400,2.3/-0.6,ok,DA,8185.6113,7.862166,19.802586,0.3312779999999975,13.395547375375282,False,0,2
111925112,6655078522671837184,2,4.0,2.95,-90,7.67,-70,1.2,400,-1.45,400,1.4/1.5,ok,DA,10846.131,8.704858,19.515354,0.03751399999999805,11.935262099410778,False,0,2
110946216,6509690963417589504,1,12.7,2.87,200,1.02,110,8.92,200,1.8,-200,2.9,ok,DA,,,17.137888,-0.029682000000001096,12.237617053001056,False,0,1
90224044,4552999688374519040,2,3.4,2.71,360,7.17,340,0.78,-200,-0.15,400,0.1/1.7,ok,DA,8876.033,8.824265,19.839039,0.22501299999999702,13.439275535841151,False,0,2
90294959,4561065568236904320,2,3.5,2.61,400,1.21,-60,11.45,380,3.3,-200,4.2/0.6,ok,DA,10460.634,8.492936,19.977392,0.03453999999999979,12.608701041863972,False,1,2
67114883,2076927780689663872,2,5.8,2.51,270,0.46,280,9.13,250,1.45,110,3.3/1.4,ok,DA,22351.947,8.209048,19.055239,-0.2417909999999992,11.447468864873105,False,1,2
76104361,3252896595200511232,2,11.6,2.49,-200,2.31,-110,7.12,370,0.12,-70,-0.0/2.4,ok,DA:,6285.9478,9.489987,19.16583,0.5887910000000005,12.620555396184153,False,0,2
63486790,1802824926361721344,1,10.1,2.13,400,0.49,360,7.06,400,0.26,-200,2.1,ok,DA,11759.798,8.818555,18.312706,0.10490799999999822,12.559628822064592,False,0,1
77332746,3402723917982876800,1,6.7,2.05,400,-1.14,400,7.31,400,-0.51,120,2.1,ok,DA,16117.2705,8.323187,19.078138,-0.07994899999999916,12.181590105387926,False,0,1
102026270,5802403583138785920,1,4.1,1.98,50,13.57,40,-0.45,400,2.37,-200,2.0,ok,DA,10891.139,9.339767,19.628988,0.07343900000000048,12.377517718053925,False,0,1
78924353,3644630563585323520,1,7.8,1.92,190,8.7,200,-0.81,60,1.9,-140,1.9,ok,DA,8714.822,8.143668,18.851246,0.17438399999999987,12.834211183041862,False,0,1
57641816,885450423384466560,2,3.2,1.73,80,0.16,-40,7.9,150,1.68,400,0.2/1.9,ok,DA,17278.363,8.876581,19.794252,-0.3425239999999974,12.661927274006299,False,0,2
62959804,1737045234480847488,1,4.9,1.56,270,7.28,240,-1.07,400,0.75,-200,1.6,ok,DA,,,18.96864,-0.18257699999999843,12.16417107775224,False,0,1
94886851,5177239099987476736,1,5.6,1.52,-200,0.31,320,11.79,-130,-0.16,250,1.5,ok,DA,8681.202,9.49,19.706556,0.22554600000000136,13.306594230565661,False,0,1
