sdss_id,gaia,nvis,snr_max,C,C_v,CI,CI_v,CII,CII_v,HeI,HeI_v,C_vis,status
67658794,2126363163506204160,2,3.8,1.45,400,1.31,400,-1.18,-40,1.20,-70,1.4/-0.5,ok
103372271,5871808772880571392,2,3.8,4.04,80,2.89,110,-0.25,400,-0.27,230,1.9/1.3,ok
80706251,3982534641696914688,1,7.6,16.10,180,35.78,180,2.66,290,1.31,310,16.1,ok
110650278,6472070550306779520,2,3.9,-0.92,-80,0.25,-40,-1.45,-140,2.12,-20,-4.1/0.5,ok
55476397,528290632495817856,4,3.7,0.96,400,2.18,140,-0.69,400,3.41,130,-3.2/-0.5/-1.3/2.2,ok
110690220,6475936300043528064,2,5.0,2.06,-200,5.46,-120,0.37,-200,2.80,-70,1.5/0.7,ok
110796391,6488793434965452544,2,3.5,9.17,400,1.79,400,4.62,400,3.56,400,2.1/9.2,ok
92222521,4720026980786028800,2,5.6,1.12,-200,1.36,400,1.28,-190,0.71,400,1.5/0.8,ok
59423977,1153584720572704640,7,11.4,1.48,20,2.06,-50,0.08,150,-0.23,10,0.9/-0.3/0.1/0.2/-1.1/1.3/0.6,ok
78671434,3599389650128379776,4,13.2,1.72,190,1.28,160,0.98,400,3.26,-90,0.2/1.0/0.6/3.8,ok
93510200,4916144297148911360,2,3.7,0.07,210,-1.34,280,2.36,120,2.67,260,-0.3/0.3,ok
102552113,5834244271709680640,2,3.8,-0.32,-200,-0.17,-200,-0.37,220,2.25,-200,-0.4/-0.6,ok
102068449,5805752416379615232,1,4.3,-3.01,200,-0.43,-200,-0.81,400,1.79,-30,-3.0,ok
110108560,6411486879791958784,2,14.9,1.45,400,0.47,-10,1.87,400,0.04,260,0.4/0.3,ok
92784095,4800529962291568128,1,6.1,0.74,-200,0.82,-170,0.89,-200,0.03,-200,0.7,ok
111933789,6655585741127153280,2,4.2,1.65,-200,1.56,-200,-1.32,280,2.03,250,2.3/0.8,ok
71250667,2715966790609126016,1,5.1,-0.13,80,0.19,20,6.78,380,-1.49,-200,-0.1,ok
76895912,3362149155777912960,1,9.4,0.32,60,0.96,20,-0.36,400,0.24,160,0.3,ok
65420821,1982996605409066496,2,3.3,-0.02,-50,1.07,-50,-1.71,-50,1.82,190,-0.2/0.2,ok
75695107,3194959444883175424,2,4.8,-0.92,290,-0.09,0,0.30,260,1.83,180,0.5/-1.9,ok
78891394,3639071467154860928,2,7.7,-1.02,100,0.13,110,-1.75,90,0.84,-160,-0.1/-1.2,ok
57658774,887107490487231232,2,11.8,-1.15,250,-0.82,-200,-0.41,260,1.74,400,-2.8/2.4,ok
68968364,2251512982886700416,1,7.2,0.84,400,0.09,400,1.44,400,1.30,-200,0.8,ok
64806456,1934141803389803776,2,4.0,-0.22,-100,-0.24,-90,0.29,-120,3.07,-200,-3.1/0.3,ok
75815959,3213223711706144000,2,6.8,1.78,400,2.44,390,0.95,400,3.12,340,0.8/0.5,ok
93580012,4927939784875345280,2,4.0,1.17,50,0.44,70,0.05,-10,0.65,-200,1.1/0.2,ok
92343511,4739817228013957248,2,4.9,-0.51,160,2.79,120,-0.43,-200,1.84,160,0.7/-0.7,ok
67213248,2084498403577750400,2,3.7,4.31,400,4.29,400,1.14,400,1.36,310,1.2/2.6,ok
91768704,4673774241752084608,2,4.7,-0.26,50,0.29,60,-0.12,20,2.43,320,0.5/-0.6,ok
92719290,4791906080280432128,3,3.6,2.13,230,1.77,260,2.02,170,1.01,270,3.1/0.1/0.0,ok
110612424,6468131618614808832,1,3.4,-0.37,400,-0.17,120,0.05,-200,2.17,40,-0.4,ok
67985034,2160856836130543104,4,5.8,0.23,400,-0.43,310,3.81,400,0.23,120,-0.6/1.4/-1.3/1.0,ok
75721261,3199398727376307456,4,6.4,0.89,400,0.72,-140,1.32,400,2.66,-20,1.9/-0.2/1.0/0.9,ok
77340524,3403497012095723648,1,3.7,-1.51,300,-0.75,-200,0.03,230,1.80,-150,-1.5,ok
116347333,259931386395445376,2,5.1,1.40,90,3.06,110,-0.46,50,12.17,-180,0.8/1.0,ok
79945958,3833679699511754752,7,9.9,0.01,400,0.26,230,0.27,400,2.04,100,3.0/-1.6/0.6/0.3/-0.9/0.8/-2.3,ok
88780355,4396708474172986368,4,4.7,-0.74,-70,0.42,290,-0.66,-40,0.57,-200,-0.6/-0.5/-1.5/-0.9,ok
57591337,880363807716177920,9,11.2,-1.03,-40,1.17,-160,0.34,180,2.97,20,-1.8/-0.9/0.5/-1.4/0.2/1.2/-1.1/-0.8/-1.9,ok
70807027,2638985892739999744,2,4.8,0.65,-200,1.51,-200,1.19,230,1.45,400,-1.9/1.7,ok
63925200,1830136039290828800,3,3.8,-1.12,360,-1.23,-200,1.26,400,0.23,90,-2.0/0.6/0.8,ok
57476457,868154727522390144,2,11.2,-0.05,-140,0.66,-190,0.41,-50,2.57,20,-0.3/1.1,ok
99351281,5572776416531113600,1,12.3,1.15,400,1.25,400,0.01,180,1.98,190,1.2,ok
80114296,3865567117264963584,1,3.9,1.02,-70,1.93,-40,-0.07,-200,0.49,150,1.0,ok
68122868,2166985513948924800,2,3.9,0.69,240,1.00,-160,2.18,220,-0.23,400,2.5/-1.5,ok
100031697,5616498088402248192,4,3.9,0.85,160,4.10,130,-0.03,270,1.94,-10,-2.0/1.9/-0.8/-0.8,ok
71307778,2726947166559201536,1,5.8,-0.35,150,-0.03,150,-0.28,160,0.96,400,-0.4,ok
90157364,4546375714933736192,1,5.2,0.97,-30,3.30,-50,1.00,390,0.70,-40,1.0,ok
117296035,396072886087772544,3,4.6,6.59,80,1.67,80,2.89,-80,0.16,-100,1.6/0.2/2.0,ok
87669407,4294837042544744576,1,10.2,0.24,400,-1.11,-190,1.40,370,0.27,-200,0.2,ok
112474020,6705778932270184704,2,3.5,-1.32,-200,0.02,220,0.02,-200,0.39,0,-1.2/-0.6,ok
64134020,1851766147419571456,1,3.6,1.37,-200,1.92,-200,-0.25,-200,2.34,-200,1.4,ok
116285388,254108819490952704,1,4.3,-1.75,-50,-0.42,400,0.83,40,0.32,-160,-1.8,ok
55608792,545954527313535488,3,5.9,3.45,130,1.24,120,0.37,240,2.50,-30,-0.6/-0.1/1.4,ok
61235938,1426634650780861184,1,5.0,1.32,-80,1.77,-50,1.02,400,3.19,-10,1.3,ok
110620936,6469006628008465664,2,11.2,0.89,400,1.15,400,1.24,290,2.05,290,0.7/0.1,ok
79882390,3821728905766062464,2,8.2,0.94,-130,0.27,-170,1.37,270,2.24,-200,-1.4/2.8,ok
110837372,6494159051709456896,2,16.0,-0.39,-200,0.30,-200,-0.20,400,1.36,-200,-0.7/-0.1,ok
76217649,3281468435640883072,3,3.4,0.30,-200,0.79,330,2.10,-170,2.72,40,-1.6/1.2/-0.2,ok
89483284,4482475638184552960,1,4.4,0.46,120,0.41,70,1.34,240,2.58,150,0.5,ok
87722651,4297851181856214144,1,3.9,1.41,360,-0.05,250,1.35,400,2.16,220,1.4,ok
58636792,1016617865610081152,13,25.7,-0.18,180,0.24,70,1.12,300,0.25,310,0.3/-1.0/-0.6/-0.1/-0.8/0.2/2.3/0.9/-0.5/-0.7/0.2/0.0/0.3,ok
57697241,890435437306106240,1,11.6,-0.27,400,-0.48,400,-1.78,400,0.86,-200,-0.3,ok
75817351,3213406574233228032,6,4.3,0.65,-110,2.26,-80,-0.39,-200,5.43,400,1.2/-0.2/-1.1/-1.7/1.3/2.4,ok
74277477,3069832891339043712,2,4.6,-0.27,290,0.17,280,-0.38,400,1.46,-70,-0.2/-0.4,ok
74297097,3071743052273962240,2,8.0,1.00,400,1.42,400,-0.60,400,2.60,290,0.3/1.6,ok
57623788,883936705109864320,1,6.0,-2.43,-200,-0.16,-200,0.94,180,3.24,-200,-2.4,ok
110031937,6402165215916247808,2,3.3,0.12,-200,-0.81,-200,1.09,-160,2.66,-200,0.8/-1.4,ok
63409311,1793456606258173056,2,5.3,-0.01,190,1.03,180,-0.19,400,-0.46,400,0.2/0.2,ok
78838755,3630648387747801088,2,19.7,1.45,-200,1.57,-200,1.67,-130,-0.61,-130,2.3/0.9,ok
