source_id,ra,dec,phot_g_mean_mag,pmra,pmdec
6049357910526024960,246.57475999179562,-24.106636946199945,20.328073501586914,-10.455986527819125,-6.47047013348899
6049357910525780352,246.57558590551494,-24.105319532421284,18.011585235595703,-8.750096306013939,-11.863941726834533
6049357841807018496,246.5826204130224,-24.112234333086384,20.587106704711914,-2.0052428606294033,-2.9719163124020724
6049357910526025344,246.57053937784084,-24.105640502707086,20.335670471191406,0.7714793472449901,-3.7933710054185505
6049357910525283968,246.57819330462314,-24.10350426421398,19.30967903137207,-7.965274990743396,-0.43741580901694715
6049357841807018624,246.58312850928425,-24.113784093420737,20.43500328063965,0.4297589020400542,-4.032752591929964
6049357876166756096,246.566838024097,-24.108418771537522,21.028507232666016,,
6049357811742191360,246.57702452081952,-24.119746089761712,18.064428329467773,-1.8856399765555212,3.7481621947130783
6049357876166042240,246.56638519909234,-24.10440370346066,18.652740478515625,1.6036452453403693,-9.88113517352163
6049357811742191104,246.57826065539695,-24.122054811609722,14.608820915222168,-4.431440750212659,-24.492483388289124
6049357910525284224,246.57324260515887,-24.09685622884372,20.127199172973633,1.3729292204373333,-4.648001711245607
6049358636375218432,246.56145310287317,-24.105175317694997,20.981569290161133,,
6049358632080999936,246.56049549129327,-24.10517279621305,20.320608139038086,-3.976982984174204,-3.0614896991072786
6049358636375247744,246.56327347128732,-24.09990765993572,20.964815139770508,,
6049357704368064512,246.5706632913078,-24.127887674545686,20.466272354125977,-3.242727447032953,-3.3232845242809494
6049358636375187712,246.5571040007245,-24.10274380718523,20.820518493652344,,
6049357704368064640,246.57315534404543,-24.130116178694752,20.803110122680664,-6.113187117088215,-9.955360091328679
6049357601288133504,246.58330733493634,-24.129418393038893,18.702463150024414,-0.7845142810963062,2.2083414444142155
6049357605583860096,246.59078228898883,-24.12699706042996,19.806804656982422,-4.625874015335727,-0.4046418970990252
6049358666440027520,246.56909962674624,-24.085774424844956,19.089649200439453,-3.6797804351043046,-2.4761181711864277
6049357773087540608,246.55500182112053,-24.126477596506476,20.26822280883789,-4.864443078615045,-15.736467805214152
6049363721617190912,246.60143950903208,-24.09724735010897,17.46991539001465,0.6144805451804548,8.788809332314917
6049358705094813696,246.5512808110418,-24.09466991507078,21.0907039642334,,
6049363511163849856,246.60863030937625,-24.110896611456784,20.44817543029785,-0.22946582290332884,-9.384690473444072
6049358739455857408,246.56190763023324,-24.08234102780285,20.37112808227539,-1.8907081472165443,-7.829662031614158
6049358705094664320,246.55052522587863,-24.087903761677623,21.16847801208496,,
6049358735159005568,246.5609670542344,-24.08036733424791,19.919815063476562,-2.2570667616385816,-4.8585749671487335
6049358705094985344,246.54465887783888,-24.09314705529373,21.234676361083984,,
6049358533297426304,246.54012800534693,-24.11606906347923,20.2440185546875,-0.8680717281090111,4.987444851112933
6049364580609924352,246.58611079951228,-24.077748855248423,21.19487953186035,,
6049364576315028224,246.5844273800442,-24.076117992316245,19.016454696655273,-7.59649662505279,-16.500573851572092
6049358700800525440,246.54031090220647,-24.097546443040784,21.047733306884766,,
6049357738727801600,246.5435577785375,-24.129445068742466,19.941781997680664,-3.525329270957786,-0.058561813052730366
6049358739454402560,246.55319292034454,-24.08084365550128,20.691801071166992,-0.22847855007297713,-5.85618005574857
6049358700800525312,246.53909437445108,-24.095404462294375,20.36880111694336,-3.246140566746141,-6.795576749531889
6049357429490158336,246.58737344790117,-24.146449030870667,18.144794464111328,-6.885563807968639,-28.443346894797056
6049357433785068672,246.58741164587153,-24.14786979824771,14.60283088684082,-7.579204456533338,-28.665835895721916
6049364610675525376,246.5670612381674,-24.0714964465872,20.37215232849121,-3.697012411717847,-3.8706170052317272
6049364610674768128,246.5727582296664,-24.070173637029786,18.75543212890625,-7.954787826180829,-4.925039228043726
6049363755976929664,246.60997005425125,-24.084793645020483,19.4791259765625,-7.545684966822003,-10.463591451431041
6049358597721260160,246.53230955642127,-24.10352852306426,20.386945724487305,-5.651143122183093,-0.8830902117532466
6049363755974960512,246.61701968040146,-24.092270345006586,20.089244842529297,-13.326269761794377,-4.952028545720287
6049358602016175744,246.53389813941266,-24.09390126248303,17.946199417114258,-6.016123140973121,-1.7854286878505303
6049363824696032128,246.59997485303086,-24.074373749659394,21.150529861450195,,
6049364580610074240,246.59262707909457,-24.070959441429526,20.87383270263672,,
6049358602015449856,246.52963324663827,-24.097716899108505,20.41742515563965,-10.21773047674117,-7.849354712288323
6049363923480759168,246.60614621713017,-24.074801871513266,20.849470138549805,,
6049364645034508160,246.5741276497539,-24.06515723176908,18.31325912475586,-4.918688488027464,-0.7032847991367549
6049357395128679168,246.57580257512834,-24.155211568520297,19.28061294555664,-0.3379234720619455,6.731790021019936
6049357360769468416,246.5385639012597,-24.140473070367637,20.367216110229492,-12.452427941706926,-6.311255276290791
6049364649330128768,246.57962950383947,-24.06346209392741,16.548480987548828,-2.97682903871794,1.8773544333563805
6049358563361521536,246.52400849123225,-24.109913428495076,20.816030502319336,,
6049357360769468160,246.5393811950253,-24.144780314604468,19.75520896911621,-0.2895443749606148,-8.717149379506344
6049364821126855808,246.56218610615477,-24.063237332321975,19.816625595092773,1.323207504634326,-5.113625354274893
6049363923478996608,246.6043950300102,-24.06898258106635,19.784414291381836,-3.892872997002315,0.1872006274267
6049358941317435904,246.54288709244358,-24.071984460049126,20.385242462158203,-2.6255454163464367,-1.7388371329196584
6049364645034006016,246.57241906927914,-24.061205249656254,20.039316177368164,-3.6697533169079666,-4.2836768714936335
