sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd
110078444,6407863572365899904,2026564359,333.6525,-60.34644,18.50442,4.077415,0.1445752,DA,0.9922012,0,0,0.005972742,11445.86,75.02161,8.141393,0.04121706,19.10607,lco25m,2,60237,60448
92989369,4829848057594355712,650910888,57.41069,-50.18649,19.49178,3.350023,0.2387044,DA,0.9239967,0.001830272,0.003372174,0.01718243,10733.65,74.11303,8.635713,0.09163058,10.56696,lco25m,1,60702,60702
75076275,3133418473405990912,759246877,100.276,6.44158,18.85077,3.235455,0.2094223,DA,0.8809962,0.01151737,0.01286475,0.02631938,10227.07,52.16782,8.753963,0.05917188,12.30948,apo25m,2,59884,60609
87797208,4303346708476813056,1909411180,298.9717,10.55583,17.67951,7.003933,0.1128179,DA,0.998174,0,0,0,10825.4,59.5408,8.007451,0.03102979,19.12797,apo25m,1,60230,60230
111324930,6571474888308097536,2027503417,331.147,-42.28017,19.00097,4.438198,0.2125885,DA,0.9860151,0,0.002,0.005986277,10328.2,56.20589,8.276173,0.03980713,15.84169,lco25m,1,60614,60614
80058570,3854300563349656704,842231810,144.4787,7.316144,19.16434,3.455605,0.3198766,DA,0.899694,0.001273737,0.000460396,0.005945484,13394.92,214.9343,8.237303,0.05709616,9.619943,apo25m,2,60612,60625
92185765,4713781415439319680,631428696,35.15115,-60.32912,17.48666,5.871031,0.08207536,DA,0.9923617,0,0,0.001986278,13500,105.4438,7.875575,0.0204615,31.03181,lco25m,2,60265,60267
100555870,5670034409055986432,875769958,149.1341,-21.91632,18.60829,4.334268,0.1944862,DA,0.9504518,0,0.001798249,0.005972742,11178.91,65.82863,8.373397,0.03104058,24.23448,lco25m,1,60699,60699
94235037,5047506348636835328,651265810,46.04206,-36.38366,18.40097,5.703477,0.1214563,DA,0.9288259,0.004,0,0.02589097,13433.03,156.0444,8.43309,0.03038558,18.15059,lco25m,1,60615,60615
67136016,2078602302548520960,1881157357,298.7281,43.46202,19.33504,2.969211,0.2192098,DA,0.906036,0.0004467473,0,0.02759668,13385.9,269.5745,8.257584,0.06940725,8.274903,apo25m,2,60548,60551
65964950,2018079070813551616,1851638470,293.0458,21.27496,17.97021,4.545558,0.1004764,DA,0.988,0,0,0,11391.9,48.51806,8.354503,0.01912439,38.66745,apo25m,3,59307,59309
89891878,4518106313205494400,1810394304,285.6233,19.74742,18.25196,5.889973,0.1349087,DA,0.9245298,3.699593E-06,0,0.009918226,13499.99,179.494,8.305662,0.003161574,13.36622,apo25m,2,60462,60463
56478534,685344873406428160,801219214,136.5063,22.04976,18.25313,5.728551,0.1967089,DA,0.9843008,0,0,0.002,11877.88,84.51252,8.331116,0.04493332,16.92937,apo25m,1,60650,60650
71370391,2738588314637577088,2053147478,359.547,1.513172,19.87066,2.819555,0.4759505,DA,0.8243499,0.002883605,0.0007851563,0.04679799,11283.01,132.2388,8.30498,0.04907744,9.596776,apo25m,2,59189,59190
79032415,3662700556150949376,1002549794,204.6325,-0.3912143,17.1519,8.020199,0.1146428,DA,0.9786674,0,0.0009484766,0.003945484,12647.35,112.2274,7.923851,0.03665711,23.55167,apo25m,1,59734,59734
70770363,2630637923720602112,4600989,348.6798,-7.571716,15.49364,13.29742,0.06752418,DA,0.9684397,0,0,0.018,11375.63,75.97307,8.318495,0.0234498,12.44638,apo25m,1,60676,60676
62786042,1706870203008490368,1102633889,233.7672,75.54804,17.76261,7.193656,0.09343906,DA,1,0,0,0,10806.16,46.66141,8.333314,0.02997014,27.59381,apo25m,4,59680,59712
67940868,2155275478884469760,1717859365,284.1595,58.57178,19.95941,2.129178,0.3962705,DA,0.9448773,3.065693E-05,0,0.02568203,10848.1,106.5821,8.307762,0.04831694,9.573248,apo25m,3,59367,59386
92993530,4830566932040557952,685861600,61.3646,-49.03838,19.76641,1.928491,0.3082332,DA,0.9014671,0.0004467473,0,0.05786371,12471.16,170.1279,7.9167,0.08391069,9.542049,lco25m,1,60698,60698
89132051,4446073316444964864,1308074823,252.0906,9.932815,17.29229,7.393449,0.09228171,DA,0.8456705,0.006752202,0.005876128,0.009181962,13193,171.9125,7.856217,0.03765884,19.76998,apo25m,1,60061,60061
100489305,5659128142766361984,875409654,148.0393,-26.12767,19.02904,3.008919,0.217465,DA,0.9240307,0.001830272,0.001958137,0.005335228,12833.52,148.4085,8.06178,0.04277499,13.71035,lco25m,1,60671,60671
98216988,5462418881129000320,874339411,154.8342,-29.07871,19.1839,4.419791,0.3165168,DA,0.9414085,0,0.001958137,0.002,10142.93,51.92835,8.429088,0.117955,12.07862,lco25m,2,60671,60673
85976861,4182743786288993280,1885921222,293.6546,-15.32695,18.09159,6.678468,0.1579023,DA,0.9908,0,0,0,10939.76,169.8201,8.500001,0.1249842,17.22295,lco25m,2,60502,60503
67826206,2142212554899458048,1883703548,294.4624,57.4364,18.80219,3.728374,0.1416209,DA,0.8794455,0.007764222,0.003372174,0.02997274,12774.44,188.9277,7.973324,0.06260196,9.376757,apo25m,1,60089,60089
90126821,4542535709233029376,1506234726,262.3882,13.82336,19.05239,3.89303,0.2301101,DA,0.8404468,0.003665624,0.005282034,0.03189097,11776.08,176.8932,8.355662,0.06721387,8.423448,apo25m,1,60118,60118
93779443,4963420479644141184,631980651,33.72768,-39.64954,17.12889,9.716722,0.06081055,DA,0.996174,0,0,0.002,11560.16,37.25104,8.344271,0.0130069,38.71128,lco25m,1,60620,60620
70339491,2543175171049800832,610831909,9.556701,-0.02516877,19.00459,3.503906,0.2849002,DA,0.9687232,0,0,0.001972742,13433.04,75.59439,7.939601,0.0125309,37.73171,apo25m,9,59167,60636
59566616,1176249121259067904,1000037774,218.6536,9.638138,19.62323,3.55232,0.3777074,DA,0.8935114,0,0,0.00395902,11478.38,57.14054,8.204447,0.02858723,24.2024,apo25m,11,59248,59324
63006599,1742674257274710656,2000148882,323.039,10.85021,18.72377,4.839921,0.2035628,DA,0.7648005,0.01490504,0.01387441,0.02515661,10284.77,96.83635,8.513694,0.06130856,8.365339,apo25m,1,60229,60229
71159680,2698791388191038336,2025128310,322.2115,3.801141,18.47076,4.943748,0.1515014,DA,0.9392903,0,0,0.007612572,10759.56,64.70559,8.539182,0.05676942,11.60813,apo25m,1,59874,59874
93269193,4877001099083895552,686155963,76.54084,-28.87918,19.07764,2.939276,0.2004932,DA,0.9113477,0,0,0.005705711,10750.75,58.58039,8.149268,0.05065987,19.96132,lco25m,2,60619,60697
61259590,1430108592127837184,1201140631,248.6884,55.63485,19.22008,3.459054,0.1859441,DA,0.8118784,0.02177354,0.01793915,0.02383718,12157.03,200.1336,8.272518,0.06448061,8.328163,apo25m,1,60088,60088
95147201,5217232495418367360,804983600,130.9337,-73.86597,17.8052,6.224449,0.08167563,DA,0.9743429,0,0,0.01189097,10899.44,63.48602,7.76234,0.04471652,26.13534,lco25m,3,60013,60698
