sdss_id,gaia_dr3_source_id,tic_v8_id,ra,dec,g_mag,plx,e_plx,classification,p_da,p_db,p_dba,p_dah,teff,e_teff,logg,e_logg,snr,telescope,n_visits,min_mjd,max_mjd,TeffHe,loggHe
93078191,4845228683374839168,685959156,60.52301,-37.87508,19.19523,2.364428,0.2200197,DB,0.00861597,0.7977111,0.1198908,0,-9999,-9999,-9999,-9999,14.01913,lco25m,1,60641,60641,20911.84,8.28982
105141271,5949224497555177088,1520495616,264.4828,-45.63469,18.17238,2.660537,0.1430448,DB,0.006979298,0.5347029,0.05372737,0.004,-9999,-9999,-9999,-9999,12.33538,lco25m,1,60140,60140,27336.04,7.834428
109980235,6395087075452881408,2055022168,342.6105,-60.85209,19.27205,2.426081,0.2502165,DB,0.04028536,0.5767135,0.1928987,0.00154557,-9999,-9999,-9999,-9999,9.898301,lco25m,2,60478,60491,19667.71,8.297607
93121140,4852402786291466368,651065353,47.43684,-40.24482,19.26603,1.819384,0.2054119,DB,0.04380884,0.6221935,0.03095238,0.003740645,-9999,-9999,-9999,-9999,10.18858,lco25m,1,60635,60635,35385.12,8.395341
56413171,676214047813402496,801057092,125.0207,21.52657,19.35281,2.067296,0.2938686,DB,0.002703636,0.9109052,0.03856695,0.00154557,-9999,-9999,-9999,-9999,16.7559,apo25m,1,59232,59232,32740.76,8.512432
67611841,2120958617175049088,1550973746,278.3031,49.5918,18.61001,3.432,0.1230629,DB,0.03242908,0.5413954,0.01157933,0.004,-9999,-9999,-9999,-9999,9.04387,apo25m,2,60433,60434,22099.34,8.458572
70160926,2508550832631950592,630314437,25.84848,-1.833,16.7379,5.628611,0.08533232,DB,0.008658535,0.8732836,0.0202669,0,-9999,-9999,-9999,-9999,59.97548,apo25m,3,60240,60617,24001.44,8.005871
89011647,4432239364223879424,1204027604,249.0142,2.209595,18.15602,2.832527,0.153753,DB:,0.1219375,0.442386,0.1503083,0.02443421,-9999,-9999,-9999,-9999,11.64755,apo25m,1,59674,59674,31084.37,8.125609
79171532,3685697597760268416,953135014,197.2962,-1.663102,18.31059,3.249189,0.1651268,DB/DBA,0.03022547,0.4460298,0.2957983,0,-9999,-9999,-9999,-9999,10.79427,apo25m,1,60374,60374,21494.23,8.185737
62490076,1651853321214689280,1401056304,260.6183,72.17619,17.98588,2.729992,0.08724163,DB,0.008259119,0.8701419,0.04590158,0,-9999,-9999,-9999,-9999,17.49441,apo25m,2,59709,60416,28682.74,7.899976
101604890,5762506218874821376,837182941,135.9188,-3.942116,18.59316,2.264965,0.1907043,DB:,0.04501366,0.4502739,0.1838672,0.001740645,-9999,-9999,-9999,-9999,11.81923,lco25m,2,60323,60325,20468.41,7.78831
71352280,2735379767909608704,2025665435,334.5609,14.64773,18.33705,3.023716,0.1797131,DB,0.01062792,0.6616206,0.2132941,0,-9999,-9999,-9999,-9999,11.00056,apo25m,1,60255,60255,25327.54,8.144814
75966230,3232819512877402112,672413814,70.87231,2.2851,17.90036,3.510327,0.1322491,DB,0.01035868,0.6744661,0.026921,0,-9999,-9999,-9999,-9999,18.69668,apo25m,2,60233,60234,25666.64,8.037142
70162505,2508860340859881728,630316837,24.31238,-1.334448,19.54265,1.964586,0.3838478,DB,0.007029177,0.76157,0.03972614,0,-9999,-9999,-9999,-9999,18.37389,apo25m,12,59166,60675,32641.4,8.540672
