angDist,source_id,ra,dec,OID,RAJ2000,DEJ2000,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,Epoch,u_Epoch,l_Period,Period,u_Period,Sp,n_OID
0.052507,989059981050056320,110.44476448981568,56.73565562426433,3409382,110.44476,56.73567,Gaia DR3 989059981050056320,0,VAR,,18.73,,G,,,18.9,,G,,,,0.1154502,,,
0.573335,1020641700210987520,147.85829444381022,53.15853305122355,379306,147.85851,53.15844,CSS_J095126.0+530930,0,RS,,15.32,,CV,Y,,0.19,,CV,,,,3.45372,,DA,B
0.39004,2317319612801004416,8.707865970293282,-31.497955799197538,2599661,8.70774,-31.49797,Gaia DR3 2317319612801004416,0,VAR,,15.96,,G,,,16.18,,G,,,,0.0965312,,O,
0.278668,383672490865801600,3.25657658878747,41.34418722972555,2214316,3.25667,41.34422,BMAM-V799,0,CV,,17.7,,g,,,21.2,,g,,,,,,,
0.096932,2308881994928802432,4.8241257018022035,-35.62363370832589,10847187,4.82411,-35.62361,Gaia DR3 2308881994928802432,0,CV,,18.99,,G,,,20.83,,G,,,,,,,
0.750299,6589283094028544384,322.90581768812217,-36.39568445660867,9983986,322.90561,-36.39556,Gaia DR3 6589283094028544384,0,VAR,,18.65,,G,,,18.99,,G,,,,0.0585423,,,
0.089911,380560941677424768,8.46929916190896,38.924891001069625,844707,8.46932,38.92491,MGAB-V289,0,EA/WD,,18.7,,r,,<,21.5,,r,2458353.097,,,0.20269362,,,
0.034234,235184643828418688,52.26096866908649,39.06134639151295,1540449,52.26098,39.06135,MGAB-V1219,0,R,,18.38,,g,,,18.6,,g,2458367.212,,,0.16828,,,
0.070796,2144580907240525568,281.27627123950754,50.903335600998766,1776280,281.27625,50.90335,ZTF J184506.30+505412.0,0,EW,,18.089,,r,Y,,0.207,,r,2458280.847,,,0.4794196,,,
0.365097,2126940892444693760,289.8794706253748,44.54545952854466,297528,289.87949,44.54556,KIC 8490027,0,CV,,16.7,,V,,,,,,,,,,,,B
0.631246,2177297391130977792,317.16885618823164,55.750555166699506,1540468,317.16888,55.75073,MGAB-V1238,0,R,,18.75,,g,,,19.02,,g,2458368.025,,,0.1160261,,,
