###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57397.283681  19.526  0.333    56   19 c  0   0.85  49.86842 -31.67024  6493.23  7240.62 3.95 3.70  87.6 -0.404 19.51 21.53 02a57397o0150c
57397.296392 -20.514  0.644   -23   15 c  0   1.32  49.86842 -31.67024  5635.57  6079.08 3.86 3.64 -87.3 -0.403 19.52 21.52 02a57397o0169c
57404.285468  19.394  0.444    63   28 o  0   1.31  49.86842 -31.67024  6238.61  6700.19 3.64 3.26  87.5 -0.487 18.72 19.99 02a57404o0161o
57404.301226 -23.168 13.400    -2   26 o  0   1.50  49.86842 -31.67024  6537.71  7281.07 3.66 3.27  86.5 -0.481 18.68 19.94 02a57404o0187o
57404.317557  19.736  0.609    46   28 o  0   1.20  49.86842 -31.67024  5653.98  6119.74 3.62 3.29 -86.7 -0.497 18.66 19.89 02a57404o0214o
57404.333901 -19.318  0.448   -68   30 o  0   1.38  49.86842 -31.67024  5352.87  7861.41 3.61 3.33 -87.3 -0.469 18.61 19.81 02a57404o0241o
57405.279724  20.007  0.920    36   33 o  0   1.15  49.86842 -31.67024  6236.45  6697.37 3.67 3.30  83.6 -0.483 18.61 19.76 02a57405o0152o
57405.296131 -21.976  5.600    -6   33 o  0   1.24  49.86842 -31.67024  6535.69  7278.49 3.62 3.24  85.1 -0.486 18.57 19.69 02a57405o0179o
57405.333910  21.396  3.375    10   34 o  0   1.28  49.86842 -31.67024  5352.09  7858.03 3.74 3.42 -86.4 -0.467 18.43 19.53 02a57405o0215o
57406.289196 -20.829  3.871   -17   66 o  0   1.17  49.86842 -31.67024  6248.61  7862.96 4.06 3.89  82.8 -0.426 18.15 19.27 02a57406o0031o
57406.300735 -21.036  2.484   -14   35 o  0   1.28  49.86842 -31.67024  6533.75  6119.82 3.89 3.58  83.1 -0.466 18.40 19.50 02a57406o0050o
57407.257263 -19.958  1.042   -38   39 o  0   1.05  49.86842 -31.67024  5649.11  7277.56 3.69 3.23  89.1 -0.429 18.42 19.39 02a57407o0116o
57407.272576  20.900  2.590    16   41 o  0   1.17  49.86842 -31.67024  5357.55  6700.35 3.69 3.26 -85.5 -0.467 18.43 19.40 02a57407o0141o
57407.287855  19.706  0.927    48   44 o  0   0.88  49.86842 -31.67024  6243.58  7865.39 3.62 3.24  88.8 -0.489 18.42 19.39 02a57407o0166o
57407.299469 -19.391  0.618   -64   39 o  0   1.04  49.86842 -31.67024  6531.38  6121.06 3.60 3.18  88.9 -0.505 18.43 19.37 02a57407o0185o
57410.249947  18.579  0.465   134   62 o  0   0.70  49.86842 -31.67024  5650.79  7281.84 3.89 3.61 -86.5 -0.473 18.16 19.04 02a57410o0104o
57410.265237  20.611  2.674    21   55 o  0   1.16  49.86842 -31.67024  5360.42  6703.17 4.04 3.79 -86.4 -0.459 18.12 19.03 02a57410o0129o
57410.280519 -19.371  0.731   -65   47 o  0   1.55  49.86842 -31.67024  6248.38  7868.15 3.74 3.44  87.1 -0.466 18.18 18.99 02a57410o0154o
57410.295819  20.089  1.353    33   45 o  0   1.30  49.86842 -31.67024  6535.92  6124.69 3.67 3.34  89.9 -0.475 18.19 18.98 02a57410o0179o
57411.247110 -19.625  1.283   -51   66 o  0   1.31  49.86842 -31.67024  5645.70  7282.22 3.71 3.13  86.0 -0.486 18.07 18.78 02a57411o0099o
57411.261307 -19.913  1.685   -39   66 o  0   1.23  49.86842 -31.67024  5352.65  6701.21 3.69 3.21  87.3 -0.481 18.05 18.78 02a57411o0122o
