angDist,source_id,ra,dec,main_id,ra.1,dec.1,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z,f150w,f200w,f444w
2.338425,6613841171565998848,333.71976165384933,-31.726229139683273,GALEX J221452.6-314334,333.719012128,-31.7261046675,0.0,0.0,90,WD*,10,22 14 52.56291,-31 43 33.9768,A,2020yCat.1350....0G,WhiteDwarf,*|PM*|UV|V*|WD*|WD?,,,,,DA,,18.5397,0.0693,143.443,-28.006,0.071,0.06,90.0,,,,,,,,,,,,,,,,,
0.319377,381273150333675136,10.637857638221837,41.488461380549566,[HIB95]  61-3,10.637741,41.488446,,,172,UV,1,  00 42 33.058,  +41 29 18.41,D,1992A&AS...96..379M,UV,*|UV,,,,,,,,,,,,,,,,,17.94,18.18,18.21,,,,,,,,,,,
1.198235,381273150333675136,10.637857638221837,41.488461380549566,BA 1-523,10.6381666667,41.4882222222,,,172,EmO,2,   00 42 33.16,   +41 29 17.6,D,,EmObj,EmO|HII,,,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,
4.975768,381273150333675136,10.637857638221837,41.488461380549566,[AMB2011] HII 1683,10.6395833333,41.4879722222,,,172,HII,2,   00 42 33.50,   +41 29 16.7,C,2006MNRAS.369..120M,HIIReg,EmO|HII,-254.2,,-0.0008476,,,,,,,,,,,0.045494,0.026002,90.0,,22.52,,,,,,,,,,,,
1.597621,2883364038621038208,90.93209104712824,-38.153109642531845,GALEX J060343.7-380911,90.9320623379,-38.1535528516,0.0,0.0,90,WD*,6,06 03 43.69496,-38 09 12.7903,A,2020yCat.1350....0G,WhiteDwarf,*|PM*|UV|WD*|WD?,,,,,DA,,9.8918,0.1021,5.08,99.722,0.111,0.131,90.0,,,,,,,,,,,,,,,,,
0.236538,1085903148454238208,112.839235964871,59.960250759510906,HS 0727+6003,112.8391184971,59.9602800714,0.0,0.0,90,WD*,19,07 31 21.38844,+59 57 37.0083,A,2020yCat.1350....0G,WhiteDwarf,*|EB*|Em*|NIR|Opt|UV|V*|WD*|WD?,-31.13,19.54,-0.0001038,6.52e-05,DO,,2.3557,0.061,13.231,-6.595,0.049,0.046,90.0,,,,15.8,16.15,,16.88,,,,,,,,,,
0.262372,1672645949384629248,207.73443604248664,67.6437206102955,GALEX J135056.2+673836,207.7346254903,67.6437315243,0.0,0.0,90,EB*,6,13 50 56.31012,+67 38 37.4335,A,2020yCat.1350....0G,EclBin,*|EB*|UV|V*|WD?,,,,,,,3.0102,0.1627,-16.213,-2.456,0.185,0.193,90.0,,,,,,,,,,,18.767,19.152,,,,,
0.030416,6828182472250027776,322.63783826823266,-22.30079880492373,EC 21277-2231,322.6378464965,-22.3008024694,0.0,0.0,90,WD*,5,21 30 33.08316,-22 18 02.8889,A,2020yCat.1350....0G,WhiteDwarf,*|UV|WD*|WD?,,,,,DA,,1.7898,0.0657,-1.713,0.825,0.085,0.105,90.0,,,,16.17,16.37,,,,,,,,,,,,
0.404334,1931610757683854720,346.4080516061257,43.0460900336764,Gaia DR3 1931610757683854720,346.4081902128,43.0461385529,0.0,0.0,90,WD*,6,23 05 37.96565,+43 02 46.0988,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DB,,3.5956,0.1598,-22.791,-10.917,0.113,0.137,90.0,,,,,,,,,,,,,,,,,
0.60193,437628614520520320,43.76358322937507,47.97594157753235,Gaia DR3 437628614520520320,43.7635092993,47.9761012876,0.0,0.0,90,WD*,6,02 55 03.24223,+47 58 33.9646,A,2020yCat.1350....0G,WhiteDwarf,*|WD*|WD?,,,,,DA,,10.3785,0.1457,11.136,-35.935,0.172,0.186,90.0,,,,,,,,,,,,,,,,,
0.157181,2121629147470776704,274.60150550820737,46.955930149108795,GALEX J181824.3+465721,274.6014567893,46.9559584425,0.0,0.0,90,WD*,6,18 18 24.34963,+46 57 21.4504,A,2020yCat.1350....0G,WhiteDwarf,*|UV|V*|WD*|WD?,,,,,DA,,1.5622,0.0664,7.482,-6.366,0.093,0.084,90.0,,,,,,,,,,,,,,,,,
0.55281,2191618770599895296,321.91133242847366,59.63225600038463,ZTF J212738.71+593756.2,321.9111259586,59.6321433733,0.0,0.0,90,WD*,5,21 27 38.67023,+59 37 55.7161,A,2020yCat.1350....0G,WhiteDwarf,*|dS*|WD*|WD?,,,,,DA,,4.1459,0.0555,23.486,25.341,0.066,0.051,90.0,,,,,,,,,,,16.804,17.104,,,,,
0.132426,1867851869401000960,318.98997359086417,36.71539419936267,Gaia DR3 1867851869401000960,318.9899280019,36.7153900029,0.0,0.0,90,WD*,5,21 15 57.58272,+36 42 55.4040,A,2020yCat.1350....0G,WhiteDwarf,*|V*|WD*|WD?,,,,,DA:,,1.2933,0.0985,8.223,0.944,0.086,0.115,90.0,,,,,,,,,,,,,,,,,
2.292777,551153263105246208,63.19263313053734,75.82852211400888,UCAC4 830-006897,63.1951909308,75.8284060372,0.0,0.0,90,WD*,23,04 12 46.84582,+75 49 42.2617,A,2020yCat.1350....0G,WhiteDwarf,*|NIR|PM*|V*|WD*|WD?,,,,,DAe,,28.5347,0.0318,-140.899,26.114,0.027,0.032,90.0,,,,15.9,15.73,15.56,15.544,15.412,15.519,,15.8,15.76,,,,,
0.626423,2206722349507123456,336.41289189187154,65.84184975145004,ZTF J222539.10+655030.7,336.4124877386,65.841795713,0.0,0.0,90,WD*,7,22 25 38.99706,+65 50 30.4646,A,2020yCat.1350....0G,WhiteDwarf,*|dS*|WD*|WD?,,,,,DA,,3.8428,0.0487,37.216,12.159,0.06,0.054,90.0,,,,,,,,,,,16.75,17.151,,,,,
0.337725,5148800025576590464,29.68234017241827,-15.040593288057163,SDSS J015843.74-150226.0,29.6822458999,-15.040570661,0.0,0.0,90,WD*,6,01 58 43.73902,-15 02 26.0544,A,2020yCat.1350....0G,WhiteDwarf,*|blu|Opt|V*|WD*|WD?,,,,,DA,,1.3263,0.1173,20.485,-5.091,0.122,0.098,90.0,,,,,,,,,,17.28,17.58,18.0,18.32,18.55,,,
