source_id,period,eccentricity,semi_amplitude_primary,semi_amplitude_primary_error,significance,inclination,ra,dec,phot_g_mean_mag,parallax,parallax_error,ruwe,astrometric_excess_noise,mass_flame,m2_marg_med_mjup,m2_marg_1sig_lo_mjup,m2_marg_1sig_hi_mjup,ra_right,dec_right,pmra,pmra_error,pmdec,pmdec_error,parallax_right,phot_g_mean_mag_right,ruwe_right,astrometric_excess_noise_right,hip_via_xmatch,tyc_pmRA,tyc_pmDE,tyc_e_pmRA,tyc_e_pmDE,tycho_gaia_chi2,in_sb9,in_exoplanet_eu,epx_match,in_sahlmann,tycho_tier
3187433841842486016,13.108144518856612,0.034177770415904196,2.3193786099619067,0.14314382,16.203135,,72.00190374080803,-8.121211170495549,9.332138,7.20705117069818,0.016889922,1.0703964,0.08738454,1.0660456,32.845670397032066,28.853704838642148,53.916395944408286,72.00190374080803,-8.121211170495549,28.761393321499817,0.017606823,24.649748973734045,0.012666684,7.20705117069818,9.332138,1.0703964,0.08738454,,26.600000381469727,22.0,1.2000000476837158,1.2999999523162842,7.397625818141508,false,false,,false,CORROBORATED_real_companion
5542738205536698240,18.666362799285256,0.42196338762451174,5.947872084720208,0.9852699,6.0367947,,127.674496491719,-35.153405402919866,12.234061,3.854914992200546,0.010522603,0.9382657,0.048116345,0.8892415,78.61907540172083,69.11874109817981,128.90223384818907,127.674496491719,-35.153405402919866,-15.469373526030243,0.009359139,4.586061157666985,0.010700103,3.854914992200546,12.234061,0.9382657,0.048116345,,,,,,,false,false,,false,
578447574110525824,131.17492606343558,0.7901483262507625,1.7880535954297694,0.1424429,12.552774,,134.43403879028793,3.330016156195744,9.528361,3.5058084580491795,0.04805658,2.8620358,0.36179563,1.1713139,35.454533908117206,31.403596780516285,55.398046410588066,134.43403879028793,3.330016156195744,39.85220483195913,0.05233603,-12.655425312086242,0.03535507,3.5058084580491795,9.528361,2.8620358,0.36179563,,41.599998474121094,-12.800000190734863,1.2999999523162842,1.2000000476837158,1.8191415648693858,false,false,,false,isolated_no_outer_body
1836691877361891456,530.902819430819,0.2664241302461847,1.2947690123625455,0.15656771,8.269707,,301.91673138256436,27.47522639283618,10.696157,3.2197214905359943,0.025745189,1.9933066,0.24560355,1.2212546,68.17527466730603,59.33395459457552,112.34644735011052,301.91673138256436,27.47522639283618,-6.031968429244277,0.020671986,-15.47856231035104,0.02535952,3.2197214905359943,10.696157,1.9933066,0.24560355,,-6.900000095367432,-13.399999618530273,2.299999952316284,2.200000047683716,1.0349538094937787,false,false,,false,isolated_no_outer_body
4300625112272538240,10.081511619545429,0.4019319296663111,5.153014546968602,0.7100866,7.2568817,,301.701067236617,10.988947285377776,11.244164,2.375991460477975,0.043413147,2.424011,0.3547019,1.3287038,72.83100207378737,63.16322944136774,119.4629480395992,301.701067236617,10.988947285377776,-0.8688526842371824,0.040599428,-1.098343128410888,0.029100806,2.375991460477975,11.244164,2.424011,0.3547019,,0.6000000238418579,-4.099999904632568,2.0,1.899999976158142,3.0344038030139306,false,false,,false,isolated_no_outer_body
407789763026479360,63.70256123803897,0.2728476265730889,0.8219930633571135,0.08894308,9.241788,,27.73328739448575,52.60764840966744,8.305777,2.7977294149747842,0.037342485,1.8542545,0.2596012,3.001403,37.72866643016057,33.01608920877695,62.030087504358306,27.73328739448575,52.60764840966744,16.618712952065138,0.0393087,-6.809626681092354,0.03325238,2.7977294149747842,8.305777,1.8542545,0.2596012,,18.399999618530273,-10.0,1.2000000476837158,1.2999999523162842,8.219930664470699,false,false,,false,CORROBORATED_real_companion
960158802517341056,22.654736470948354,0.17857980541039933,2.9962659608678366,0.4715288,6.354365,,94.0648129661187,41.81999755648289,11.316517,3.708028934945477,0.02129564,1.1218774,0.1654768,0.9544016,47.212734116913715,41.52768261019948,75.08600446727276,94.0648129661187,41.81999755648289,9.012458478977917,0.020930417,-12.665381075345394,0.016650574,3.708028934945477,11.316517,1.1218774,0.1654768,,5.599999904632568,-14.199999809265137,2.700000047683716,2.5,1.9740723290419657,false,false,,false,isolated_no_outer_body
1102298035055534080,838.7128251677756,0.37777655232578633,1.1249876977083777,0.1145735,9.818916,,105.88075964459412,65.5600155181919,9.757098,2.0386008538970546,0.044781677,3.3393364,0.3757259,1.2807163,67.08928328003124,59.53712676627655,110.1083463551638,105.88075964459412,65.5600155181919,-13.361226986529413,0.03684621,-54.195321819403055,0.045291148,2.0386008538970546,9.757098,3.3393364,0.3757259,,-15.800000190734863,-52.79999923706055,1.2999999523162842,1.2999999523162842,4.667104164611274,false,false,,false,isolated_no_outer_body
5823873918488605056,24.901901894622466,0.13494567615229527,3.958858189317587,0.48533434,8.156971,,235.30459660035825,-66.7316106217293,11.777767,2.0407025926827527,0.020071095,1.3765147,0.16942887,,67.56011067423384,59.140554966185405,109.73989734428508,235.30459660035825,-66.7316106217293,-0.28021140560255103,0.0117711015,-1.3303988035062093,0.01908683,2.0407025926827527,11.777767,1.3765147,0.16942887,,-11.800000190734863,-1.399999976158142,3.700000047683716,3.5,9.693908015282833,false,false,,false,CORROBORATED_real_companion
587017064658127360,15.754659235775806,0.128234476484518,1.9392088894993875,0.11136756,17.41269,,139.28243525929838,7.274876455200555,8.139036,11.62260821744837,0.02573325,0.9994079,0.13874139,1.2271475,31.710051626969573,27.891220104598144,50.65342104923221,139.28243525929838,7.274876455200555,-9.141609068325879,0.027605588,-70.06726335549045,0.02235673,11.62260821744837,8.139036,0.9994079,0.13874139,,-9.399999618530273,-70.0,1.600000023841858,1.7000000476837158,0.02763783156222642,false,false,,false,isolated_no_outer_body
5411005137600738432,63.285035604362385,0.2234127702975563,0.6562520171787025,0.09427536,6.961013,,143.87528639291176,-46.111865465028295,7.814795,2.248165309132182,0.022279996,1.2813419,0.19775003,3.600512,34.055097268853764,29.96317902750431,53.584331812409104,143.87528639291176,-46.111865465028295,-14.348122276791504,0.023183484,11.54175171323557,0.023258999,2.248165309132182,7.814795,1.2813419,0.19775003,47065,-14.5,9.899999618530273,0.8999999761581421,1.0,2.7223512971717905,false,false,,false,isolated_no_outer_body
