source_id,period,eccentricity,semi_amplitude_primary,semi_amplitude_primary_error,significance,inclination,ra,dec,phot_g_mean_mag,parallax,parallax_error,ruwe,astrometric_excess_noise,mass_flame,m2_marg_med_mjup,m2_marg_1sig_lo_mjup,m2_marg_1sig_hi_mjup
1849793421699239424,850.0630929005665,0.7950763754362207,1.7130696291922334,0.29473597,5.8122177,,324.59340937215967,30.600900523680092,9.025394,8.290301827899544,0.0741787,4.5220594,0.6456257,,58.728570675394465,50.64770390465577,93.93470228700741
3187433841842486016,13.108144518856612,0.034177770415904196,2.3193786099619067,0.14314382,16.203135,,72.00190374080803,-8.121211170495549,9.332138,7.20705117069818,0.016889922,1.0703964,0.08738454,1.0660456,32.845670397032066,28.853704838642148,53.916395944408286
6068221716126011520,11.952714337550146,0.18667056980874935,1.1031736356923365,0.15082455,7.3142843,,201.09340464154587,-52.882362852696424,9.087127,6.143915754437846,0.094666265,4.629423,0.7131074,,14.142390551111992,12.432993786945575,21.66699117717195
5542738205536698240,18.666362799285256,0.42196338762451174,5.947872084720208,0.9852699,6.0367947,,127.674496491719,-35.153405402919866,12.234061,3.854914992200546,0.010522603,0.9382657,0.048116345,0.8892415,78.61907540172083,69.11874109817981,128.90223384818907
578447574110525824,131.17492606343558,0.7901483262507625,1.7880535954297694,0.1424429,12.552774,,134.43403879028793,3.330016156195744,9.528361,3.5058084580491795,0.04805658,2.8620358,0.36179563,1.1713139,35.454533908117206,31.403596780516285,55.398046410588066
1836691877361891456,530.902819430819,0.2664241302461847,1.2947690123625455,0.15656771,8.269707,,301.91673138256436,27.47522639283618,10.696157,3.2197214905359943,0.025745189,1.9933066,0.24560355,1.2212546,68.17527466730603,59.33395459457552,112.34644735011052
4300625112272538240,10.081511619545429,0.4019319296663111,5.153014546968602,0.7100866,7.2568817,,301.701067236617,10.988947285377776,11.244164,2.375991460477975,0.043413147,2.424011,0.3547019,1.3287038,72.83100207378737,63.16322944136774,119.4629480395992
407789763026479360,63.70256123803897,0.2728476265730889,0.8219930633571135,0.08894308,9.241788,,27.73328739448575,52.60764840966744,8.305777,2.7977294149747842,0.037342485,1.8542545,0.2596012,3.001403,37.72866643016057,33.01608920877695,62.030087504358306
5543162140296730752,989.434524216558,0.5463148733468643,0.9868881636091462,0.08571366,11.513779,,124.05246011011687,-35.88199226418434,7.053803,12.8341012527067,0.05187807,3.3324103,0.5595278,1.4604517,62.032024931338924,54.16945780384041,104.81649205640049
6570048551146317184,13.654628591229336,0.370611659382273,0.7439162760441604,0.07842947,9.485163,,333.2631554847719,-41.743717123073985,8.702561,2.0787082559391115,0.024745781,1.2512407,0.1378653,,9.349166893897998,8.27219149298226,15.072670527941794
960158802517341056,22.654736470948354,0.17857980541039933,2.9962659608678366,0.4715288,6.354365,,94.0648129661187,41.81999755648289,11.316517,3.708028934945477,0.02129564,1.1218774,0.1654768,0.9544016,47.212734116913715,41.52768261019948,75.08600446727276
4790318076251714432,34.7289040605909,0.1719940820397807,3.8413880858108396,0.4080315,9.41444,,71.83808034977558,-45.259114752661134,10.88124,7.593321857586036,0.0112307975,0.9066382,0.07904372,,73.19112197993128,63.979556281772,117.15994655595904
1102298035055534080,838.7128251677756,0.37777655232578633,1.1249876977083777,0.1145735,9.818916,,105.88075964459412,65.5600155181919,9.757098,2.0386008538970546,0.044781677,3.3393364,0.3757259,1.2807163,67.08928328003124,59.53712676627655,110.1083463551638
5823873918488605056,24.901901894622466,0.13494567615229527,3.958858189317587,0.48533434,8.156971,,235.30459660035825,-66.7316106217293,11.777767,2.0407025926827527,0.020071095,1.3765147,0.16942887,,67.56011067423384,59.140554966185405,109.73989734428508
587017064658127360,15.754659235775806,0.128234476484518,1.9392088894993875,0.11136756,17.41269,,139.28243525929838,7.274876455200555,8.139036,11.62260821744837,0.02573325,0.9994079,0.13874139,1.2271475,31.710051626969573,27.891220104598144,50.65342104923221
5411005137600738432,63.285035604362385,0.2234127702975563,0.6562520171787025,0.09427536,6.961013,,143.87528639291176,-46.111865465028295,7.814795,2.248165309132182,0.022279996,1.2813419,0.19775003,3.600512,34.055097268853764,29.96317902750431,53.584331812409104
5917074949359384320,358.7391617714942,0.34882444178927546,0.5612101496521045,0.10461242,5.364661,,255.61695419431396,-56.680241562907604,7.339503,13.420132609804876,0.056446202,2.39858,0.42698,1.2477561,25.036489324058383,21.832512939557922,40.07814084490306
1958595182509117696,10.219945031355511,0.241708061312569,4.215969107792661,0.5671466,7.4336495,,334.56981789828404,42.68032055491125,11.665189,3.2897252148853395,0.015178238,1.138485,0.13173926,0.9398498,50.061360674406636,43.70388796391969,81.48416494560946
1930718714454863488,1172.0024970233942,0.5171389302245191,0.9416236527898675,0.1707201,5.5155993,,346.54041024859663,41.789769522837936,7.0565586,3.800790264286053,0.18149513,5.7131295,1.227981,,48.80893059990912,43.495412100229586,78.81305668116063
6376197710501971584,130.74295245041333,0.42363473990915673,2.645229903461769,0.46727318,5.6609926,,313.0134666634569,-69.39210772919755,11.310841,2.2905315986882315,0.01708168,1.1155424,0.15013899,,72.59413842561601,63.066193398507785,116.71502073702354
4216287244647572608,22.701585469953606,0.3144488947457664,6.124801640771726,0.6791194,9.018741,,304.2463435939779,-7.310934690713349,12.034219,9.273025468926662,0.021767607,1.2817342,0.12228186,0.7012847,79.09921586712592,68.8316684016823,140.29688227766482
6370535328697953408,1068.3526081292769,0.4417714595517426,1.2949559339667027,0.13086618,9.8952675,,325.8970177988124,-74.0048913635253,8.997186,2.092993135101892,0.014711992,1.2004743,0.1209924,,69.69752310244205,61.51895508951804,111.36599618570038
6565304605149348352,750.6361442096837,0.08544172352373754,1.3134393522059709,0.0645958,20.3332,,326.54020121020244,-45.15487903371431,8.677239,2.2996579433499553,0.016376493,1.0246893,0.10714338,,70.29602674089904,61.58787915709885,110.62370805968202
5543344281273494912,16.417905001046837,0.05486253353302717,5.050370110515498,0.23158501,21.807844,,125.39151549390594,-34.643987611303245,10.715021,7.783496252001129,0.014039702,1.2679459,0.11136228,0.8518423,67.94826956397547,59.940317355660895,110.31586354782964
1551320579337408256,30.42990380757467,0.28359558234938953,3.6798714466346047,0.22307822,16.49588,,199.1270326328157,46.837905166299656,10.765154,12.30227255359797,0.013356933,1.0822719,0.09272528,,65.61335286316373,57.08522546645496,106.5647658123641
1930605877070395264,572.710964793867,0.13261802331213157,1.3011844391476168,0.07341989,17.722506,,348.2563040317858,42.062120981375195,6.8855906,5.2731733722773075,0.04486616,2.0661423,0.422275,,64.43058270428692,55.308642830815366,107.4447129243824
385997305123591936,10.949646734630965,0.450389774337177,5.227757992371271,0.4737935,11.033833,,3.176997448114611,45.05366401026108,10.68441,3.5526641415994935,0.04036263,2.34325,0.29132766,1.3002988,72.53302921478854,63.50344271666925,120.36339675564474
577600125523574400,41.31824275381362,0.2799306317456281,3.173564895306961,0.24534921,12.934889,,133.65440416387077,1.4500891100099977,10.017604,7.193660449009046,0.055039722,2.6746213,0.36085835,1.084496,66.53862444848559,57.30240100898771,108.51125302838209
581201571564630784,404.91735275839534,0.24608445924457995,0.5381698806052481,0.054454833,9.882867,,132.33713401920988,3.684028121529265,7.7863955,31.179958377397124,0.029219106,1.42784,0.1872824,0.8409571,20.07448608618529,17.386695670876428,33.52682597608475
