source_id,nss_solution_type,period,eccentricity,semi_amplitude_primary,significance,hip,Sn,Hpmag,ra,dec,phot_g_mean_mag,parallax,ruwe,astrometric_excess_noise,m2_marg_med_mjup
6169880022905833088,SB1,1230.42977441246,0.36247535053945146,6.775553861401216,24.502287,65662,1,8.4181,201.93679090678214,-30.78386302614569,8.198374,9.463191661244931,9.369739,1.5348222,506.39489552584666
4708242419455686016,SB1,804.5415477519904,0.01817018291051522,5.881932298814831,17.787754,1985,1,8.7085,6.277738278435604,-65.39912423399402,8.471427,7.558264735242241,16.422243,2.9307802,384.9159287934896
4140792817780067200,SB1,381.5621691337507,0.2124481756827402,5.875370970755298,10.76637,83276,1,7.2505,255.2947130188722,-13.5685318067562,6.972954,19.655339271217034,26.340832,4.8452063,277.0889877672369
3947448474035669760,SB1,3.572670584090056,0.010076335216291556,24.794727805706092,59.489628,61408,1,10.2107,188.74511706525206,17.539451977701756,10.052945,4.921328413383436,0.75206214,0.047591258,246.74238788670277
2199041092551681664,SB1,816.0191403142978,0.5489577705236486,9.357888027620142,6.0042405,108570,1,7.4831,329.89413231674257,56.887911156981794,7.3624825,8.623427018889384,11.987411,2.6892765,543.66637940306
3471921098161795456,SB1,844.5061737867514,0.23376653260921787,7.401153299562199,22.05122,61607,7,8.5497,189.37991101023815,-28.416689498877876,8.365183,5.769655962281159,9.773574,2.0017807,499.0433892910449
5994934563174251264,SB1,226.51485421239005,0.10259978903745393,11.320799954813983,69.6449,78547,7,7.0246,240.54318777659444,-42.70097368294331,6.796041,24.58552900278325,15.310715,2.8680787,506.61257666899974
500541712087345536,SB1,39.49464190164449,0.456678865647895,7.061266235679782,13.258978,21598,1,10.623,69.551731529925,71.47584263995162,10.652328,1.950653316448768,1.2746966,0.1260988,131.66165221953676
2835174814796566016,SB1,7.260799901343819,0.004478398261826932,50.02859477365173,328.3246,113133,1,8.9074,343.65259340401377,20.332955271771063,8.834616,7.0183277216951705,1.2822449,0.1363817,800.0608863012351
145293181643038336,SB1,8.550403029188825,0.21649051545206757,16.57531096503953,183.58861,20712,7,7.4759,66.57757082391856,21.470262123168748,7.239102,21.022085450482432,2.1216698,0.36931333,211.67928447764922
1317801352027771136,SB1,47.008510389068725,0.017830138508107576,7.2838063451905635,13.802896,79757,7,5.8156,244.18673336655053,29.150187085266474,5.7729917,5.298671723735271,0.8179717,0.2591362,165.96063044777634
3463568181340074240,SB1,606.249751115239,0.22993609807703394,6.32366612286355,50.32037,57344,7,7.9857,176.36319855307406,-37.62252381489851,7.775679,13.982382429897566,11.991887,2.427519,363.614358739306
3429811250223958912,SB1,798.3618890408341,0.11635662428456338,3.2976265572871526,20.550451,28301,1,6.7964,89.7202209590491,25.77688846118642,6.3876834,7.85411126851817,13.318725,2.1837597,192.59049263799494
5994339074553659392,SB1,378.83855129128654,0.36023732515606477,12.342988633259308,119.518776,78508,7,9.126,240.41007930637346,-44.15784559209348,8.498687,5.505017461511118,2.9213026,0.402713,663.3201051051772
2138870073908020864,SB1,9.530439317851817,0.05761567735272694,14.820731650250188,44.148796,97167,1,10.2176,296.24332820449246,55.83925011390443,9.985268,7.428137955585502,1.251381,0.12297729,203.98853332336728
3757817146702135296,SB1,1.8925936967343755,0.08988308228906636,6.9186050991367525,15.173268,53145,1,7.6364,163.0720729665875,-11.109950917742191,7.4812617,9.071896231842436,11.720243,2.5309455,49.039849527413246
946060284607340288,SB1,786.4984830879291,0.06800937141510376,4.047884284314408,9.507623,34036,1,8.6849,105.90984953664594,36.79557432729953,8.46297,10.652922430590522,26.715939,4.6045346,248.0384190990626
5472765152403341440,SB1,458.51376683438525,0.41666338172352935,2.247504806347177,8.57289,50941,1,7.255,156.0559952731779,-24.606205176339834,6.9464936,13.975222511268326,19.543116,3.0779634,95.26718344743492
5360321912169950592,SB1,317.41456698605134,0.5113108075986705,8.621073381017105,40.529034,53500,7,7.3752,164.16918529408275,-50.60799034502211,7.1697097,17.450635673968723,10.231735,2.065025,341.0628231910732
5047315037910289280,SB1,661.3112349865203,0.25043635210546555,5.334240580802155,30.841297,15452,1,7.1509,49.82392302528325,-35.00434549816995,6.97593,10.039813304295734,14.495803,2.841645,304.8546163818615
976045444164676480,SB1,797.154155124102,0.04682297765249014,8.555892192135401,25.096264,36893,1,7.0497,113.78106238518296,48.68102978680338,6.8794565,16.73255789987455,12.266374,3.017117,607.7684258315418
2891862885547595648,SB1,943.837516285614,0.5545907875234802,4.021602217988872,38.13455,30216,7,7.7799,95.35685453415726,-33.07163827612974,7.1983294,2.3906198443800264,1.3746896,0.19788897,212.37254193069526
2814245885839871232,SB1,50.26586463969967,0.3160445483486565,0.575778104858792,8.6062975,115718,1,9.5458,351.66500414622857,15.146178139038696,8.622603,0.9925965928518131,1.024862,0.14811096,11.545217696787665
1604331333446232064,SB1,826.1268771956708,0.45830685973187824,6.33924531329883,14.029015,71784,1,7.3339,220.25932192054668,52.23547339151218,6.8557105,6.86513645574654,12.572211,2.1815038,368.35333588445224
5730701715466324480,SB1,844.2993694996086,0.04436481900383454,6.021816029714913,57.69546,44284,1,8.3686,135.28778905513246,-15.391476351117081,7.8889947,2.6542907284394075,3.693241,0.6816671,395.4448945721532
5387103472796633984,SB1,20.138941754349908,0.031023252003393918,34.716498503436576,30.8063,54309,1,12.3603,166.6529440242977,-44.96396617640139,12.044653,1.04508166285503,1.1538172,0.09653099,796.3009764253349
308181289516208128,SB1,3.6195453795716364,0.05912797595241104,11.312163064648443,70.12013,5469,7,8.6845,17.504623931817914,28.70244449769972,8.422803,10.768844229719695,1.0985631,0.12783483,105.43245253737722
1030578231604610048,SB1,3.4751408002059523,0.07474979860889822,13.052534690964332,32.357563,41810,7,9.7457,127.86435542498033,54.4597159447218,9.30613,24.357062759438858,46.14639,6.2645707,120.38585794765565
4701286324782937984,SB1,85.07520704998196,0.17255373884130035,15.747715077499608,74.63104,10692,1,8.4562,34.41278278360592,-62.739218070357154,8.310717,8.913323611118418,2.704017,0.86787134,508.04278350577994
