source_id,nss_solution_type,P_d,e,sig,K1,K2,q,M1_sini3,M2_sini3,M2_MJ_sini3
6887366507409935104,SB2,3.2552806569507746,0.05478696584495356,20.52492904663086,17.129312983103432,17.72670022690214,NaN,0.007229800845458654,0.006986157598548686,7.316938188524769
5583755078792642304,SB2,214.1135582315305,0.187667594023861,192.68234252929688,19.170022868406086,18.170367349288256,NaN,0.5325023116166963,0.5617983002182412,588.3983261369744
1017645329162554752,SB2,593.2295794794176,0.263817848973367,92.0042953491211,18.80261984173155,17.569527436195592,NaN,1.2818532272341898,1.371818280947467,1436.7711329137676
6369481893479499776,SB2,15.418767706715094,0.04288300623909282,191.74691772460938,49.13433963391308,39.64564351220662,NaN,0.4977245575585235,0.6168487956990779,646.0553524778378
3075645223335658240,SB2,11.238767260652807,0.5186455383259906,25.67003059387207,15.282845084935923,15.82168668495287,NaN,0.011138169247626856,0.010758834916328366,11.268244231946682
4893187761375116160,SB2,16.864533458730172,0.46515668896317525,107.97189331054688,57.4692035855745,49.05325754595881,NaN,0.6745333375070666,0.7902613534306295,827.6786479928629
6490284754986167552,SB2,24.8306324069184,0.5010242903189172,88.2042236328125,35.28744835352459,34.08113231014316,NaN,0.273426742834093,0.2831047976466124,296.5092436055842
2913315010241053696,SB2,188.20337494140986,0.3342155904339156,99.93598175048828,18.08340000693562,18.4203110284011,NaN,0.40063670841276827,0.39330898617942495,411.93138005704833
458543563370852096,SB2,102.83164399961005,0.2593121950108117,51.839630126953125,24.263166639438037,26.536993450744422,NaN,0.6571650401557841,0.6008557415710366,629.3050592229421
1959012722050918272,SB2,3.7948747636673987,0.03244127529801596,54.955692291259766,49.62539437287148,51.69032816557824,NaN,0.20825112497328543,0.19993187453345365,209.3982489288636
1145947066129858176,SB2C,4.270857483830975,NaN,110.08586120605469,79.74528772480384,91.10287293808028,NaN,NaN,NaN,NaN
4696787260640741760,SB2C,0.398925336318294,NaN,59.41359329223633,89.0406140548718,173.58587108022348,NaN,NaN,NaN,NaN
45788547559850496,SB2,5.609274811829849,0.013405761625506043,92.55683135986328,91.83160037941875,60.54110660996685,NaN,0.8165207833712764,1.2385371605958833,1297.179418075777
4196578601802580608,SB2C,3.6332484168755537,NaN,253.96067810058594,42.746512655442,44.96567004804859,NaN,NaN,NaN,NaN
5841073407104410112,SB2,2.4010974649319476,0.062045635840362164,55.31749725341797,29.556785244782933,29.72735124921963,NaN,0.025837067525989153,0.025688822721488286,26.90513709970531
6679646117855733632,SB2,4.898034363074326,0.0059541251125706145,461.1391906738281,68.39755401831928,71.11488951354701,NaN,0.7022601932160139,0.6754264800096136,707.4065729851087
531900230389907072,SB2,7.433623394625282,0.16443853858346738,257.6575622558594,78.82713143022178,77.26047933220242,NaN,1.3910737795788752,1.419281327268378,1486.481459551881
661306319407420160,SB2C,3.0576741710865996,NaN,93.86299896240234,71.85795429800629,49.588842952357496,NaN,NaN,NaN,NaN
