source_id,source_pool,nss_solution_type,period_d,eccentricity,significance,ruwe,parallax,phot_g_mean_mag,bp_rp,distance_pc,M_2_mjup_face_on,M_2_mjup_marginalized,M_2_2sigma_hi,HIP,Name,Vmag,SpType,snrPMaH2G2,M_host_msun_used,sahl_confirmed,tier_a,in_stefansson,documented_fp,ruwe_pass,nasa_exo_match,hgca_chisq,hgca_tier,v2_verdict,v2_score,ra,dec,exoeu_hit,sb9_hit,novelty_verdict
841536616165020416,orbital_pool,Orbital,485.5428821866423,0.4453427290797289,39.641438,2.9412024,12.195333770729642,8.734237,0.7552023,81.99857575035196,61.49917586289085,61.6982941996,72.00295900999474,57135.0,HD 101767,8.883,F8,2.79,1.0727316264168016,0,0,false,false,true,false,14.221156120300293,CORROBORATED_real_companion,CORROBORATED_real_companion,7.7641438,175.71602163815837,55.29265840295392,"","",NOVEL_for_promotion
1644373176107337344,orbital_pool,AstroSpectroSB1,591.4551353938447,0.5397390261477146,32.98023,2.6649735,9.70153009148402,10.96672,1.111598,103.07652407096047,67.00277253815764,66.98761033862242,77.07430933105135,75202.0,G 239-52,11.147,M3.5,2.98,1.0,0,0,false,false,true,false,7.103399753570557,CORROBORATED_real_companion,CORROBORATED_real_companion,7.5980229999999995,230.52220241650957,66.26037012832644,HIP 75202 Ab (3.3 arcsec),"",PUBLISHED_exoeu: HIP 75202 Ab (3.3 arcsec)
1518957932040718464,orbital_pool,Orbital,500.6943853626754,0.24846535143097565,34.114464,3.8422606,13.394981416004487,11.622662,1.5772362,74.6548254859979,48.262221922673824,48.76567072998029,58.515377130954604,60865.0,G 123-34,12.086,M0,2.49,0.6359643201415197,0,0,false,false,true,false,10.547319412231445,CORROBORATED_real_companion,CORROBORATED_real_companion,7.2114464,187.12706669555706,35.2769003292407,"","",NOVEL_for_promotion
3255968634985106816,orbital_pool,Orbital,254.7799875671601,0.1725648808862512,28.550608,5.8155828,24.55330511983517,11.335287,2.244154,40.72771446122579,60.98799202156225,64.04086928635516,82.59019576092277,20122.0,HIP 20122,13.485,M2.0Ve,0.85,0.48924936799701485,0,0,false,false,true,false,5.1173200607299805,CORROBORATED_real_companion,CORROBORATED_real_companion,6.6550608,64.71438511575388,1.3930479802606548,"","",NOVEL_for_promotion
5368744785408451200,acceleration_pool,Acceleration7,,,34.77281,1.784,5.186224393314339,8.4109,,192.8184984223049,,285.56699963244233,1409.1768486817336,57684.0,HD 102771,8.478,F3V,1.06,1.8,,,,false,true,false,27.12666130065918,CORROBORATED_real_companion,CORROBORATED_real_companion,6.2772809999999994,177.45595352355912,-52.19562612437033,"","",NOVEL_for_promotion
5247428421914452736,acceleration_pool,Acceleration7,,,33.0561,1.814,7.619675484455435,11.2163,,131.23918492855188,,196.00041601781646,981.9722066854531,47338.0,HD 83957B,10.791,K1V,0.56,1.0,,,,false,true,false,12.33316421508789,CORROBORATED_real_companion,CORROBORATED_real_companion,6.1056099999999995,144.69639115034238,-66.66323638853419,"","",NOVEL_for_promotion
1156378820136922880,orbital_pool,Orbital,268.28474442807345,0.24407782915610027,21.055672,3.3639152,13.993984371070061,9.662736,0.89569664,71.45927660654763,68.16254800379252,70.04116922316433,88.1098982073978,73800.0,G 15-6,9.894,G4,2.06,0.8085145383909909,0,0,false,false,true,false,23.85203742980957,CORROBORATED_real_companion,CORROBORATED_real_companion,5.9055672,226.24651799291914,4.088608671097167,"","""HIP 73800""","SB9_KNOWN: ""HIP 73800"""
2744694491118490752,orbital_pool,AstroSpectroSB1,247.97593954063782,0.4159090076708484,15.976767,1.8851925,10.910448933907514,9.36644,0.824173,91.655256906267,60.2421125900431,61.20965408957601,80.30423035013942,117179.0,BD+05 5218,9.557,G0,0.59,1.0,0,1,false,false,true,false,10.307519912719727,CORROBORATED_real_companion,CORROBORATED_real_companion,5.8976767,356.3567131216181,5.8155292194913875,HIP 117179 b (0.4 arcsec),"",PUBLISHED_exoeu: HIP 117179 b (0.4 arcsec)
4652393894560537728,orbital_pool,AstroSpectroSB1,419.76304231046527,0.3356874600985482,13.983477,1.6323688,7.677850625434167,9.144448,0.8207922,130.24478448269525,46.63439833212506,49.51654949068622,66.21376764235613,22219.0,HD 31251,9.32,G2V,3.44,1.0,0,1,false,false,true,false,8.846324920654297,CORROBORATED_real_companion,CORROBORATED_real_companion,5.6983477,71.68640623119447,-73.91866186830741,"","",NOVEL_for_promotion
2047188847334279424,orbital_pool,OrbitalTargetedSearch,449.9997576028038,0.14390804258285875,23.83953,1.6355618,30.53966625054165,7.2801557,0.92350054,32.744300209314304,14.482767075399003,15.77207205251268,26.309347001309526,96576.0,HD 185501,7.473,G5,2.24,1.0,0,1,true,false,true,false,5.904387474060059,CORROBORATED_real_companion,CORROBORATED_real_companion,5.683953,294.4962389823273,33.89350477297109,"","",NOVEL_for_promotion
