PSRJ,RAJ2000,DEJ2000,pmRA,pmDE,Plx,PB,A1,Ecc,OM,medM,minM,BINCOMP,Dist,Assoc
J0045-7319,00 45 35.16,-73 19 03.0,,,,51.169451,200.0,0.807949,115.254,5.271109,3.92119,MS[bbs+95],59.7,EXGAL:SMC
J0101-6422,01 01 11.12,-64 22 30.2,10.0,-12.0,,1.787596706,2.0,0.0,,0.181425,0.155329,He[kcj+12],0.73,GRS:2FGL_J0101.2-6425[naa+12]
J0102+4839,01 03 00.00,+48 00 00.0,,,,1.67,,,,,,He[hrm+11],4.03,GRS:2FGL_J0102.9+4838[naa+12]
J0214+5222,02 14 55.27,+52 22 40.9,,,,512.0397,200.0,0.0053283,210.59,0.48302,0.406599,He[slr+14],1.21,""
J0218+4232,02 18 06.36,+42 32 17.4,5.35,-3.74,0.16,2.028846084,2.0,0.0000222,278.0,0.19573,0.167432,He[ker96],3.15,GRS:2FGL_J0218.1+4233[naa+12]
J0337+1715,03 37 43.83,+17 15 14.8,,,,1.629401788,1.0,0.00069178,97.6182,0.135345,0.116203,HeT[rsa+14],1.3,OPT:[rsa+14]
J0348+0432,03 48 43.64,+04 32 11.5,4.04,3.5,,0.102424062722,0.1,2.4e-6,54.0,0.097436,0.083853,He[afw+13],2.1,""
J0407+1607,04 07 54.94,+16 07 16.4,,,,669.0704,100.0,0.0009368,291.74,0.222496,0.190025,He[lxf+05],4.07,""
J0437-4715,04 37 15.90,-47 15 09.1,121.4385,-71.4754,6.37,5.7410459,3.0,0.0000191811,1.363,0.163681,0.140288,He[vbv+08],0.16,"OPT:[bbm+95],GRS:2FGL_J0437.3-4712[naa+12]"
J0453+1559,04 53 45.41,+15 59 21.3,-5.5,-6.0,,4.072468649,10.0,0.11251844,223.06965,1.277057,1.037731,NS[msf+15],1.83,""
J0514-4002A,05 14 06.69,-40 02 48.9,,,,18.78517915,40.0,0.8879773,82.26655,1.105332,0.904239,"",12.1,GC:NGC1851
J0557+1550,05 57 31.45,+15 50 06.0,,,,4.84655044,4.0,9.3e-6,90.6,0.226771,0.193628,He[skl+15],5.65,""
J0605+37,06 05 00.00,+37 00 00.0,,,,55.6,,,,,,He[rap+12],1.16,GRS:2FGL_J0605.3+3758
J0610-2100,06 10 13.59,-21 00 28.0,7.0,11.0,,0.286016001,0.07,,,0.024748,0.021397,UL[pmd+12],5.64,GRS:2FGL_J0610.3-2059[naa+12]
J0613-0200,06 13 43.98,-02 00 47.2,1.811,-10.36,0.86,1.198512575218,1.0,5.17e-6,48.9,0.149867,0.128556,He[lnl+95],1.09,GRS:2FGL_J0613.8-0200[naa+12]
J0614-3329,06 14 10.35,-33 29 54.1,,,,53.5846127,30.0,0.0001801,15.92,0.324184,0.275254,He[rrc+11],1.02,GRS:2FGL_J0614.1-3329[naa+12]
J0621+1002,06 21 22.11,+10 02 38.7,3.5,-0.3,,8.3186813,10.0,0.00245744,188.816,0.527349,0.442896,CO[kas12],1.88,""
J0636+5129,06 36 04.85,+51 29 00.0,4.3,2.0,4.9,0.066551339,0.009,0.000022,207.0,0.007934,0.006867,UL[slr+14],0.2,""
J0700+6418,07 00 37.80,+64 18 11.2,,,,1.028669703,4.0,7.5e-6,276.0,0.796588,0.660361,CO[kul86],0.49,""
J0721-2038,07 21 42.90,-20 38 07.1,,,,5.4608328,9.0,0.000102,195.6,0.548254,0.459963,CO[bkl+13],3.87,""
