PSRJ,RAJ2000,DEJ2000,pmRA,pmDE,Plx,PB,A1,Ecc,OM,medM,minM,BINCOMP,Dist,Assoc
J1802-2124,18 02 05.34,-21 24 03.6,-0.85,4.8,,0.698889243381,4.0,2.47e-6,20.3,0.981815,0.807308,CO[fsk+10],3.33,""
J1803-2712,18 03 31.69,-27 12 06.0,,,,406.781,60.0,0.000507,208.3,0.167641,0.143647,He[jml+92],3.62,""
J1804-0735,18 04 49.90,-07 35 24.7,,,,2.61676335,4.0,0.21204,164.752,0.347364,0.294553,"",7.8,GC:NGC6539
J1804-2717,18 04 21.13,-27 17 31.2,,,,11.1287115,7.0,0.000035,159.7629,0.234782,0.200373,He[llb+96],1.17,""
J1807-2459A,18 07 20.36,-24 59 52.9,,,,0.071091483516,0.01,0.0,,0.01034,0.008949,UL[lfrj12],2.79,GC:NGC6544
J1807-2459B,18 07 20.87,-25 00 01.9,,,,9.9566681588,30.0,0.7470332,11.3346,1.477323,1.19172,CO(?)[lfrj12],2.79,GC:NGC6544
J1810+1744,18 10 37.28,+17 44 37.4,,,,0.15,0.1,,,0.049789,0.042979,UL[hrm+11],2.49,OPT:[bvr+13]
J1810-2005,18 10 58.99,-20 05 08.3,0.0,17.0,,15.01201911,10.0,0.000019,152.0,0.328729,0.279042,He(?)[jsb+10],4.05,""
J1811-1736,18 11 55.03,-17 36 37.7,,,,18.7791691,30.0,0.828011,127.6577,1.040814,0.853708,NS[mig00],5.93,""
J1811-2405,18 11 19.85,-24 05 18.4,0.53,,,6.2723020692,6.0,1.64e-6,63.0,0.274065,0.233365,He[bbb+11],1.7,""
J1813-2621,18 13 40.59,-26 21 57.1,-7.3,-22.0,,8.159760702,6.0,2.7e-6,290.0,0.22043,0.188284,He[lem+15],3.37,""
J1816+4510,18 16 35.93,+45 10 33.9,5.3,-3.0,,0.3608934817,0.6,7.8e-6,40.0,0.184795,0.158182,He[kbv+13],4.2,"GRS:1FGL_J1816.7+4509[aaa+10g],OPT:[kbv+13]"
J1822-0848,18 22 51.86,-08 48 59.0,,,,286.8303,100.0,0.058962,272.583,0.383379,0.324447,He[lfl+06],4.19,""
J1823-1115,18 23 40.30,-11 15 11.0,,,,357.76199,200.0,0.794608,99.1719,0.779239,0.646492,MS(?)[pv91],6.28,""
J1824-2452C,18 24 32.81,-24 52 11.2,,,,8.078,7.0,0.847,,0.301896,0.256654,"",5.5,"GC:M28,NGC6626,XRS:[bvs+11]"
J1824-2452D,18 24 32.81,-24 52 11.2,,,,30.404,20.0,0.776,,0.446177,0.376315,"",5.5,"GC:M28,NGC6626,XRS:[bvs+11]"
J1824-2452G,18 24 32.81,-24 52 11.2,,,,0.1046,0.02,0.0,,0.010792,0.009339,UL[fre08],5.5,"GC:M28,NGC6626,XRS:(?)[bvs+11]"
J1824-2452H,18 24 32.81,-24 52 11.2,,,,0.435,0.7,0.0,,0.198324,0.169625,"",5.5,"GC:M28,NGC6626,OPT:COM-M28H[pdf+10],XRS:[bvs+11]"
J1824-2452I,18 24 32.53,-24 52 08.6,,,,0.45940754,0.8,0.0,,0.204075,0.174484,He[pfb+13],5.5,"GC:M28,NGC6626,XRS:IGR_J18245-2452[pfb+13]"
J1824-2452J,18 24 32.81,-24 52 11.2,,,,0.0974,0.03,0.0,,0.017201,0.01488,UL[fre08],5.5,"GC:M28,NGC6626,XRS:[bvs+11]"
J1824-2452K,18 24 32.81,-24 52 11.2,,,,3.91034,3.0,0.001524,,0.163594,0.140214,"",5.5,"GC:M28,NGC6626,XRS:[bvs+11]"
J1824-2452L,18 24 32.81,-24 52 11.2,,,,0.22571,0.06,0.0,,0.022453,0.019416,UL[fre08],5.5,"GC:M28,NGC6626"
J1825-0319,18 25 55.95,-03 19 57.6,,,,52.6304992,20.0,0.0001939,93.2,0.206554,0.176577,He[bbb+13],3.26,""
J1828+0625,18 28 28.03,+06 25 00.5,,,,6.0,,,,,,"",1.18,GRS:2FGL_J1830.1+0617[naa+12]
J1829+2456,18 29 34.67,+24 56 18.2,,,,1.176027941,7.0,0.1391412,229.92,1.568832,1.261531,NS[clm+04],0.74,""
J1834-0010,18 34 17.25,-00 10 53.3,,,,1.8111019,0.7,0.004472,63.43,0.072752,0.062708,UL[vbjj05],2.64,""
J1835-0114,18 35 21.92,-01 14 33.6,,,,6.6925427,5.0,0.000011,-3.0,0.20829,0.178042,He[eklk13],2.67,""
J1836-2354A,18 36 25.45,-23 54 52.4,,,,0.2028278011,0.05,0.0,,0.019605,0.016957,UL[lrfs11],3.2,"GC:M22,NGC6656"
J1840-0643,18 40 09.44,-06 43 47.0,,,,937.1,100.0,,,0.186078,0.159268,He[kek+13],6.73,""
J1841+0130,18 41 17.76,+01 30 16.9,,,,10.471626,4.0,0.000082,204.0,0.111478,0.095854,He[lfl+06],3.19,""
J1844+0115,18 44 40.55,+01 15 35.0,,,,50.6458881,10.0,0.0002578,189.6,0.161224,0.138203,He[csl+12],3.45,""
J1850+0124,18 50 01.01,+01 24 34.6,,,,84.949858,30.0,0.000069,98.8,0.289228,0.246062,He[csl+12],2.97,""
J1850+0242,18 50 41.68,+02 42 57.4,,,,0.73543015,0.5,0.00009,93.0,0.083459,0.071888,UL[skl+15],13.1,""
J1853+1303,18 53 57.32,+13 03 44.1,-1.6,-2.95,0.1,115.65378643,40.0,0.000023691,346.6,0.281431,0.239536,He[gsf+11],1.6,""
J1857+0943,18 57 36.39,+09 43 17.2,-2.65,-5.45,0.3,12.3271713817,9.0,0.00002174,276.5,0.283711,0.241445,He[ktr94],0.7,""
J1858-2216,18 58 00.00,-22 16 00.0,,,,46.1,,,,,,He[rap+12],1.35,GRS:2FGL_J1858.3-2218[naa+12]
J1900+0308,19 00 50.55,+03 08 24.1,,,,12.47602144,7.0,,,0.197517,0.168943,He[csl+12],5.27,""
J1901+0300,19 01 59.62,+03 00 23.3,,,,2.399218509,2.0,3e-6,82.0,0.160001,0.137164,He,5.5,""
J1902-5105,19 02 02.85,-51 05 57.0,-4.8,-4.4,,2.0118037388,2.0,5.8637472e-6,109.601278,0.188025,0.160916,He[kcj+12],2.1,3FGL_J1902.0-5107[aaa+15]
J1903+0327,19 03 05.79,+03 27 19.2,-2.06,-5.21,,95.174118753,100.0,0.43667841,141.6524786,1.083666,0.887294,MS[fbw+11],6.45,OPT:[fbw+11]
J1903-7051,19 03 38.79,-70 51 43.5,-8.8,-16.0,,11.05079833,10.0,2.0296623e-6,86.6513409,0.335469,0.284656,He[kcj+12],1.13,GRS:3FGL_J1903.6-7052[aaa+15]
J1904+0412,19 04 31.38,+04 12 05.9,,,,14.934263,10.0,0.00022,350.0,0.257815,0.219735,He[clm+01],4.01,""
J1905+0154A,19 05 15.40,+01 54 33.0,,,,0.81255243,0.6,,,0.102513,0.088194,He(?)[hrs+07],14.45,GC:NGC6749
J1906+0746,19 06 48.86,+07 46 25.9,,,,0.16599304683,1.0,0.0853028,76.332,0.975804,0.802569,NS(?)[vks+15],7.4,""
J1909-3744,19 09 47.43,-37 44 14.5,-9.517,-35.797,0.81,1.533449474406,2.0,1.14e-7,156.0,0.228823,0.195357,He[jhb+05],1.14,""
J1910+1256,19 10 09.70,+12 56 25.5,0.14,-6.9,,58.466742029,20.0,0.00023018,106.014,0.224453,0.191675,He[gsf+11],1.95,""
J1910-5959A,19 11 42.76,-59 58 26.9,-3.08,-3.97,,0.83711347691,1.0,,,0.216554,0.185016,He[cfpd06],4.55,"GC:NGC6752,XRS:[fhc+14]"
J1911+0101A,19 11 11.09,+01 02 09.7,,,,0.1409967943,0.04,0.0,,0.020278,0.017538,UL[fhn+05],9.5,"GC:NGC6760,OPT:[bvvh03]"
J1911-1114,19 11 49.29,-11 14 22.3,-6.0,-23.0,,2.71655761,2.0,0.000019,177.0,0.139646,0.119864,He[llb+96],1.59,""
J1915+1606,19 15 28.00,+16 06 27.4,-1.43,-0.7,,0.322997448911,2.0,0.6171334,292.54472,1.056151,0.865739,NS[wnt10],7.13,""
J1918-0642,19 18 48.03,-06 42 34.9,-7.18,-5.91,1.1,10.9131777486,8.0,0.00001991,218.7,0.277686,0.236399,He[jsb+10],0.91,""
J1930-1852,19 30 29.72,-18 51 46.3,,,,45.0600007,90.0,0.3988634,292.07706,1.71016,1.368718,NS[srm+15],2.34,""
J1933-6211,19 33 32.43,-62 11 46.9,,,,12.8194065,10.0,1.2e-6,117.0,0.382421,0.323653,CO(?)[jbo+07],0.63,""
J1935+1726,19 35 03.95,+17 26 28.5,,,,90.76389,30.0,0.000176,10.2,0.256801,0.218883,He[lcm13],3.11,""
J1943+2210,19 43 16.49,+22 10 23.2,,,,8.3114808,8.0,2.9e-6,119.0,0.328163,0.27857,CO,8.35,""
J1946+3417,19 46 25.13,+34 17 14.7,,,,27.0,,0.14,,,,"",6.41,""
J1946-5403,19 46 24.00,-54 02 00.0,,,,0.13,0.04,,,0.024781,0.021426,"",1.46,GRS:3FGL_J1946.4-5403[aaa+15]
J1949+3106,19 49 29.64,+31 06 03.8,-2.94,-5.17,,1.949535,7.0,0.00004306,207.5,0.966941,0.79558,CO[dfc+12],7.78,""
J1950+2414,19 50 45.06,+24 14 57.0,,,,22.1913727,10.0,0.07981158,274.4155,0.296932,0.252505,He[kls+15],7.29,""
J1952+2630,19 52 36.84,+26 30 28.1,-6.0,0.0,,0.39187863896,3.0,0.0000409,291.5,1.132857,0.925732,CO[ltk+14],13.67,""
J1953+1846A,19 53 46.00,+18 46 42.0,,,,0.1767,0.08,,,0.036511,0.031544,UL[hrs+07],6.68,GC:M71
J1955+2908,19 55 27.88,+29 08 43.5,-1.11,-4.07,,117.34909728,30.0,0.00033025,29.485,0.208279,0.178033,He[gsf+11],5.39,""
J1959+2048,19 59 36.77,+20 48 15.1,-16.0,-25.8,,0.3819666069,0.09,0.0,,0.024777,0.021423,UL[rcf+06],1.53,"XRS[hb07a],GRS:2FGL_J1959.5+2047[naa+12]"
J2016+1948,20 16 57.44,+19 47 51.6,1.28,2.83,,635.02377864,200.0,0.00147981,95.6398,0.34273,0.290699,He[gsf+11],1.83,""
J2017+0603,20 17 22.70,+06 03 05.6,2.3,0.5,0.4,2.198481129,2.0,2.3e-6,101.0,0.205919,0.176041,He[cgj+11],1.32,GRS:2FGL_J2017.3+0603[naa+12]
J2019+2425,20 19 31.95,+24 25 15.3,-9.41,-20.6,,76.51163479,40.0,0.00011109,159.03,0.364313,0.308635,He[nss01],0.91,""
J2032+4127,20 32 13.11,+41 27 24.4,,,,8578.0,9000.0,0.93,12.0,17.830718,12.321743,MS[lsk+15],1.7,"OPT:MT91_213,Cygnus_OB2[lsk+15]"
J2033+1734,20 33 27.52,+17 34 58.6,-5.94,-11.0,,56.30779527,20.0,0.00012876,78.23,0.219137,0.187194,He[rtj+96],1.37,""
J2043+1711,20 43 20.88,+17 11 28.9,-5.84,-10.9,0.8,1.482290809,2.0,3.34e-6,218.9,0.197618,0.169028,He[gfc+12],1.25,GRS:2FGL_J2043.2+1711[naa+12]
J2047+1053,20 47 00.00,+10 53 00.0,,,,0.12,,,,,,UL[rap+12],2.23,GRS:2FGL_J2046.7+1055[naa+12]
J2051-0827,20 51 07.51,-08 27 37.8,5.3,0.3,,0.0991102506,0.05,0.0,0.0,0.030843,0.026657,UL[sbb96],1.28,""
J2129+1210C,21 30 01.20,+12 10 38.2,-1.3,-3.3,,0.33528204828,3.0,0.681395,345.3069,1.130671,0.924026,NS[jcj+06],12.9,GC:M15
J2129-5721,21 29 22.77,-57 21 14.2,9.25,-9.58,,6.6254930923,4.0,0.00001219,197.1,0.154026,0.13209,He[llb+96],3.2,""
J2140-2310A,21 40 22.41,-23 10 48.8,,,,0.17398746418,0.2,,,0.114974,0.098838,"",9.2,GC:M30
J2145-0750,21 45 50.46,-07 50 18.5,-9.59,-8.9,1.84,6.83890261536,10.0,0.000019311,200.74,0.50327,0.423198,CO[bkb+95],0.53,""
J2214+3000,22 14 38.85,+30 00 38.2,20.0,-1.7,1.0,0.416632943,0.06,0.0,,0.015413,0.013334,UL[rrc+11],1.0,"OPT:[sh14],GRS:2FGL_J2214.7+3000[naa+12]"
J2215+5135,22 15 32.69,+51 35 36.3,170.0,82.0,,0.172502105,0.5,0.000011,68.0,0.243716,0.207889,MS[hrm+11],3.26,OPT:[bvr+13]
J2222-0137,22 22 05.97,-01 37 15.7,44.73,-5.68,3.742,2.4457599929,10.0,0.00038086,119.778,1.380325,1.117351,CO[blr+13],0.27,"OPT:[blr+13,kbd+14]"
J2229+2643,22 29 50.89,+26 43 57.8,1.0,-17.0,,93.0158934,20.0,0.0002556,14.417088,0.142244,0.122075,He[lcf+96],1.43,""
J2234+06,22 34 22.00,+06 11 00.0,,,,32.0,,0.13,,,,"",0.63,""
J2236-5527,22 36 51.85,-55 27 48.8,,,,12.68918715,9.0,0.0000502,350.8,0.262253,0.22346,He[bbb+13],2.03,""
J2241-5236,22 41 42.02,-52 36 36.2,,,,0.1456722395,0.03,0.0,,0.013547,0.011721,UL[kjr+11],0.68,"GRS:2FGL_J2241.7-5236[naa+12],XRS:"
J2256-1024,22 56 56.39,-10 24 34.4,,,,0.21,0.08,,,0.034506,0.029815,UL[hrm+11],0.91,OPT:[bvr+13]
J2302+4442,23 02 46.98,+44 42 22.1,-2.0,-3.0,,125.935292,50.0,0.00050328,207.883,0.343938,0.291704,He(?)[cgj+11],0.75,"GRS:2FGL_J2302.7+4443[naa+12],XRS:XMMUJ230247+444219"
J2305+4707,23 05 55.84,+47 07 45.3,,,,12.33954454,30.0,0.658369,35.0776,1.431556,1.15668,CO[vk99],4.35,""
J2317+1439,23 17 09.24,+14 39 31.3,-1.35,3.59,0.1,2.459331464,2.0,5e-7,,0.201229,0.172079,He[cnt93],1.89,""
J2339-0533,23 39 38.74,-05 33 05.3,11.0,-29.0,,0.19309840181,0.6,0.0002102,177.0,0.000135,0.000117,MS(?)[rs11],1.1,"GRS:0FGL_J2339.8-0530[aaa+10c],OPT:[rs11]"
