hip,source_id,Sn,Hpmag,pmRA,pmDE,Plx,ra,dec,phot_g_mean_mag,parallax,ruwe,astrometric_excess_noise,non_single_star,dist_pc
31931,5206591559323592576,1,10.4771,-66.3,281.48,22.36,100.09177245762717,-82.37879369789319,10.013996,20.55093173488983,0.93865085,0.069859415,0,48.6595942656106
64994,5840477231277334272,7,6.1902,-5.52,-51.58,5.88,199.82900729656114,-72.0358351533904,5.569555,6.555633409656943,2.1058404,0.50895315,0,152.54056130211987
101962,6426509541523128576,1,8.6339,-3.41,-21.79,12.54,309.93082926956174,-64.60732086054757,8.470866,3.9182528298830714,1.0963686,0.11641006,0,255.21579219527854
88118,5918445387497537664,1,12.1617,-34.2,-28.34,15.34,269.9564240978816,-57.76915701652313,12.035876,0.6243942392579913,0.9504216,0.057456005,0,1601.5522519688293
51662,5352404397648913152,1,7.3386,-8.89,5.89,-21.18,158.31939247228553,-55.38071551212243,7.866157,3.349393699432447,0.9042055,0.22048715,0,298.5614979121294
85470,5925120866207447680,7,5.8893,-14.5,-58.43,9.12,261.98996742389886,-52.29746383409037,5.3764334,9.235050677098037,1.1437646,0.40768787,0,108.28310909867508
82199,5967904375477020928,7,8.2382,-3.66,0.97,0.34,251.89306138926236,-42.876755049189235,8.141473,0.4578501498305898,4.162431,0.9431078,0,2184.1207224023237
1221,4995186332642457856,1,9.2414,41.76,6.25,10.85,3.806705166355588,-42.10332043372763,9.106096,5.955946828489001,1.0287881,0.1082407,0,167.89941696871998
87658,5957000862299454080,1,11.0972,-76.81,-204.75,23.82,268.5652743262388,-41.59963959250567,10.884041,10.429876461671926,0.7887675,0.035333697,0,95.87841271896508
45259,5430582728105496704,1,6.3204,-0.46,-15.04,4.7,138.3575813778231,-38.616544358904136,6.2960086,4.85725697716285,5.417677,1.7200941,0,205.87751578754342
79044,5998762478537677568,7,6.7391,-19.52,-29.56,9.74,242.01815351140374,-36.23195624494063,6.743593,7.219979112553095,1.0164468,0.30541366,0,138.5045558180825
87616,4040825529908227072,7,5.9758,1.94,-3.27,3.17,268.47822481229383,-34.75274721283563,6.0615025,,,4.8772426,0,
29861,2885650369972271488,1,12.4843,-12.47,28.39,-4.45,94.32258902207053,-34.71798552151677,12.374063,1.440867167207685,1.0836432,0.08235532,0,694.0265020667663
30410,2891800075946029184,7,7.5302,-24.21,58.3,10.07,95.91492916600384,-33.31918723667499,7.3398266,11.589881643866072,2.4186587,0.525607,0,86.2821580692542
88585,4042997889977253760,7,8.7147,0.6,-8.85,3.06,271.3075064380001,-32.259853691541956,8.189914,3.415422811917967,0.73061574,0.0,0,292.7895183315355
51800,5468478878121005952,7,7.7796,-42.0,-3.04,4.93,158.75803564602728,-26.381762247925792,7.2906055,3.49034517313849,1.0689772,0.12957491,2,286.50461498649094
30256,2936850125355960576,1,10.8549,-633.79,274.33,40.0,95.47115618136006,-22.722144544313213,10.075869,37.06510059689465,1.0926508,0.21360514,0,26.979557154737115
72405,6280710176510386432,7,10.6562,-52.32,22.28,3.8,222.07518527483265,-20.512543101219144,10.365432,3.6874990841508777,1.2298728,0.11820893,0,271.18650803143737
63552,3511703151135602944,7,7.7402,-7.07,-4.47,2.55,195.34349058794348,-17.882069138196552,7.227561,3.851880662073216,1.0627043,0.1221013,0,259.6134428167266
117567,2419364634139939840,7,5.8249,37.47,-22.05,7.17,357.63885789838315,-14.401593404852854,5.117221,5.312503784609574,1.2035922,0.44544163,0,188.23516001946564
30214,3001108264938556800,1,5.5389,-4.47,1.54,2.96,95.352975267651,-11.773235298936008,5.531329,1.863511663513346,0.82277966,0.32971713,0,536.6212723963658
78332,4346172347079372160,1,9.8832,-39.91,11.01,12.48,239.9216268428616,-10.799006588469206,9.675797,6.8675776406084275,0.93800676,0.0679737,0,145.61175021698128
42225,5748723260802479488,7,8.1607,-14.43,-8.33,4.69,129.13584233653933,-10.566271922479462,8.13844,4.551053084194864,1.0450158,0.39721206,0,219.72936406144163
26237,3209572852067563392,1,4.5178,4.52,-7.11,3.69,83.84650099334792,-4.838358713609504,4.48509,6.516303770518311,5.9538693,7.5957646,0,153.46123127719986
63361,3685478008968069120,7,7.9173,-68.94,-50.6,6.21,194.74741845263912,-2.0817981066611053,7.498244,6.228403137236908,0.93368715,0.104863316,0,160.55479678594273
23041,3226471280633733632,1,6.346,-36.11,-27.45,11.85,74.3214666325708,-1.0673747551945498,6.149923,11.20818234545318,0.95431083,0.28379458,0,89.22053274817301
88192,4469314179061640320,1,3.9704,1.15,-9.35,2.65,270.1613199486119,2.9315258495371417,3.9324145,1.3731154046787157,2.505538,1.4598507,0,728.2709061398826
101526,1748683844238046080,7,6.9313,1.67,-0.07,3.24,308.6325592053081,6.87809921557467,6.9593472,1.7234579861281913,1.2830974,0.4860027,0,580.2288237072346
37038,3149259107365023744,7,8.4757,6.05,-14.78,0.38,114.1746374038685,9.28441228361675,7.4761796,1.5829779781700066,0.8913059,0.09527096,0,631.7207275088215
52236,3870728504019410304,1,11.3869,-1.18,-17.08,4.42,160.0767320154404,11.166954671375313,11.105358,3.516792243803449,1.1689404,0.15231308,0,284.3500356786755
29545,3373474507798843520,7,6.559,7.19,-17.8,5.5,93.38857631863497,18.680259610331817,6.562235,4.829752563488417,4.409794,1.6830953,0,207.0499444546541
100970,1815418118373631360,7,7.0103,348.48,-58.39,25.96,307.07929398019195,18.769242935140205,6.747173,26.64647931052189,0.92438483,0.117379814,0,37.52840997666548
91350,4524948230481792640,7,9.2143,-2.18,-17.3,1.68,279.48148421129355,20.16185300395165,8.755525,2.5024383269432997,1.051166,0.096708745,0,399.6102478263625
21174,150915259472922112,7,7.4975,-3.29,-29.02,8.49,68.09082000186766,25.185362045742842,7.425682,8.701792024883323,1.022985,0.20235363,0,114.91885776406019
52422,724786936769969664,1,5.5699,-96.65,-48.14,20.67,160.75735260820323,26.325272219836265,5.474671,21.221479090970846,1.079331,0.4773358,0,47.122068905436116
106514,1799168573461349120,1,11.0048,8.44,7.39,1.44,323.60405328643236,26.982158064733394,10.816959,3.485481385307122,1.3558674,0.10983572,0,286.90441561829925
84455,4574326335600994432,7,6.741,-37.76,-87.88,8.68,258.9951920229465,27.133735422256297,6.245897,7.932145212597383,1.162002,0.13829505,0,126.06930069962118
105963,1854353921061345792,1,11.1168,-275.59,-183.74,35.88,321.8858177684362,34.02381173407326,10.3240385,38.29144871269521,3.0501003,0.72665113,0,26.115491411753727
54763,761920330658223616,7,7.3697,-61.35,-6.76,7.11,168.1841601090147,35.83010006896576,6.9367647,6.104136235851496,0.9145713,0.10477394,0,163.82334229807782
54136,763335539562111616,7,6.0703,-72.81,1.43,12.68,166.12974288103217,38.24136548584289,5.9962883,10.938570977286428,9.503794,2.4409726,0,91.41961980924803
99420,2074538821122450176,7,7.0331,43.35,2.51,9.0,302.68480718410353,41.24704190628956,6.931876,7.428407530109928,12.80544,2.9823792,0,134.61835473439643
103371,2163075895429683072,7,5.9741,0.38,-1.55,0.6,314.14491085485685,44.92471300651312,5.8949847,1.1506632349470254,0.83554685,0.30356678,0,869.0640055481032
98071,2085660209419178496,1,6.9355,19.13,-8.83,6.84,298.9754227686612,47.09001754846421,6.85775,6.261692438449245,9.644274,2.3325589,0,159.70123250698296
2557,415901238262557696,7,7.1082,-13.32,-3.52,2.86,8.124917027792396,51.72824252342019,6.6506767,3.016006920419797,0.88236773,0.11248423,0,331.56422594043994
107036,2174336062728231040,3,7.7784,-7.47,-12.0,4.01,325.1628058158378,54.32466277929231,5.5042033,1.8144185089093192,1.7406577,1.2068623,0,551.1407622275186
107725,2175152931139357184,1,9.4415,-5.55,-6.78,2.79,327.3374040549962,56.55910946850234,8.929533,2.964974284691032,0.9682612,0.0700033,0,337.27105329826026
5361,413725575332672896,7,5.7762,17.1,-12.94,5.41,17.139594927737946,58.263392887622565,5.7464166,4.177792204523363,1.298981,0.49070907,0,239.36087556419966
6635,510280705060321408,7,8.5935,12.05,-4.4,0.82,21.282833503378466,60.55837983898229,8.538764,1.78496130272479,0.89852893,0.14136583,0,560.2362350788636
26988,283238150983356160,7,7.746,7.92,-78.82,9.86,85.89072882338664,61.037738458503405,7.5159616,11.13653804184141,1.2649219,0.19469169,2,89.79451210446828
5353,523313040665475968,1,11.7033,1047.27,-90.13,16.02,17.123653708587792,63.5152601027932,11.230818,13.277149010881738,0.9138732,0.11060685,0,75.31737417275471
75691,1644076926443036928,1,13.0052,-56.26,42.5,16.32,231.9426761581394,65.40386259122239,12.845323,2.0289100313459065,4.5574656,0.58540577,0,492.875477251515
