source_id,nss_solution_type,period,eccentricity,semi_amplitude_primary,semi_amplitude_secondary,mass_ratio,significance
1017645329162554752,SB2,593.2295794794176,0.263817848973367,18.80261984173155,17.569527436195592,,92.004295
6887366507409935104,SB2,3.2552806569507746,0.05478696584495356,17.129312983103432,17.72670022690214,,20.52493
2913315010241053696,SB2,188.20337494140986,0.3342155904339156,18.08340000693562,18.4203110284011,,99.93598
458543563370852096,SB2,102.83164399961005,0.2593121950108117,24.263166639438037,26.536993450744422,,51.83963
5583755078792642304,SB2,214.1135582315305,0.187667594023861,19.170022868406086,18.170367349288256,,192.68234
3075645223335658240,SB2,11.238767260652807,0.5186455383259906,15.282845084935923,15.82168668495287,,25.67003
4893187761375116160,SB2,16.864533458730172,0.46515668896317525,57.4692035855745,49.05325754595881,,107.97189
6490284754986167552,SB2,24.8306324069184,0.5010242903189172,35.28744835352459,34.08113231014316,,88.20422
6369481893479499776,SB2,15.418767706715094,0.04288300623909282,49.13433963391308,39.64564351220662,,191.74692
1145947066129858176,SB2C,4.270857483830975,,79.74528772480384,91.10287293808028,,110.08586
1959012722050918272,SB2,3.7948747636673987,0.03244127529801596,49.62539437287148,51.69032816557824,,54.955692
45788547559850496,SB2,5.609274811829849,0.013405761625506043,91.83160037941875,60.54110660996685,,92.55683
4696787260640741760,SB2C,0.398925336318294,,89.0406140548718,173.58587108022348,,59.413593
4196578601802580608,SB2C,3.6332484168755537,,42.746512655442,44.96567004804859,,253.96068
531900230389907072,SB2,7.433623394625282,0.16443853858346738,78.82713143022178,77.26047933220242,,257.65756
5841073407104410112,SB2,2.4010974649319476,0.062045635840362164,29.556785244782933,29.72735124921963,,55.317497
6679646117855733632,SB2,4.898034363074326,0.0059541251125706145,68.39755401831928,71.11488951354701,,461.1392
661306319407420160,SB2C,3.0576741710865996,,71.85795429800629,49.588842952357496,,93.863
