HIP,Gaia,RA_ICRS,DE_ICRS,d_pc,dpmRA,dpmDE,chi2,trif_name,trif_n_rv,trif_timespan_d,trif_rvc_std_mps,sep_arcsec
81476,4461097047624878720,249.62472025772,12.66247619901,58.27675631574346,-0.0008,0.0004,290100.0,HD150122,7,203.23961999965832,1622.4035734751546,0.7211464437735899
102851,1858219151114884352,312.54397696519,29.38393356463,20.163566854322262,0.0,-0.0004,80090.0,HD198550,6,7245.025309999939,204.04827142165811,0.5863386860069564
22596,254503754623418240,72.93394607686,45.83162089612,31.02660841938046,-0.022,0.0051,72540.0,HD30649,37,9169.91270999983,1110.613493601041,10.791921941394085
67422,1451450048399808384,207.26459135467,26.97943960689,13.496424122428763,-0.0145,-0.0095,63800.0,HD120476A,26,8718.982799999882,231.62935144319223,6.917516999568234
58318,792549013757246976,179.38037655504,53.5541364433,99.18863694975104,0.0,-0.0001,60220.0,HD103829,21,7841.588030000217,1144.9500535932395,0.5926562240479136
71631,1668690628102524672,219.74948181041,64.2914968845,34.40434045159137,-0.0015,-0.0029,58680.0,HD129333,26,6583.8898499999195,180.3512403712267,2.2570154777741265
3185,2347427402266219008,10.13980434168,-23.80645142986,28.530019286293037,0.0322,-0.0021,57850.0,HD3795,50,9055.183369999751,523.1854905520314,11.778266098934484
58576,3575733210781078016,180.18562451624,-10.44819969845,12.765539171695226,0.0005,0.0,57500.0,HD104304,63,5460.097349999938,285.36083501492413,7.568456012106911
77810,4426054581256895104,238.33322423581,4.2532897149,46.12056838988483,-0.0004,0.0001,56270.0,HD142229,20,8057.110239999834,614.023434602971,0.5628022187565871
78709,1219254942328596736,241.0127140589,25.2578598082,21.630460880229975,-0.0383,0.0326,55340.0,HD144287,63,7121.302680000197,613.3692139593264,13.66650067759442
88622,4471087175915086080,271.40599686108,4.65571346939,24.111433400604234,-0.0017,-0.0404,43760.0,HD165401,36,6111.1662399997,243.77115509803158,5.233361080865502
94751,4515383166527921152,289.20248269333,18.97602780779,55.82631317445164,0.0,0.0,42920.0,HD180684,24,8379.241429999936,517.3314202115362,1.056518131903609
96395,2142179058450057856,293.98168403475,56.98299541802,23.94693359515314,0.0,-0.0036,41480.0,HD185414,93,6141.135129999835,854.4015550483674,3.2987704484615703
85294,4574156834713113600,261.43953810251,27.30306107511,94.63692543556644,-0.0003,0.0002,41060.0,HD158038,34,5158.759160000365,230.11457010352967,1.1651629472072198
