source_id,m2_marg_med_mjup,period,eccentricity,semi_amplitude_primary,ruwe,phot_g_mean_mag,parallax,significance,ra_gs,dec_gs,parallax_gs,parallax_error_gs,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag_gs,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_chi2_al,astrometric_n_good_obs_al,ruwe_gs,tycho2_id,tyc_match_arcsec,aen_class
6414733497113114880,79.67606270003557,1101.0865343962532,0.4701127164672623,1.456553182409303,6.7589855,9.134664,6.379073754634035,12.582952,277.08637529912795,-74.57095603293583,6.379073754634035,0.07980149,17.781317856981723,0.06955845,-136.19337076479184,0.08082926,9.134664,0.862474,1089.0151,41968.367,489,6.7589855,"",,moderate_AEN
577600125523574400,65.9848545104391,41.31824275381362,0.2799306317456281,3.173564895306961,2.6746213,10.017604,7.193660449009046,12.934889,133.65440416387077,1.4500891100099977,7.193660449009046,0.055039722,-23.810043262286648,0.059659686,0.2347201583176016,0.038089383,10.017604,0.36085835,226.07915,8863.915,537,2.6746213,213-1327-1,0.10078832,low_AEN
581201571564630784,19.947207062215664,404.91735275839534,0.24608445924457995,0.5381698806052481,1.42784,7.7863955,31.179958377397124,9.882867,132.33713401920988,3.684028121529265,31.179958377397124,0.029219106,-276.12250443482094,0.02991211,6.489190770643886,0.023908539,7.7863955,0.1872824,29.737574,1844.7489,423,1.42784,"",,low_AEN
1551272338265370752,38.81427901097767,62.76706965124601,0.2723500018896946,1.5477774794400465,5.3643513,10.076503,5.631735383131009,7.9427195,199.6872623870315,46.75356167679181,5.631735383131009,0.08798585,36.5996810965735,0.06752092,28.095746747683393,0.08798127,10.076503,0.93856764,1238.0985,44222.914,507,5.3643513,3460-2138-1,0.04846664,moderate_AEN
4790318076251714432,73.84552515449742,34.7289040605909,0.1719940820397807,3.8413880858108396,0.9066382,10.88124,7.593321857586036,9.41444,71.83808034977558,-45.259114752661134,7.593321857586036,0.0112307975,-4.394458700756799,0.012645869,23.06861096695076,0.01390893,10.88124,0.07904372,8.662372,634.6263,333,0.9066382,8077-1362-1,0.07283288,low_AEN
3543969247567034112,77.95329961566257,41.71837554096937,0.3093164567871414,3.9419604174611096,6.516206,11.974901,5.2409100366107335,10.266193,177.9173898438966,-18.219662556677267,5.2409100366107335,0.099883325,-47.44128143412262,0.11124064,-11.1463088071605,0.06834531,11.974901,0.800517,1156.8542,38563.95,502,6.516206,"",,moderate_AEN
2903706790441607552,70.38141645201225,981.2814252047021,0.5495562817683199,1.3130990939561655,3.0178764,9.308829,8.523298352227311,7.3111196,85.93763674040258,-31.060660660892918,8.523298352227311,0.034963712,5.492013845840269,0.03415333,54.72376231714276,0.036746673,9.308829,0.39679542,242.30676,8129.807,431,3.0178764,7057-688-1,0.01939461,low_AEN
5497364766569973632,47.331020559068136,1033.4505887798925,0.3994571993895816,0.8674893078681856,1.417255,7.6496167,6.330272997130614,12.30765,103.39043532091497,-54.88248552453864,6.330272997130614,0.022407364,51.99526339320946,0.03120963,101.93076574291626,0.027061488,7.6496167,0.22357652,33.70294,1283.5199,306,1.417255,"",,low_AEN
3221826084523275264,69.42150614541588,983.5572014198011,0.7263469873885814,1.0145061744558954,1.4747841,7.9357405,5.040104998233925,11.018266,81.8996123647705,0.7020251263353819,5.040104998233925,0.03552007,5.838799276476911,0.03399273,16.0549301060395,0.025603179,7.9357405,0.24908964,47.84404,1976.2301,439,1.4747841,"",,low_AEN
5917074949359384320,25.073027304612367,358.7391617714942,0.34882444178927546,0.5612101496521045,2.39858,7.339503,13.420132609804876,5.364661,255.61695419431396,-56.680241562907604,13.420132609804876,0.056446202,-70.94288463652714,0.043944113,-119.10620118910211,0.040454876,7.339503,0.42698,166.25044,6298.5435,447,2.39858,"",,low_AEN
