nsc_objectid,utc_iso,mjd,ra_deg,dec_deg,mag,magerr,band,exposure,ephem_resid_along_as,ephem_resid_cross_as,sep_total_as,pos_unc_est_as
133189_17045,2013-03-11T06:22:11.769,56362.265414,228.8012394,-20.8267605,23.32,0.121,r,tu2088892,0.67,0.23,0.71,0.15
133189_17045,2013-03-11T06:25:10.963,56362.267488,228.8012123,-20.8267731,23.06,0.145,r,tu2092162,0.63,0.19,0.66,0.15
133703_14601,2015-07-15T01:23:18.326,57218.057851,229.7975286,-21.0925339,23.12,0.207,r,c4d_150715_012457_ooi_r_ls9,1.06,-0.14,1.07,0.15
133703_14601,2015-07-15T01:24:35.481,57218.058744,229.7974849,-21.092547,23.31,0.202,r,c4d_150715_012616_ooi_r_ls9,1.04,-0.27,1.07,0.15
