jd,date,RA,Dec,SMAA,SMIA
2453548.5,2005-Jun-27 00:00,211.52842,43.3296,1.343,0.95
2453549.5,2005-Jun-28 00:00,211.49448,43.12455,1.348,0.947
2453550.5,2005-Jun-29 00:00,211.46461,42.91825,1.353,0.943
2453551.5,2005-Jun-30 00:00,211.43878,42.71075,1.358,0.939
2453552.5,2005-Jul-01 00:00,211.41697,42.50209,1.363,0.936
2453553.5,2005-Jul-02 00:00,211.39917,42.29233,1.367,0.932
2453554.5,2005-Jul-03 00:00,211.38534,42.08152,1.372,0.928
2453555.5,2005-Jul-04 00:00,211.37546,41.86969,1.376,0.925
2453556.5,2005-Jul-05 00:00,211.36952,41.65689,1.381,0.921
2453557.5,2005-Jul-06 00:00,211.36747,41.44318,1.385,0.917
2453558.5,2005-Jul-07 00:00,211.36928,41.2286,1.39,0.913
2453559.5,2005-Jul-08 00:00,211.37494,41.0132,1.394,0.909
2453560.5,2005-Jul-09 00:00,211.38439,40.79702,1.398,0.905
2453561.5,2005-Jul-10 00:00,211.39762,40.58011,1.402,0.902
2453562.5,2005-Jul-11 00:00,211.41457,40.36251,1.406,0.898
2453563.5,2005-Jul-12 00:00,211.43522,40.14427,1.41,0.894
2453564.5,2005-Jul-13 00:00,211.45953,39.92543,1.414,0.89
2453565.5,2005-Jul-14 00:00,211.48745,39.70603,1.418,0.886
2453566.5,2005-Jul-15 00:00,211.51895,39.48612,1.422,0.882
2453567.5,2005-Jul-16 00:00,211.55398,39.26573,1.425,0.878
2453568.5,2005-Jul-17 00:00,211.5925,39.04491,1.429,0.874
2453569.5,2005-Jul-18 00:00,211.63448,38.8237,1.432,0.87
2453570.5,2005-Jul-19 00:00,211.67985,38.60212,1.436,0.866
2453571.5,2005-Jul-20 00:00,211.72859,38.38022,1.439,0.862
2453572.5,2005-Jul-21 00:00,211.78065,38.15803,1.442,0.858
2453573.5,2005-Jul-22 00:00,211.83599,37.93558,1.446,0.854
2453574.5,2005-Jul-23 00:00,211.89457,37.7129,1.449,0.85
2453575.5,2005-Jul-24 00:00,211.95635,37.49002,1.452,0.846
2453576.5,2005-Jul-25 00:00,212.0213,37.26697,1.455,0.842
2453577.5,2005-Jul-26 00:00,212.08939,37.04378,1.458,0.838
2453578.5,2005-Jul-27 00:00,212.16057,36.82048,1.46,0.834
2453579.5,2005-Jul-28 00:00,212.23483,36.5971,1.463,0.83
2453580.5,2005-Jul-29 00:00,212.31211,36.37366,1.466,0.826
2453581.5,2005-Jul-30 00:00,212.3924,36.1502,1.469,0.822
2453582.5,2005-Jul-31 00:00,212.47564,35.92674,1.471,0.818
2453583.5,2005-Aug-01 00:00,212.56182,35.70333,1.473,0.814
2453584.5,2005-Aug-02 00:00,212.6509,35.47998,1.476,0.81
2453585.5,2005-Aug-03 00:00,212.74283,35.25674,1.478,0.806
2453586.5,2005-Aug-04 00:00,212.83758,35.03362,1.48,0.802
2453587.5,2005-Aug-05 00:00,212.93511,34.81065,1.483,0.798
2453588.5,2005-Aug-06 00:00,213.0354,34.58788,1.485,0.794
2453589.5,2005-Aug-07 00:00,213.13839,34.36532,1.487,0.79
2453590.5,2005-Aug-08 00:00,213.24405,34.143,1.489,0.786
2453591.5,2005-Aug-09 00:00,213.35235,33.92095,1.49,0.782
2453592.5,2005-Aug-10 00:00,213.46323,33.69921,1.492,0.778
2453593.5,2005-Aug-11 00:00,213.57667,33.47778,1.494,0.774
2453594.5,2005-Aug-12 00:00,213.69263,33.25671,1.496,0.77
2453595.5,2005-Aug-13 00:00,213.81106,33.03601,1.497,0.767
2453596.5,2005-Aug-14 00:00,213.93193,32.81571,1.499,0.763
2453597.5,2005-Aug-15 00:00,214.05519,32.59583,1.5,0.759
2453598.5,2005-Aug-16 00:00,214.18081,32.37639,1.502,0.755
2453599.5,2005-Aug-17 00:00,214.30875,32.15742,1.503,0.751
2453600.5,2005-Aug-18 00:00,214.43897,31.93893,1.504,0.747
2453601.5,2005-Aug-19 00:00,214.57143,31.72093,1.506,0.743
2453602.5,2005-Aug-20 00:00,214.70611,31.50346,1.507,0.74
2453603.5,2005-Aug-21 00:00,214.84297,31.28651,1.508,0.736
2453604.5,2005-Aug-22 00:00,214.98199,31.07011,1.509,0.732
2453605.5,2005-Aug-23 00:00,215.12312,30.85427,1.51,0.728
2453606.5,2005-Aug-24 00:00,215.26636,30.63901,1.511,0.724
2453607.5,2005-Aug-25 00:00,215.41166,30.42435,1.512,0.721
2453608.5,2005-Aug-26 00:00,215.559,30.2103,1.513,0.717
2453609.5,2005-Aug-27 00:00,215.70836,29.99688,1.514,0.713
2453610.5,2005-Aug-28 00:00,215.8597,29.78411,1.514,0.71
2453611.5,2005-Aug-29 00:00,216.01299,29.57201,1.515,0.706
2453612.5,2005-Aug-30 00:00,216.16822,29.3606,1.516,0.702
2453613.5,2005-Aug-31 00:00,216.32534,29.14988,1.516,0.699
2453614.5,2005-Sep-01 00:00,216.48434,28.93989,1.517,0.695
2453615.5,2005-Sep-02 00:00,216.64518,28.73064,1.517,0.691
2453616.5,2005-Sep-03 00:00,216.80782,28.52214,1.518,0.688
2453617.5,2005-Sep-04 00:00,216.97225,28.31442,1.518,0.684
2453618.5,2005-Sep-05 00:00,217.13842,28.10749,1.518,0.681
2453619.5,2005-Sep-06 00:00,217.30632,27.90137,1.519,0.677
2453620.5,2005-Sep-07 00:00,217.4759,27.69608,1.519,0.673
2453621.5,2005-Sep-08 00:00,217.64714,27.49163,1.519,0.67
2453622.5,2005-Sep-09 00:00,217.82,27.28803,1.519,0.667
2453623.5,2005-Sep-10 00:00,217.99445,27.08531,1.52,0.663
2453624.5,2005-Sep-11 00:00,218.17047,26.88348,1.52,0.66
2453625.5,2005-Sep-12 00:00,218.34802,26.68254,1.52,0.656
2453626.5,2005-Sep-13 00:00,218.52707,26.48252,1.52,0.653
2453627.5,2005-Sep-14 00:00,218.70759,26.28342,1.52,0.649
2453628.5,2005-Sep-15 00:00,218.88955,26.08525,1.52,0.646
2453629.5,2005-Sep-16 00:00,219.07293,25.88802,1.52,0.643
2453630.5,2005-Sep-17 00:00,219.25769,25.69175,1.52,0.639
2453631.5,2005-Sep-18 00:00,219.44382,25.49644,1.519,0.636
2453632.5,2005-Sep-19 00:00,219.63129,25.30209,1.519,0.633
2453633.5,2005-Sep-20 00:00,219.82008,25.10872,1.519,0.63
2453634.5,2005-Sep-21 00:00,220.01016,24.91634,1.519,0.626
2453635.5,2005-Sep-22 00:00,220.20153,24.72495,1.519,0.623
2453636.5,2005-Sep-23 00:00,220.39415,24.53457,1.518,0.62
2453637.5,2005-Sep-24 00:00,220.588,24.3452,1.518,0.617
2453638.5,2005-Sep-25 00:00,220.78307,24.15686,1.518,0.614
2453639.5,2005-Sep-26 00:00,220.97932,23.96956,1.517,0.611
2453640.5,2005-Sep-27 00:00,221.17675,23.78331,1.517,0.608
2453641.5,2005-Sep-28 00:00,221.37531,23.59812,1.516,0.604
2453642.5,2005-Sep-29 00:00,221.575,23.41401,1.516,0.601
2453643.5,2005-Sep-30 00:00,221.77579,23.23098,1.516,0.598
2453644.5,2005-Oct-01 00:00,221.97764,23.04905,1.515,0.595
