source_id,nss_solution_type,P_d,e,significance,ra,dec,l,b,a_phot_mas,parallax,G,bp_rp,ruwe,aen_sig,rv_amplitude_robust,rv_chisq_pvalue,rv_nb_transits,Teff,logg,M1_msun,fM_msun,M2_msun,in_sb2,cbias_risk,filter31,class,filter32,sini_implied,K_pred_i90,nss_parallax,nss_parallax_error,logg_gspphot,logg_gspspec,teff_gspphot,teff_gspspec,logg_gspspec_ann,teff_gspspec_ann,plx_used,plx_source,a_phot_AU_v2,P_yr_v2,e_v2,M1_msun_v2,fM_msun_v2,M2_msun_v2,class_v2,logg_used,logg_source,cbias_risk_v2,filter29_v2,filter30_v2,filter30_reason_v2,filter31_v2,filter32_v2,sini_implied_v2,K_pred_i90_v2,tier_v2
567412222580423296,AstroSpectroSB1,280.91439631213467,0.530291651009542,23.14926528930664,2.1566098446930546,83.58170939437844,121.65926453621678,20.816011640088043,0.7019,1.2666906703938046,11.96054744720459,0.5943670272827148,1.8798506259918213,67.6482162475586,40.92424011230469,0.0,24.0,7356.74365234375,4.08519983291626,1.686,0.2876,1.399,false,false,PASS,dormant_NS_candidate,FAIL,1.617,25.32,1.340787956027063,0.013099382,4.0852,4.35,7356.7437,7563.0,3.77,7030.0,1.340787956027063,NSS,0.5234981391687207,0.7691017010599169,0.530291651009542,1.5,0.24253693389314462,1.2131261025689053,dormant_NS_candidate,4.08519983291626,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.8556215211492887,23.914919798495948,Tier-1 NS
573277395560747136,AstroSpectroSB1,803.8414835787637,0.2200449642178013,122.69335174560547,18.960478026619967,84.04572341637568,123.60950775994792,21.206106416803745,2.5452,1.645213860304612,10.91834545135498,0.9172859191894531,9.0636625289917,2687.166259765625,26.145828247070312,0.0,19.0,5535.05078125,3.058300018310547,1.711,0.7644,2.3133,false,false,PASS,dormant_NS_candidate,FAIL,1.218,21.46,2.1758514534415845,0.01740382,3.0583,3.6,5535.051,5729.0,3.68,5711.0,2.1758514534415845,NSS,1.169748971591884,2.200798038545554,0.2200449642178013,1.5,0.3304590389509525,1.4087957357985577,dormant_NS_candidate,3.058300018310547,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.8054597175116909,16.23037606886332,Tier-1 NS
407572673901190912,AstroSpectroSB1,1528.9997200957548,0.6058185878650781,13.488933563232422,22.46263200071673,54.141219793975935,128.59965473606505,-8.307274365949379,4.2173,2.6385661337403485,12.351853370666504,1.1041345596313477,9.110122680664062,1793.7080078125,31.07110595703125,0.0,26.0,5945.1396484375,4.307000160217285,0.99,0.233,0.9607,false,false,PASS,WD_or_low_mass_star,FAIL,2.173,14.3,2.532960037017058,0.02612841,4.307,4.0,5945.1396,5496.0,3.98,5126.0,2.532960037017058,NSS,1.6649690237381345,4.186173087188925,0.6058185878650781,1.5,0.2633807993395962,1.2617958119469908,dormant_NS_candidate,4.307000160217285,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,1.0432664655927895,14.891260757325544,Tier-1 NS
348572609373952768,AstroSpectroSB1,774.9713754716878,0.27507723646675547,115.69596862792969,24.987406629873323,42.728456429272526,132.34065003948098,-19.255287472445055,3.5214,3.770157820024182,11.768261909484863,0.7811288833618164,12.514063835144043,2862.715576171875,26.284582138061523,0.0,15.0,5858.46875,4.276800155639648,1.05,0.181,0.8756,false,false,PASS,WD_or_low_mass_star,FAIL,1.927,13.64,3.0480413627893745,0.02812757,4.2768,4.49,5858.4688,6188.0,3.53,5915.0,3.0480413627893745,NSS,1.155299282676872,2.1217559903400076,0.27507723646675547,1.5,0.3425252855767002,1.433943517176166,dormant_NS_candidate,4.276800155639648,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.7790177030619211,16.870336858039455,Tier-1 NS
4926939645906065792,Orbital,753.758301044491,0.2767825430322591,71.6943588256836,15.075384623662462,-54.23757406273968,300.09427786403313,-62.8418131745428,1.5884,1.5167736364417177,10.928525924682617,1.1172599792480469,5.973303318023682,1218.834228515625,25.843992233276367,0.0,31.0,5034.6513671875,3.275099992752075,1.8,0.2697,1.4042,false,false,PASS,dormant_NS_candidate,FAIL,1.643,15.73,1.4814989645517815,0.016834946,3.2751,2.9,5034.6514,5050.0,2.84,4645.0,1.4814989645517815,NSS,1.072157347393463,2.063677757822015,0.2767825430322591,1.5,0.2893955252113363,1.3203951037474582,dormant_NS_candidate,3.275099992752075,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.8023559529139895,16.105066672351825,Tier-1 NS
4688631736221576448,AstroSpectroSB1,958.5296781282386,0.256546842895359,49.21750259399414,1.4579692315732966,-73.62232890109331,307.31125776185485,-43.1159744365046,1.7847,1.4290325355402533,11.62907600402832,0.46428871154785156,5.516817569732666,1221.1600341796875,23.724306106567383,2.3314683517128287e-14,24.0,7344.87548828125,3.9798998832702637,1.635,0.2828,1.3657,false,false,PASS,dormant_NS_candidate,FAIL,1.617,14.67,1.369469362446203,0.013683236,3.9799,4.45,7344.8755,7785.0,3.87,7169.0,1.369469362446203,NSS,1.303205496187293,2.624311233752878,0.256546842895359,1.5,0.32137199570630187,1.3896220890514543,dormant_NS_candidate,3.9798998832702637,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.7750742413374773,15.30453783732281,Tier-1 NS
4910857123687639680,AstroSpectroSB1,1091.659671545873,0.3518548582162012,102.64619445800781,22.250454293706024,-55.61931161461572,292.07606219744906,-60.71016541916196,4.5311,2.5703744522522487,9.510126113891602,0.6717557907104492,16.28756332397461,8399.7685546875,20.130794525146484,0.0,22.0,6192.25244140625,3.786900043487549,1.772,0.6132,2.092,false,false,PASS,dormant_NS_candidate,FAIL,1.073,18.77,3.351886796460022,0.022761831,3.7869,4.01,6192.2524,6418.0,3.52,5707.0,3.351886796460022,NSS,1.351805796301165,2.9888012910222392,0.3518548582162012,1.5,0.27653418651361483,1.2917019253379776,dormant_NS_candidate,3.786900043487549,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.6993201203526473,14.393118358295693,Tier-1 NS
350365844119482368,AstroSpectroSB1,527.6886549916469,0.17034274620938317,84.16952514648438,26.492647380376233,45.34640942972539,132.87939190090125,-16.469442011632026,2.237,2.006467756834948,11.451529502868652,0.9577388763427734,5.888078212738037,1369.4840087890625,33.40117645263672,0.0,21.0,5226.396484375,3.6895999908447266,1.343,0.6639,1.9187,false,false,PASS,dormant_NS_candidate,FAIL,1.432,23.33,2.5954876359830887,0.03448839,3.6896,3.79,5226.3965,5670.0,4.27,5371.0,2.5954876359830887,NSS,0.8618804300921646,1.4447327994295602,0.17034274620938317,1.5,0.306736878696335,1.358291623173458,dormant_NS_candidate,3.6895999908447266,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.9260605195544872,18.03401383999476,Tier-1 NS
4934036581148964608,AstroSpectroSB1,889.639841250728,0.22258715012881006,193.16473388671875,19.8231944204641,-46.54606916824571,288.944996038576,-69.81840089956687,3.1766,3.6144548736621775,10.39696216583252,0.5887880325317383,10.802682876586914,5205.33642578125,27.673908233642578,0.0,32.0,6565.123046875,4.087600231170654,1.343,0.1144,0.8092,false,false,PASS,WD_or_low_mass_star,FAIL,2.51,11.02,2.8088588844738887,0.024206944,4.0876,3.47,6565.123,5718.0,3.62,5258.0,2.8088588844738887,NSS,1.1309218905794163,2.4357011396323833,0.22258715012881006,1.5,0.24380905599915453,1.2161445459138522,dormant_NS_candidate,4.087600231170654,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.975346338130717,14.18670842947979,Tier-1 NS
4706150628647247872,AstroSpectroSB1,885.7976034582715,0.6178399799615087,60.030418395996094,19.131521334190776,-64.40748450817654,298.48542853311045,-52.50362996969602,2.401,1.9720811733815276,11.906289100646973,0.710728645324707,6.062652587890625,744.9896240234375,36.87348556518555,0.0,30.0,6055.13134765625,3.924999952316284,1.248,0.3068,1.2374,false,false,PASS,dormant_NS_candidate,FAIL,1.939,19.02,2.046083220487555,0.011805878,3.925,4.27,6055.1313,5451.0,3.84,5433.0,2.046083220487555,NSS,1.1734615561862984,2.4251816658679575,0.6178399799615087,1.5,0.2747375657685948,1.287651485927694,dormant_NS_candidate,3.924999952316284,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,1.0057990276397561,18.330444031007957,Tier-1 NS
4616299844096471424,Orbital,613.532655558145,0.576305114103503,75.31727600097656,8.799619587087815,-86.21917403997635,303.24364742434335,-30.899242199974832,3.7292,3.7246023996725732,9.175061225891113,0.8037319183349609,12.134628295898438,3095.10302734375,36.65918731689453,0.0,19.0,6072.28466796875,3.8073999881744385,1.666,0.3557,1.5406,false,false,PASS,dormant_NS_candidate,FAIL,1.688,21.72,3.9379356579972358,0.014400141,3.8074,3.94,6072.2847,6103.0,3.61,5599.0,3.9379356579972358,NSS,0.9469936341968078,1.679760863951116,0.576305114103503,1.5,0.3009859766655447,1.3458202747809942,dormant_NS_candidate,3.8073999881744385,gspphot,false,PASS,PASS,no chromatic-bias signatures,PASS,PASS,0.8919924674210687,20.549045342772725,Tier-1 NS
