source_id,Class_shahaf,M2_shahaf,first_fail_main,first_fail_wider,phot_g_mean_mag,significance,period,eccentricity,parallax,nss_parallax,plx_used,plx_source,a_phot_mas,M1_used,fM,M2_v2,class_v2,logg_used,logg_source,cbias_risk_v2,filter29,filter30,filter31,filter32,sini_implied_v2,K_pred_i90_v2,tier_v2,rv_amp_robust,rv_chisq_pvalue,ruwe,bp_rp,nss_solution_type,reason_no_v2
4373465352415301632,BH,12.806249189164856,F#5,F#2,13.771998405456543,13.565509796142578,185.7656578920495,0.48893589298452034,2.069988584035135,2.0954515888832432,2.0954515888832432,NSS,2.9775164745936613,0.9091377854347229,11.091217277095923,12.731754631333096,dormant_BH_candidate,4.229700088500977,gspphot,False,PASS,PASS,NO_DATA,NO_DATA,,,Tier-2 (RV inconclusive — needs follow-up),,,7.63763427734375,1.174783706665039,Orbital,
6802561484797464832,BH,3.078434851754412,F#2,F#2,12.883955001831055,6.821434020996094,574.8310585133289,0.8303541866051125,1.7012722253116257,1.4550273741504063,1.4550273741504063,NSS,2.3060564373427903,1.174448013305664,1.6072976213946004,3.0714730799617147,dormant_BH_candidate,4.479300022125244,gspphot,False,PASS,PASS,NO_DATA,NO_DATA,,,Tier-2 (RV inconclusive — needs follow-up),,,2.4016008377075195,0.7735795974731445,Orbital,
6588211521163024640,BH,2.407129600947613,F#2,F#2,14.190253257751465,10.419976234436035,943.3326302158465,0.9737359163639909,1.2478093474081131,0.9962129673562496,0.9962129673562496,NSS,1.9579737090756988,1.5,1.138189910365367,2.7314992908029625,dormant_NS_candidate,4.571400165557861,gspphot,False,PASS,PASS,NO_DATA,NO_DATA,,,Tier-2 (RV inconclusive — needs follow-up),,,1.6392836570739746,0.7452707290649414,Orbital,
6328149636482597888,BH,2.454031510741937,F#5,NONE,13.33588981628418,89.91028594970703,736.0178501588972,0.13536632602311333,1.2058649148347207,1.231583665886212,1.231583665886212,NSS,2.073923367466365,1.2109044790267944,1.1759533908494535,2.5548424472173705,dormant_NS_candidate,4.100800037384033,gspphot,False,PASS,PASS,NO_DATA,NO_DATA,,,Tier-2 (RV inconclusive — needs follow-up),,,10.2413969039917,0.817138671875,Orbital,
6601396177408279040,BH,2.571133938005425,F#2,F#2,14.070855140686035,10.821394920349121,533.497769932878,0.7906384201067765,1.4911391392540274,1.482519434388983,1.482519434388983,NSS,2.105285162764003,0.9590221643447876,1.342291487199429,2.5446863210667976,dormant_NS_candidate,4.524400234222412,gspphot,False,PASS,PASS,NO_DATA,NO_DATA,,,Tier-2 (RV inconclusive — needs follow-up),,,3.7020554542541504,0.8201427459716797,Orbital,
4744087975990080896,NS,1.556266202517077,F#5,F#2,17.066120147705078,22.479469299316406,631.2568824918063,0.613342905824446,2.5481637166411213,1.986623427046373,1.986623427046373,NSS,2.728100729139229,1.5,0.8669673538271824,2.3370308200754852,dormant_NS_candidate,,NONE,True,PASS,FAIL,NO_DATA,NO_DATA,,,Demoted (failed F#30 K-giant chromatic),,,1.9776643514633179,1.8008556365966797,Orbital,
5590962927271507712,NS,1.523707062516542,F#5,F#2,15.882135391235352,18.8236141204834,817.8959331238286,0.7245813454476847,2.9393047717846774,1.9457633884090826,1.9457633884090826,NSS,3.0465229351295346,1.5,0.7654690318790062,2.1807019282875064,dormant_NS_candidate,,NONE,True,PASS,FAIL,NO_DATA,NO_DATA,,,Demoted (failed F#30 K-giant chromatic),,,4.195964813232422,1.3755617141723633,Orbital,
1525829295599805184,NS,1.193717416775548,F#5,F#5,16.176252365112305,61.3110466003418,328.20369177762575,0.3699719127132666,4.264315742581003,4.040958178128576,4.040958178128576,NSS,3.3234551635836262,1.5,0.6889852597004076,2.058734707100962,dormant_NS_candidate,,NONE,True,PASS,FAIL,NO_DATA,NO_DATA,,,Demoted (failed F#30 K-giant chromatic),,,4.447478771209717,1.7374658584594727,Orbital,
1058875159778407808,NS,1.775437829826004,F#5,F#5,14.520771026611328,32.974021911621094,835.6823615515086,0.41747346135190017,1.2576305653640287,0.9006385762523137,0.9006385762523137,NSS,1.3759697273042097,1.5,0.6811973983834678,2.0460856354085477,dormant_NS_candidate,4.5630998611450195,gspphot,False,PASS,PASS,NO_DATA,NO_DATA,,,Tier-2 (RV inconclusive — needs follow-up),,,3.7614715099334717,0.7493410110473633,Orbital,
1581117310088807552,NS,1.312907289328358,F#5,F#5,14.508785247802734,175.57049560546875,927.3139036948771,0.5201167202199002,7.4552098202805395,4.567308179279272,4.567308179279272,NSS,7.339098560260621,1.5,0.6436860789583688,1.984504284019295,dormant_NS_candidate,,NONE,True,PASS,FAIL,NO_DATA,NO_DATA,,,Demoted (failed F#30 K-giant chromatic),,,23.78184700012207,1.5626802444458008,Orbital,
